ssp,tipo,metrica,periodo,ensemble_mean,ensemble_std,ensemble_median,n_models
ssp370,LHW,tot,hist,22.2268121535584,0.4986524268289683,20.51111094156901,3
ssp370,PHW,count,fut,2.510020097609983,0.8169168733465129,1.9888888597488403,3
ssp370,PHW,count,hist,1.3425545567811703,0.008030817155003589,1.100000023841858,3
ssp370,PHW,cum,fut,324.3943805611056,188.1408534505361,257.4824981689453,3
ssp370,PHW,cum,hist,22.808580374138597,1.362656330227972,21.056777954101562,3
ssp370,PHW,dur,fut,104.74475862772339,26.007387435443896,68.37988789876302,3
ssp370,PHW,dur,hist,13.433735962207235,0.2472294075267295,10.230833212534586,3
ssp370,PHW,int,fut,2.27186970212615,0.34021523513188495,2.5809444586435952,3
ssp370,PHW,int,hist,1.166498083150257,0.04395516725886429,1.1970555782318115,3
ssp370,PHW,lag_dias,fut,1.618886148069618,1.1360220905522163,0.9486284479498862,3
ssp370,PHW,lag_dias,hist,22.07441590903883,0.5443031154318744,15.093543688456217,3
ssp370,PHW,pct_no_shw,fut,24.713944762674178,12.354952024843817,11.733333587646484,3
ssp370,PHW,pct_no_shw,hist,16.23575350452307,0.06912038682882876,12.822222391764322,3
ssp370,PHW,tot,fut,183.25862944490177,10.590751955851614,146.77777608235678,3
ssp370,PHW,tot,hist,25.525448575642315,0.4380420235548816,22.888888676961262,3
ssp370,SHW,count,fut,4.521903168974091,1.7405641655842026,3.5333333015441895,3
ssp370,SHW,count,hist,2.054641368263906,0.018306506389715503,1.855555534362793,3
ssp370,SHW,cum,fut,386.581973241521,363.73148707996256,396.57700602213544,3
ssp370,SHW,cum,hist,20.732158693325186,1.150518691891965,21.684555689493816,3
ssp370,SHW,dur,fut,88.93975985885602,56.87054606886053,74.407777150472,3
ssp370,SHW,dur,hist,8.410830458287904,0.023602840687804223,8.167166550954184,3
ssp370,SHW,int,fut,3.437543052821194,0.7711608700851434,3.7762222290039062,3
ssp370,SHW,int,hist,1.851773822526039,0.08810515467534832,1.8997778097788494,3
ssp370,SHW,tot,fut,223.2628032554088,33.66933701952789,202.84444173177084,3
ssp370,SHW,tot,hist,22.18022993814897,0.4803054336758893,20.51111094156901,3
ssp585,LHW,count,fut,3.647107765989929,1.7988113447260525,2.811111092567444,3
ssp585,LHW,count,hist,2.0405395234497252,0.01849099097008347,1.8333333333333333,3
ssp585,LHW,cum,fut,562.5956200586435,488.05593953737605,564.3382186889648,3
ssp585,LHW,cum,hist,20.670090211578366,1.1499699225987963,21.60527769724528,3
ssp585,LHW,dur,fut,115.28528920959836,61.2573633755102,96.60416793823242,3
ssp585,LHW,dur,hist,8.462962916793082,0.024736138504974692,8.202222188313803,3
ssp585,LHW,int,fut,3.6521582785036437,0.7935895339916695,4.148888905843099,3
ssp585,LHW,int,hist,1.8288644007714343,0.08677219553747946,1.8815555572509766,3
ssp585,LHW,lag_dias,fut,0.03715243351711887,0.025698012250820263,0.0131275181677968,3
ssp585,LHW,lag_dias,hist,0.710421122697813,0.017302138626350452,0.14627607166767112,3
ssp585,LHW,pct_no_shw,fut,1.1140983813684888,0.5640609549776043,0.5000000024835268,3
ssp585,LHW,pct_no_shw,hist,0.7602864022034437,0.020756911811973432,0.4333333373069763,3
ssp585,LHW,tot,fut,237.3689407747133,18.35810593918841,216.78888956705728,3
ssp585,LHW,tot,hist,22.22674803455742,0.5003516368240777,20.51111094156901,3
ssp585,PHW,count,fut,2.1345246304382894,0.8497005130187658,1.755555510520935,3
ssp585,PHW,count,hist,1.3425555525542652,0.007906215904020008,1.100000023841858,3
ssp585,PHW,cum,fut,423.6526520095597,223.63769062420016,340.4122721354167,3
ssp585,PHW,cum,hist,22.807899417714566,1.3629469750983758,21.055500030517578,3
ssp585,PHW,dur,fut,118.51305376998728,21.804961370960637,82.01816749572754,3
ssp585,PHW,dur,hist,13.433930557912602,0.24771904423996463,10.2320556640625,3
ssp585,PHW,int,fut,2.3773789321964642,0.35070826204445205,2.713111162185669,3
ssp585,PHW,int,hist,1.1664912525796318,0.044022377278733184,1.1971111297607422,3
ssp585,PHW,lag_dias,fut,1.034405151926374,0.7858516155979837,0.5738787346829971,3
ssp585,PHW,lag_dias,hist,22.074553522549866,0.542937545979855,15.097264130910238,3
ssp585,PHW,pct_no_shw,fut,18.555084377012374,11.463361509501098,9.188888649145762,3
ssp585,PHW,pct_no_shw,hist,16.235283784710543,0.06973317322419849,12.822222391764322,3
ssp585,PHW,tot,fut,190.48051172623386,3.0836841936579873,155.9222208658854,3
ssp585,PHW,tot,hist,25.52531684184052,0.43994659758562543,22.888888676961262,3
ssp585,SHW,count,fut,3.7048222590753515,1.810096972072571,2.833333373069763,3
ssp585,SHW,count,hist,2.0546253300004,0.018473480115054442,1.855555534362793,3
ssp585,SHW,cum,fut,561.6885422559989,489.15775035485206,562.9183146158854,3
ssp585,SHW,cum,hist,20.73032601093673,1.1511234054505386,21.68322213490804,3
ssp585,SHW,dur,fut,114.3476827617817,61.30266768256767,95.62666702270508,3
ssp585,SHW,dur,hist,8.410580519845716,0.023214433331660143,8.166888554890951,3
ssp585,SHW,int,fut,3.687797846558657,0.8056796004240201,4.194888909657796,3
ssp585,SHW,int,hist,1.8516497049194787,0.08815291070536645,1.899666666984558,3
ssp585,SHW,tot,fut,237.89089740258555,18.97720618595086,217.63333638509116,3
ssp585,SHW,tot,hist,22.180167778641287,0.48210919864987567,20.522221883138023,3
