ssp,tipo,metrica,periodo,banda_lat,ensemble_mean,ensemble_std,n_models
ssp126,SHW,tot,fut,Tropical,154.4801261135218,78.18712413663549,3
ssp126,SHW,tot,hist,Polar,10.687000074313397,0.3084291278008541,3
ssp126,SHW,tot,hist,Subpolar,15.584751756927261,0.3891748801293003,3
ssp126,SHW,tot,hist,Temperada,22.69899232858117,0.6243508530281983,3
ssp126,SHW,tot,hist,Tropical,28.559918193485828,0.30908934533222715,3
ssp370,LHW,count,fut,Polar,1.9846961542393082,0.6882066199608347,3
ssp370,LHW,count,fut,Subpolar,3.096728263367767,1.2803609148359834,3
ssp370,LHW,count,fut,Temperada,5.118389806442747,1.8034475162134787,3
ssp370,LHW,count,fut,Tropical,4.996860496925607,2.2204402037098303,3
ssp370,LHW,count,hist,Polar,0.8172672137895454,0.0064206855364738165,3
ssp370,LHW,count,hist,Subpolar,1.3347587086534272,0.022500013954394344,3
ssp370,LHW,count,hist,Temperada,2.1620537545351883,0.025070070123116316,3
ssp370,LHW,count,hist,Tropical,2.6262281093525424,0.014939493920217716,3
ssp370,LHW,cum,fut,Polar,439.06511807969474,387.60271371342725,3
ssp370,LHW,cum,fut,Subpolar,452.6046154777239,447.17807089408564,3
ssp370,LHW,cum,fut,Temperada,385.6595699100396,367.24430152287147,3
ssp370,LHW,cum,fut,Tropical,331.57465800693797,289.6491945327598,3
ssp370,LHW,cum,hist,Polar,26.34742851917791,1.414291402981423,3
ssp370,LHW,cum,hist,Subpolar,25.021068838851154,1.1192826719630782,3
ssp370,LHW,cum,hist,Temperada,21.057359228421863,1.6922177154720304,3
ssp370,LHW,cum,hist,Tropical,15.649366904182452,0.49447888990150063,3
ssp370,LHW,dur,fut,Polar,66.75451929481858,35.36805492014314,3
ssp370,LHW,dur,fut,Subpolar,78.30954989850224,53.68150807799,3
ssp370,LHW,dur,fut,Temperada,87.90238889352726,58.148269985904165,3
ssp370,LHW,dur,fut,Tropical,106.14286887119287,61.39807050012915,3
ssp370,LHW,dur,hist,Polar,7.085280032707192,0.25047777026677576,3
ssp370,LHW,dur,hist,Subpolar,7.824489660795462,0.05696268429499793,3
ssp370,LHW,dur,hist,Temperada,8.534064036378508,0.0971117064447614,3
ssp370,LHW,dur,hist,Tropical,9.083953942150076,0.14470614294938172,3
ssp370,LHW,int,fut,Polar,5.675531327401064,2.1766450309479697,3
ssp370,LHW,int,fut,Subpolar,4.717978727196413,1.5992338257593544,3
