sample_id,country,location,admin1_name,latitude,longitude,analysis_pop,pop_code,SuperPopulation,collection_method,collection_date,data_qc_pass
AfkC4,Afghanistan,Kunar,Kunar,34.8466,71.0973,Afghanistan & Pakistan,APA,Asia,larvae,01/01/2017,1.0
AfkC5,Afghanistan,Kunar,Kunar,34.8466,71.0973,Afghanistan & Pakistan,APA,Asia,larvae,01/01/2017,1.0
AfkE3,Afghanistan,Kunar,Kunar,34.8466,71.0973,Afghanistan & Pakistan,APA,Asia,larvae,01/01/2017,1.0
AfkE4,Afghanistan,Kunar,Kunar,34.8466,71.0973,Afghanistan & Pakistan,APA,Asia,larvae,01/01/2017,1.0
AfkE5,Afghanistan,Kunar,Kunar,34.8466,71.0973,Afghanistan & Pakistan,APA,Asia,larvae,01/01/2017,1.0
AfkF3,Afghanistan,Kunar,Kunar,34.8466,71.0973,Afghanistan & Pakistan,APA,Asia,larvae,01/01/2017,1.0
AfkF4,Afghanistan,Kunar,Kunar,34.8466,71.0973,Afghanistan & Pakistan,APA,Asia,larvae,01/01/2017,1.0
AfkF7,Afghanistan,Kunar,Kunar,34.8466,71.0973,Afghanistan & Pakistan,APA,Asia,larvae,01/01/2017,1.0
AfkH3,Afghanistan,Kunar,Kunar,34.8466,71.0973,Afghanistan & Pakistan,APA,Asia,larvae,01/01/2017,1.0
AfkH4,Afghanistan,Kunar,Kunar,34.8466,71.0973,Afghanistan & Pakistan,APA,Asia,larvae,01/01/2017,1.0
Babi_I_01,Ethiopia,Babile,Oromia,9.2,41.0,Ethiopia Babile,ETB,Horn of Africa & Yemen,larvae,01/10/2023,1.0
Babi_I_02,Ethiopia,Babile,Oromia,9.2,41.0,Ethiopia Babile,ETB,Horn of Africa & Yemen,larvae,01/10/2023,1.0
Babi_I_03,Ethiopia,Babile,Oromia,9.2,41.0,Ethiopia Babile,ETB,Horn of Africa & Yemen,larvae,01/10/2023,1.0
Babi_I_04,Ethiopia,Babile,Oromia,9.2,41.0,Ethiopia Babile,ETB,Horn of Africa & Yemen,larvae,01/10/2023,1.0
Babi_I_05,Ethiopia,Babile,Oromia,9.2,41.0,Ethiopia Babile,ETB,Horn of Africa & Yemen,larvae,01/10/2023,1.0
Babi_I_06,Ethiopia,Babile,Oromia,9.2,41.0,Ethiopia Babile,ETB,Horn of Africa & Yemen,larvae,01/10/2023,1.0
Babi_I_07,Ethiopia,Babile,Oromia,9.2,41.0,Ethiopia Babile,ETB,Horn of Africa & Yemen,larvae,01/10/2023,1.0
Babi_I_08,Ethiopia,Babile,Oromia,9.2,41.0,Ethiopia Babile,ETB,Horn of Africa & Yemen,larvae,01/10/2023,1.0
Babi_I_09,Ethiopia,Babile,Oromia,9.2,41.0,Ethiopia Babile,ETB,Horn of Africa & Yemen,larvae,01/10/2023,1.0
Babi_I_10,Ethiopia,Babile,Oromia,9.2,41.0,Ethiopia Babile,ETB,Horn of Africa & Yemen,larvae,01/10/2023,1.0
Babi_I_11,Ethiopia,Babile,Oromia,9.2,41.0,Ethiopia Babile,ETB,Horn of Africa & Yemen,larvae,01/10/2023,1.0
Babi_I_12,Ethiopia,Babile,Oromia,9.2,41.0,Ethiopia Babile,ETB,Horn of Africa & Yemen,larvae,01/10/2023,1.0
Babi_I_13,Ethiopia,Babile,Oromia,9.2,41.0,Ethiopia Babile,ETB,Horn of Africa & Yemen,larvae,01/10/2023,1.0
Babi_I_14,Ethiopia,Babile,Oromia,9.2,41.0,Ethiopia Babile,ETB,Horn of Africa & Yemen,larvae,01/10/2023,1.0
Babi_I_15,Ethiopia,Babile,Oromia,9.2,41.0,Ethiopia Babile,ETB,Horn of Africa & Yemen,larvae,01/10/2023,1.0
Babi_I_16,Ethiopia,Babile,Oromia,9.2,41.0,Ethiopia Babile,ETB,Horn of Africa & Yemen,larvae,01/10/2023,1.0
Babi_I_17,Ethiopia,Babile,Oromia,9.2,41.0,Ethiopia Babile,ETB,Horn of Africa & Yemen,larvae,01/10/2023,1.0
Babi_I_18,Ethiopia,Babile,Oromia,9.2,41.0,Ethiopia Babile,ETB,Horn of Africa & Yemen,larvae,01/10/2023,1.0
Babi_I_19,Ethiopia,Babile,Oromia,9.2,41.0,Ethiopia Babile,ETB,Horn of Africa & Yemen,larvae,01/10/2023,1.0
C1aSud001,Sudan,HaiElShati,WhiteNile,13.171508,32.664543,Sudan,SUD,Horn of Africa & Yemen,Prokopack,24/07/2022,1.0
C1aSud002,Sudan,AlHideiba,Gezira,14.4850604,33.6572116,Sudan,SUD,Horn of Africa & Yemen,Prokopack,25/07/2022,1.0
C1aSud004,Sudan,Tabat,Gezira,14.6686857,33.0836311,Sudan,SUD,Horn of Africa & Yemen,Prokopack,28/07/2022,1.0
C1aSud007,Sudan,ElZedab,RiverNile,17.4308,33.85513,Sudan,SUD,Horn of Africa & Yemen,Prokopack,26/07/2022,1.0
C1aSud008,Sudan,ElZedab,RiverNile,17.4308,33.85513,Sudan,SUD,Horn of Africa & Yemen,Prokopack,26/07/2022,1.0
C1aSud009,Sudan,Wafara,WhiteNile,13.012012,31.867825,Sudan,SUD,Horn of Africa & Yemen,Prokopack,25/07/2022,1.0
C1aSud011,Sudan,Wafara,WhiteNile,13.012012,31.867825,Sudan,SUD,Horn of Africa & Yemen,Prokopack,25/07/2022,1.0
C1aSud012,Sudan,Wafara,WhiteNile,13.012012,31.867825,Sudan,SUD,Horn of Africa & Yemen,Prokopack,25/07/2022,1.0
C1aSud015,Sudan,Wafara,WhiteNile,13.012012,31.867825,Sudan,SUD,Horn of Africa & Yemen,Prokopack,25/07/2022,1.0
C1aSud018,Sudan,Wafara,WhiteNile,13.012012,31.867825,Sudan,SUD,Horn of Africa & Yemen,Prokopack,25/07/2022,1.0
C1aSud020,Sudan,Wafara,WhiteNile,13.012012,31.867825,Sudan,SUD,Horn of Africa & Yemen,Prokopack,25/07/2022,1.0
C1aSud022,Sudan,Wafara,WhiteNile,13.012012,31.867825,Sudan,SUD,Horn of Africa & Yemen,Prokopack,25/07/2022,1.0
C1aSud023,Sudan,Wafara,WhiteNile,13.012012,31.867825,Sudan,SUD,Horn of Africa & Yemen,Prokopack,25/07/2022,1.0
C1aSud024,Sudan,Wafara,WhiteNile,13.012012,31.867825,Sudan,SUD,Horn of Africa & Yemen,Prokopack,25/07/2022,1.0
C1aSud025,Sudan,Wafara,WhiteNile,13.012012,31.867825,Sudan,SUD,Horn of Africa & Yemen,Prokopack,25/07/2022,1.0
C1aSud027,Sudan,Wafara,WhiteNile,13.012012,31.867825,Sudan,SUD,Horn of Africa & Yemen,Prokopack,25/07/2022,1.0
C1aSud028,Sudan,Wafara,WhiteNile,13.012012,31.867825,Sudan,SUD,Horn of Africa & Yemen,Prokopack,25/07/2022,1.0
C1aSud029,Sudan,SouthShandi,RiverNile,16.6328282,33.2554837,Sudan,SUD,Horn of Africa & Yemen,Prokopack,29/07/2022,1.0
C1aSud030,Sudan,SouthShandi,RiverNile,16.6328282,33.2554837,Sudan,SUD,Horn of Africa & Yemen,Prokopack,29/07/2022,1.0
C1aSud031,Sudan,SouthShandi,RiverNile,16.6328282,33.2554837,Sudan,SUD,Horn of Africa & Yemen,Prokopack,29/07/2022,1.0
C1aSud032,Sudan,SouthShandi,RiverNile,16.6328282,33.2554837,Sudan,SUD,Horn of Africa & Yemen,Prokopack,29/07/2022,1.0
C1aSud033,Sudan,SouthShandi,RiverNile,16.6328282,33.2554837,Sudan,SUD,Horn of Africa & Yemen,Prokopack,29/07/2022,1.0
C1aSud035,Sudan,Agaja,Northern,19.1882189,30.4786908,Sudan,SUD,Horn of Africa & Yemen,Prokopack,23/07/2022,1.0
C1aSud036,Sudan,Agaja,Northern,19.1882189,30.4786908,Sudan,SUD,Horn of Africa & Yemen,Prokopack,23/07/2022,1.0
C1aSud037,Sudan,Agaja,Northern,19.1882189,30.4786908,Sudan,SUD,Horn of Africa & Yemen,Prokopack,23/07/2022,1.0
C1aSud038,Sudan,Agaja,Northern,19.1882189,30.4786908,Sudan,SUD,Horn of Africa & Yemen,Prokopack,23/07/2022,1.0
C1aSud039,Sudan,Agaja,Northern,19.1882189,30.4786908,Sudan,SUD,Horn of Africa & Yemen,Prokopack,23/07/2022,1.0
C1aSud040,Sudan,Agaja,Northern,19.1882189,30.4786908,Sudan,SUD,Horn of Africa & Yemen,Prokopack,23/07/2022,1.0
C1aSud041,Sudan,AlGalaa,Sennar,13.5194564,33.6245931,Sudan,SUD,Horn of Africa & Yemen,Prokopack,24/07/2022,1.0
C1aSud042,Sudan,AlGalaa,Sennar,13.5194564,33.6245931,Sudan,SUD,Horn of Africa & Yemen,Prokopack,24/07/2022,1.0
C1aSud043,Sudan,AlGalaa,Sennar,13.5194564,33.6245931,Sudan,SUD,Horn of Africa & Yemen,Prokopack,24/07/2022,1.0
C1aSud044,Sudan,AlGalaa,Sennar,13.5194564,33.6245931,Sudan,SUD,Horn of Africa & Yemen,Prokopack,24/07/2022,1.0
C1aSud045,Sudan,AlGalaa,Sennar,13.5194564,33.6245931,Sudan,SUD,Horn of Africa & Yemen,Prokopack,24/07/2022,1.0
C1aSud046,Sudan,AlGalaa,Sennar,13.5194564,33.6245931,Sudan,SUD,Horn of Africa & Yemen,Prokopack,24/07/2022,1.0
C1aSud047,Sudan,AlGalaa,Sennar,13.5194564,33.6245931,Sudan,SUD,Horn of Africa & Yemen,Prokopack,24/07/2022,1.0
C1aSud048,Sudan,AlGalaa,Sennar,13.5194564,33.6245931,Sudan,SUD,Horn of Africa & Yemen,Prokopack,24/07/2022,1.0
C1aSud049,Sudan,AlGalaa,Sennar,13.5194564,33.6245931,Sudan,SUD,Horn of Africa & Yemen,Prokopack,24/07/2022,1.0
C1aSud050,Sudan,AlGalaa,Sennar,13.5194564,33.6245931,Sudan,SUD,Horn of Africa & Yemen,Prokopack,24/07/2022,1.0
C1aSud051,Sudan,AlGalaa,Sennar,13.5194564,33.6245931,Sudan,SUD,Horn of Africa & Yemen,Prokopack,24/07/2022,1.0
C1aSud052,Sudan,AlGalaa,Sennar,13.5194564,33.6245931,Sudan,SUD,Horn of Africa & Yemen,Prokopack,24/07/2022,1.0
C1aSud053,Sudan,AlGalaa,Sennar,13.5194564,33.6245931,Sudan,SUD,Horn of Africa & Yemen,Prokopack,24/07/2022,1.0
C1aSud054,Sudan,AlGalaa,Sennar,13.5194564,33.6245931,Sudan,SUD,Horn of Africa & Yemen,Prokopack,24/07/2022,1.0
C1aSud055,Sudan,AlGalaa,Sennar,13.5194564,33.6245931,Sudan,SUD,Horn of Africa & Yemen,Prokopack,24/07/2022,1.0
C1aSud058,Sudan,AlGalaa,Sennar,13.5194564,33.6245931,Sudan,SUD,Horn of Africa & Yemen,Prokopack,24/07/2022,1.0
C1aSud059,Sudan,AlGalaa,Sennar,13.5194564,33.6245931,Sudan,SUD,Horn of Africa & Yemen,Prokopack,24/07/2022,1.0
C1aSud060,Sudan,AlGalaa,Sennar,13.5194564,33.6245931,Sudan,SUD,Horn of Africa & Yemen,Prokopack,24/07/2022,1.0
C1aSud061,Sudan,AlGalaa,Sennar,13.5194564,33.6245931,Sudan,SUD,Horn of Africa & Yemen,Prokopack,24/07/2022,1.0
C1aSud063,Sudan,AlShukria,Kassala,15.3700786,36.3766632,Sudan,SUD,Horn of Africa & Yemen,Prokopack,25/07/2022,1.0
C1aSud065,Sudan,AlShukria,Kassala,15.3700786,36.3766632,Sudan,SUD,Horn of Africa & Yemen,Prokopack,25/07/2022,1.0
C1aSud066,Sudan,AlShukria,Kassala,15.3700786,36.3766632,Sudan,SUD,Horn of Africa & Yemen,Prokopack,25/07/2022,1.0
C1aSud067,Sudan,AlShukria,Kassala,15.3700786,36.3766632,Sudan,SUD,Horn of Africa & Yemen,Prokopack,25/07/2022,1.0
C1aSud068,Sudan,AlShukria,Kassala,15.3700786,36.3766632,Sudan,SUD,Horn of Africa & Yemen,Prokopack,25/07/2022,1.0
C1aSud069,Sudan,AlShukria,Kassala,15.3700786,36.3766632,Sudan,SUD,Horn of Africa & Yemen,Prokopack,25/07/2022,1.0
C1aSud070,Sudan,AlShukria,Kassala,15.3700786,36.3766632,Sudan,SUD,Horn of Africa & Yemen,Prokopack,25/07/2022,1.0
C1aSud071,Sudan,AlShukria,Kassala,15.3700786,36.3766632,Sudan,SUD,Horn of Africa & Yemen,Prokopack,25/07/2022,1.0
C1aSud072,Sudan,ElMeaileg,Gezira,15.0135466,33.0864865,Sudan,SUD,Horn of Africa & Yemen,Prokopack,24/07/2022,1.0
C1aSud073,Sudan,ElMeaileg,Gezira,15.0135466,33.0864865,Sudan,SUD,Horn of Africa & Yemen,Prokopack,24/07/2022,1.0
C1aSud074,Sudan,ElMeaileg,Gezira,15.0135466,33.0864865,Sudan,SUD,Horn of Africa & Yemen,Prokopack,24/07/2022,1.0
C1aSud075,Sudan,ElMeaileg,Gezira,15.0135466,33.0864865,Sudan,SUD,Horn of Africa & Yemen,Prokopack,24/07/2022,1.0
C1aSud076,Sudan,ElMeaileg,Gezira,15.0135466,33.0864865,Sudan,SUD,Horn of Africa & Yemen,Prokopack,24/07/2022,1.0
C1aSud077,Sudan,Agaja,Northern,19.1882189,30.4786908,Sudan,SUD,Horn of Africa & Yemen,Prokopack,23/07/2022,1.0
C1aSud078,Sudan,ElZedab,RiverNile,17.4308,33.85513,Sudan,SUD,Horn of Africa & Yemen,Prokopack,26/07/2022,1.0
C1aSud080,Sudan,GeziraIslang,Khartoum,15.88349,32.52324,Sudan,SUD,Horn of Africa & Yemen,Prokopack,29/07/2022,1.0
C1aSud081,Sudan,GeziraIslang,Khartoum,15.88349,32.52324,Sudan,SUD,Horn of Africa & Yemen,Prokopack,29/07/2022,1.0
C1aSud082,Sudan,GeziraIslang,Khartoum,15.88349,32.52324,Sudan,SUD,Horn of Africa & Yemen,Prokopack,29/07/2022,1.0
C1aSud083,Sudan,ElSalamaniaWest,Khartoum,15.3840372,32.4500117,Sudan,SUD,Horn of Africa & Yemen,Prokopack,23/07/2022,1.0
C1aSud086,Sudan,Arkaweet,Khartoum,15.5373164,32.6010626,Sudan,SUD,Horn of Africa & Yemen,Prokopack,28/07/2022,1.0
C1aSud087,Sudan,Arkaweet,Khartoum,15.5373164,32.6010626,Sudan,SUD,Horn of Africa & Yemen,Prokopack,28/07/2022,1.0
C1aSud088,Sudan,Arkaweet,Khartoum,15.5373164,32.6010626,Sudan,SUD,Horn of Africa & Yemen,Prokopack,28/07/2022,1.0
C1aSud089,Sudan,Arkaweet,Khartoum,15.5373164,32.6010626,Sudan,SUD,Horn of Africa & Yemen,Prokopack,28/07/2022,1.0
C1aSud090,Sudan,Arkaweet,Khartoum,15.5373164,32.6010626,Sudan,SUD,Horn of Africa & Yemen,Prokopack,28/07/2022,1.0
C1aSud092,Sudan,Arkaweet,Khartoum,15.5373164,32.6010626,Sudan,SUD,Horn of Africa & Yemen,Prokopack,28/07/2022,1.0
C1aSud093,Sudan,Arkaweet,Khartoum,15.5373164,32.6010626,Sudan,SUD,Horn of Africa & Yemen,Prokopack,28/07/2022,1.0
C1aSud094,Sudan,GeziraIslang,Khartoum,15.88349,32.52324,Sudan,SUD,Horn of Africa & Yemen,Prokopack,29/07/2022,1.0
C1aSud095,Sudan,GeziraIslang,Khartoum,15.88349,32.52324,Sudan,SUD,Horn of Africa & Yemen,Prokopack,29/07/2022,1.0
C1aSud096,Sudan,GeziraIslang,Khartoum,15.88349,32.52324,Sudan,SUD,Horn of Africa & Yemen,Prokopack,29/07/2022,1.0
C1aSud097,Sudan,GeziraIslang,Khartoum,15.88349,32.52324,Sudan,SUD,Horn of Africa & Yemen,Prokopack,29/07/2022,1.0
C1aSud098,Sudan,Haiya,RedSea,18.3349676,36.3892839,Sudan,SUD,Horn of Africa & Yemen,Prokopack,27/07/2022,1.0
C1aSud099,Sudan,Haiya,RedSea,18.3349676,36.3892839,Sudan,SUD,Horn of Africa & Yemen,Prokopack,28/07/2022,1.0
C1aSud100,Sudan,Haiya,RedSea,18.3349676,36.3892839,Sudan,SUD,Horn of Africa & Yemen,Prokopack,29/07/2022,1.0
C1aSud101,Sudan,Haiya,RedSea,18.3349676,36.3892839,Sudan,SUD,Horn of Africa & Yemen,Prokopack,27/07/2022,1.0
C1aSud102,Sudan,Haiya,RedSea,18.3349676,36.3892839,Sudan,SUD,Horn of Africa & Yemen,Prokopack,30/07/2022,1.0
C1aSud103,Sudan,Haiya,RedSea,18.3349676,36.3892839,Sudan,SUD,Horn of Africa & Yemen,Prokopack,27/07/2022,1.0
C1aSud105,Sudan,Haiya,RedSea,18.3349676,36.3892839,Sudan,SUD,Horn of Africa & Yemen,Prokopack,31/07/2022,1.0
C1aSud106,Sudan,Haiya,RedSea,18.3349676,36.3892839,Sudan,SUD,Horn of Africa & Yemen,Prokopack,01/08/2022,1.0
C1aSud107,Sudan,Haiya,RedSea,18.3349676,36.3892839,Sudan,SUD,Horn of Africa & Yemen,Prokopack,27/07/2022,1.0
C1aSud108,Sudan,Haiya,RedSea,18.3349676,36.3892839,Sudan,SUD,Horn of Africa & Yemen,Prokopack,02/08/2022,1.0
C1aSud110,Sudan,Haiya,RedSea,18.3349676,36.3892839,Sudan,SUD,Horn of Africa & Yemen,Prokopack,03/08/2022,1.0
C1aSud112,Sudan,Haiya,RedSea,18.3349676,36.3892839,Sudan,SUD,Horn of Africa & Yemen,Prokopack,04/08/2022,1.0
C1aSud113,Sudan,Haiya,RedSea,18.3349676,36.3892839,Sudan,SUD,Horn of Africa & Yemen,Prokopack,27/07/2022,1.0
C1aSud115,Sudan,Haiya,RedSea,18.3349676,36.3892839,Sudan,SUD,Horn of Africa & Yemen,Prokopack,27/07/2022,1.0
C1aSud116,Sudan,Haiya,RedSea,18.3349676,36.3892839,Sudan,SUD,Horn of Africa & Yemen,Prokopack,05/08/2022,1.0
C1aSud117,Sudan,Haiya,RedSea,18.3349676,36.3892839,Sudan,SUD,Horn of Africa & Yemen,Prokopack,06/08/2022,1.0
C1aSud118,Sudan,Haiya,RedSea,18.3349676,36.3892839,Sudan,SUD,Horn of Africa & Yemen,Prokopack,27/07/2022,1.0
C1aSud119,Sudan,Haiya,RedSea,18.3349676,36.3892839,Sudan,SUD,Horn of Africa & Yemen,Prokopack,07/08/2022,1.0
C1aSud120,Sudan,Haiya,RedSea,18.3349676,36.3892839,Sudan,SUD,Horn of Africa & Yemen,Prokopack,08/08/2022,1.0
C1aSud121,Sudan,Haiya,RedSea,18.3349676,36.3892839,Sudan,SUD,Horn of Africa & Yemen,Prokopack,27/07/2022,1.0
C1aSud122,Sudan,Haiya,RedSea,18.3349676,36.3892839,Sudan,SUD,Horn of Africa & Yemen,Prokopack,27/07/2022,1.0
C1aSud123,Sudan,Haiya,RedSea,18.3349676,36.3892839,Sudan,SUD,Horn of Africa & Yemen,Prokopack,09/08/2022,1.0
C1aSud124,Sudan,Haiya,RedSea,18.3349676,36.3892839,Sudan,SUD,Horn of Africa & Yemen,Prokopack,27/07/2022,1.0
C1aSud125,Sudan,Haiya,RedSea,18.3349676,36.3892839,Sudan,SUD,Horn of Africa & Yemen,Prokopack,27/07/2022,1.0
C1aSud126,Sudan,Haiya,RedSea,18.3349676,36.3892839,Sudan,SUD,Horn of Africa & Yemen,Prokopack,10/08/2022,1.0
C1aSud127,Sudan,Haiya,RedSea,18.3349676,36.3892839,Sudan,SUD,Horn of Africa & Yemen,Prokopack,27/07/2022,1.0
C1aSud128,Sudan,Haiya,RedSea,18.3349676,36.3892839,Sudan,SUD,Horn of Africa & Yemen,Prokopack,27/07/2022,1.0
C1aSud130,Sudan,Haiya,RedSea,18.3349676,36.3892839,Sudan,SUD,Horn of Africa & Yemen,Prokopack,11/08/2022,1.0
C1aSud131,Sudan,Haiya,RedSea,18.3349676,36.3892839,Sudan,SUD,Horn of Africa & Yemen,Prokopack,12/08/2022,1.0
C1aSud132,Sudan,Haiya,RedSea,18.3349676,36.3892839,Sudan,SUD,Horn of Africa & Yemen,Prokopack,13/08/2022,1.0
C1aSud134,Sudan,Haiya,RedSea,18.3349676,36.3892839,Sudan,SUD,Horn of Africa & Yemen,Prokopack,14/08/2022,1.0
C1aSud137,Sudan,Galalabat,Gedarif,12.9858162,35.844346,Sudan,SUD,Horn of Africa & Yemen,Prokopack,24/07/2022,1.0
C1aSud138,Sudan,Galalabat,Gedarif,12.9858162,35.844346,Sudan,SUD,Horn of Africa & Yemen,Prokopack,24/07/2022,1.0
C1aSud142,Sudan,Galalabat,Gedarif,12.9858162,35.844346,Sudan,SUD,Horn of Africa & Yemen,Prokopack,24/07/2022,1.0
C1aSud143,Sudan,Galalabat,Gedarif,12.9858162,35.844346,Sudan,SUD,Horn of Africa & Yemen,Prokopack,24/07/2022,1.0
C1aSud144,Sudan,Galalabat,Gedarif,12.9858162,35.844346,Sudan,SUD,Horn of Africa & Yemen,Prokopack,24/07/2022,1.0
C1aSud146,Sudan,Galalabat,Gedarif,12.9858162,35.844346,Sudan,SUD,Horn of Africa & Yemen,Prokopack,24/07/2022,1.0
C1aSud148,Sudan,Galalabat,Gedarif,12.9858162,35.844346,Sudan,SUD,Horn of Africa & Yemen,Prokopack,24/07/2022,1.0
C1aSud150,Sudan,Galalabat,Gedarif,12.9858162,35.844346,Sudan,SUD,Horn of Africa & Yemen,Prokopack,24/07/2022,1.0
C1aSud152,Sudan,Galalabat,Gedarif,12.9858162,35.844346,Sudan,SUD,Horn of Africa & Yemen,Prokopack,24/07/2022,1.0
C1aSud153,Sudan,Galalabat,Gedarif,12.9858162,35.844346,Sudan,SUD,Horn of Africa & Yemen,Prokopack,24/07/2022,1.0
C1aSud154,Sudan,Galalabat,Gedarif,12.9858162,35.844346,Sudan,SUD,Horn of Africa & Yemen,Prokopack,24/07/2022,1.0
C1aSud157,Sudan,Galalabat,Gedarif,12.9858162,35.844346,Sudan,SUD,Horn of Africa & Yemen,Prokopack,24/07/2022,1.0
C1aSud160,Sudan,Galalabat,Gedarif,12.9858162,35.844346,Sudan,SUD,Horn of Africa & Yemen,Prokopack,24/07/2022,1.0
C1aSud162,Sudan,ElZedab,RiverNile,17.4308,33.85513,Sudan,SUD,Horn of Africa & Yemen,Prokopack,26/07/2022,1.0
C1aSud163,Sudan,ElZedab,RiverNile,17.4308,33.85513,Sudan,SUD,Horn of Africa & Yemen,Prokopack,26/07/2022,1.0
C1aSud164,Sudan,Arkaweet,Khartoum,15.5373164,32.6010626,Sudan,SUD,Horn of Africa & Yemen,CDC,28/07/2022,1.0
C1aSud165,Sudan,Arkaweet,Khartoum,15.5373164,32.6010626,Sudan,SUD,Horn of Africa & Yemen,CDC,28/07/2022,1.0
C1aSud166,Sudan,Arkaweet,Khartoum,15.5373164,32.6010626,Sudan,SUD,Horn of Africa & Yemen,Prokopack,28/07/2022,1.0
C1aSud167,Sudan,Arkaweet,Khartoum,15.5373164,32.6010626,Sudan,SUD,Horn of Africa & Yemen,Prokopack,28/07/2022,1.0
C1aSud168,Sudan,Arkaweet,Khartoum,15.5373164,32.6010626,Sudan,SUD,Horn of Africa & Yemen,Prokopack,28/07/2022,1.0
C1aSud171,Sudan,Arkaweet,Khartoum,15.5373164,32.6010626,Sudan,SUD,Horn of Africa & Yemen,Prokopack,28/07/2022,1.0
C1aSud173,Sudan,Arkaweet,Khartoum,15.5373164,32.6010626,Sudan,SUD,Horn of Africa & Yemen,Prokopack,28/07/2022,1.0
C1aSud174,Sudan,Arkaweet,Khartoum,15.5373164,32.6010626,Sudan,SUD,Horn of Africa & Yemen,Prokopack,28/07/2022,1.0
C1aSud175,Sudan,Arkaweet,Khartoum,15.5373164,32.6010626,Sudan,SUD,Horn of Africa & Yemen,Prokopack,28/07/2022,1.0
C1aSud176,Sudan,Agaja,Northern,19.1882189,30.4786908,Sudan,SUD,Horn of Africa & Yemen,Prokopack,23/07/2022,1.0
C1aSud177,Sudan,Agaja,Northern,19.1882189,30.4786908,Sudan,SUD,Horn of Africa & Yemen,Prokopack,23/07/2022,1.0
C1aSud178,Sudan,Agaja,Northern,19.1882189,30.4786908,Sudan,SUD,Horn of Africa & Yemen,Prokopack,23/07/2022,1.0
C1aSud179,Sudan,Agaja,Northern,19.1882189,30.4786908,Sudan,SUD,Horn of Africa & Yemen,Prokopack,23/07/2022,1.0
C1aSud181,Sudan,Agaja,Northern,19.1882189,30.4786908,Sudan,SUD,Horn of Africa & Yemen,Prokopack,23/07/2022,1.0
C1aSud182,Sudan,PortSudan,RedSea,19.6387626,37.1906463,Sudan,SUD,Horn of Africa & Yemen,Prokopack,05/02/2023,1.0
C1aSud184,Sudan,PortSudan,RedSea,19.6387626,37.1906463,Sudan,SUD,Horn of Africa & Yemen,Prokopack,05/02/2023,1.0
C1aSud185,Sudan,PortSudan,RedSea,19.6387626,37.1906463,Sudan,SUD,Horn of Africa & Yemen,Prokopack,05/02/2023,1.0
C1aSud186,Sudan,PortSudan,RedSea,19.6387626,37.1906463,Sudan,SUD,Horn of Africa & Yemen,PSC,05/02/2023,1.0
C1aSud187,Sudan,PortSudan,RedSea,19.6387626,37.1906463,Sudan,SUD,Horn of Africa & Yemen,Prokopack,05/02/2023,1.0
C1aSud188,Sudan,PortSudan,RedSea,19.6387626,37.1906463,Sudan,SUD,Horn of Africa & Yemen,Prokopack,05/02/2023,1.0
