gene_name,Ribo_mut_rep1,Ribo_mut_rep2,Ribo_mut_rep3,Ribo_wt_rep1,Ribo_wt_rep2,Ribo_wt_rep3,RNA_mut_rep1,RNA_mut_rep2,RNA_mut_rep3,RNA_wt_rep1,RNA_wt_rep2,RNA_wt_rep3
1190007I07Rik,9.47819919,9.56749228,10.18833577,8.15060829,8.94738068,7.73335829,3.84543029,4.32606627,4.09887917,3.88191931,3.63662917,4.52611064
1500009L16Rik,30.93108754,34.30842933,27.44038689,31.19828191,52.45910299,53.32466187,9.13038839,9.22539872,9.15102705,10.5130369,9.70901897,10.8377745
1500011B03Rik,74.76258311000001,50.06484656,57.27026656,69.04073079,68.33905636,58.33425636,90.90417008,91.3804753,88.26253607,87.5704963,84.7279956,103.18132425
1600014C10Rik,19.66837579,16.07971007,17.64354118,19.81578008,13.67196428,15.9468561,9.12093941,9.44662242,8.62694082,8.09441815,8.82618785,9.00769975
1700001L19Rik,12.03334214,14.45982281,13.20638262,13.39591359,13.23838978,13.10712382,8.41216027,7.69710221,7.00927906,7.53405991,7.09320422,8.05038028
1700003E16Rik,2.68997306,2.75708908,2.1114779,2.79955828,2.8163405,2.43664943,11.07530711,12.24786892,11.74728587,12.57030527,10.2583721,11.89726255
1700007K13Rik,0.95910349,0.93090298,0.91108318,1.05738966,1.02062113,0.54298847,2.86198167,2.41520941,2.67156708,3.13906603,2.24723667,2.71883185
1700016K19Rik,1.20620876,0.90147181,0.87946434,1.21013398,1.56996517,1.05445488,2.85149711,2.43103109,3.08012294,3.33623522,2.36976276,3.54686799
1700025G04Rik,13.20732674,13.17792363,17.36639315,15.49266528,11.28890087,10.77599106,7.19238685,7.48501838,6.77151864,6.84337313,7.43337669,5.76446731
1700030J22Rik,3.46212967,3.17360719,3.14376328,3.55282926,3.19725027,3.31121692,3.55045777,3.54023803,3.52009212,3.15252893,3.03337829,2.80972814
1700030K09Rik,3.04761857,2.75756083,2.66020156,2.42389286,2.29170521,2.14807314,2.93189894,3.00591927,3.31197156,2.50355526,2.40430529,2.40601011
1700037C18Rik,2.42299829,2.2576847,2.40768243,2.20382266,2.30809396,1.66426807,1.96905393,1.75467425,1.90131265,1.68628063,1.89023947,2.29851872
1700037H04Rik,33.57939858,32.08665679,31.18264355,37.40450577,34.02563665,33.22098926,42.14585023,43.58584913,43.63241791,49.96502143,41.78134377,54.84912532
1700066M21Rik,8.86777653,9.05875425,8.49610615,7.45511713,11.36446246,11.56769652,3.41695165,3.41745173,3.32298018,3.05289268,4.54975776,3.43698723
1700088E04Rik,2.86405097,2.65217262,2.56155136,1.83371833,2.52340875,1.68151268,2.53733082,2.22656066,2.23867488,2.34577677,2.27822732,2.68196219
1810009A15Rik,8.93462308,9.00906967,10.14048976,10.1558505,10.57398046,9.83010353,5.56536643,5.23849214,5.0560873,5.08206479,4.96236865,5.73506136
1810013L24Rik,60.91002161,45.51225144,78.45739659,60.81001959,46.43325134,47.49690965,8.08068984,8.35392698,8.15337841,8.03968102,9.00526483,7.78758959
1810030O07Rik,8.82016667,8.32140264,8.83387687,8.56663503,9.76990115,7.94034817,5.77522395,5.83718859,5.64477523,5.38175678,5.60090872,5.46640997
1810037I17Rik,251.80826163,200.46572539,248.63416447,376.27691671,302.45104517,241.79537931,42.18514446,38.6030971,36.66828569,41.01211272,39.00277529,50.99909634
1810055G02Rik,1.46428014,1.32117162,1.885858,1.62725004,1.28074003,1.14693209,8.10198575,7.8001893,7.89943694,9.02758497,9.57578585,8.46564045
1810058I24Rik,26.0556448,32.19062505,30.04176914,32.12349786,41.2528476,43.93415538,6.30980222,6.71568629,6.51356373,6.95342823,5.80763152,7.60424449
2210016F16Rik,7.01645031,6.18185483,6.2973798,6.05762628,4.71531041,5.20771452,4.61970651,4.25847887,4.26610122,3.99408074,3.83477786,4.84162217
2210016L21Rik,83.5353016,76.40677795,87.14157063,84.79787805,92.73752771,78.46475464,56.98137722,55.13225894,54.46278007,54.45254764,47.8151529,61.39653217
2210418O10Rik,10.28727298,13.85514622,10.38315149,10.10582544,13.43854402,14.26959505,1.41453418,1.63719863,1.3979907,1.45941538,1.96024671,1.46040441
2300009A05Rik,0.92268184,0.63348537,1.27466668,1.12431306,0.5251052,0.64527893,7.03862988,8.24342228,8.9868712,7.78482654,8.32430376,9.93785442
2310009B15Rik,2.4642659,1.59816336,2.76370066,3.31943171,1.89753342,1.37087686,6.41517464,8.66095211,7.28853548,6.9042435,7.34461987,9.39940644
2310011J03Rik,44.5721549,17.11778251,52.80271946,42.76314487,20.01255461,20.92741447,22.84663609,21.81368124,21.69616053,22.33908726,20.14632886,24.41416554
2310022A10Rik,11.50017234,12.11203809,11.1220845,9.86057103,10.81377391,10.52903801,11.29133551,10.83269981,11.02557073,11.03177692,9.63031277,11.16077614
2310022B05Rik,11.37859001,12.60817302,14.54051347,10.77948195,12.62051591,13.88848019,23.05869519,28.86079087,26.59225584,27.42024781,25.68509558,26.55671103
2310030G06Rik,2.33781476,2.59023754,3.77620003,2.7201349,3.50015432,2.51531424,1.53314298,1.06612506,1.28770154,1.44444725,1.56553247,1.59924872
2310033P09Rik,22.75390348,18.64716369,21.60584437,21.58922299,20.95887306,21.56681185,14.30630496,13.08705184,13.67426537,15.24570601,11.41492397,16.83211968
2310039H08Rik,1.4011251,0.92475093,2.03148616,0.37073001,1.1543182,1.39982705,2.305928,2.05895018,2.38698828,2.84099415,1.71384902,3.13278028
2310057M21Rik,9.06945502,8.67358915,8.87053431,9.34114658,9.94356505,8.92324213,3.26903697,3.43237452,3.32212851,3.42279886,3.26669829,3.30947414
2310061I04Rik,15.80699675,13.52095336,13.28202678,13.82905059,12.74255274,12.12445142,30.95065198,30.79698213,33.57201081,33.32941381,28.43490518,35.31301326
2410004B18Rik,21.53478774,14.93065518,20.78509512,22.29842008,20.62706044,20.5153291,18.52123178,17.15847823,17.14480638,18.47336761,17.04118786,18.77340042
2510009E07Rik,21.07716584,15.24976101,20.44708686,21.45965944,16.99316331,16.3350635,9.10899014,8.67465832,8.40167494,8.91877798,9.29477989,6.97580619
2510039O18Rik,8.2769876,4.90601996,6.95217257,7.48611897,6.07986366,5.40825571,8.0459213,8.00689234,8.21824992,8.75155795,8.41755763,8.64903105
2610002M06Rik,63.18573789,92.20854671,71.29465659,56.95185298,99.72587828,92.13428371,6.43590003,6.31392737,5.87844661,5.60628157,7.4229363,5.24758619
2610044O15Rik8,2.91231425,3.65294483,2.88130494,1.7634481,4.95242765,4.86987685,1.05336136,1.25596401,0.9506674,0.91273569,1.33518745,0.90258131
2610301B20Rik,52.61887202,51.46843457,47.72448696,40.14191918,45.0877055,51.09147609,13.68749921,13.74098299,13.03976955,13.4288807,12.63996687,12.91833752
2610507B11Rik,6.34081126,6.61113552,7.34221694,7.01981834,7.43667996,5.75254805,30.43924261,32.5793405,33.57671251,30.54939832,32.39396129,24.79695343
2700062C07Rik,6.89850583,5.94001505,9.16450258,8.08350143,6.97731521,7.35979408,6.47567164,7.12121509,7.07842976,7.11153885,6.96172282,7.66620629
2700081O15Rik,4.12456876,2.06372553,3.47625444,3.38015862,2.40305873,2.21278504,10.26298166,9.63252643,9.89420818,9.74645109,9.53116841,9.08494752
2700097O09Rik,5.41163029,4.22568304,4.85487615,4.84690614,4.54210198,4.77965231,1.72465155,1.61979753,1.92542527,2.09002725,1.77592063,1.93586189
2810004N23Rik,20.46087444,27.70684172,21.31098041,22.42565985,28.7343025,27.8385228,6.07183203,5.8317674,5.79766942,5.23004933,5.02289596,4.61757439
2810006K23Rik,16.75579718,21.9117453,14.84897108,15.82449355,18.08821824,16.64911421,7.70733602,6.7145318,6.91600816,7.55883798,6.52117724,6.90099579
2810021J22Rik,6.09563551,5.59534751,4.62467954,5.94769935,5.63353598,4.62072542,1.78869792,1.89385071,1.96394041,1.79722737,2.03145563,1.41138339
2810459M11Rik,3.91633925,3.71430289,3.52445336,3.1087256,3.53376348,3.33512036,3.75492375,4.10658107,3.98765149,4.71181992,3.94745672,4.05745405
2900026A02Rik,2.3602419,1.63799291,1.97217188,2.44670626,1.45121675,1.47929214,6.39109248,6.39873411,6.07361816,5.87488426,6.02005364,5.28303564
3110009E18Rik,0.72499161,0.6896012,1.14178017,1.23090147,1.0888008,1.56332392,2.24866392,1.87005837,1.60373195,1.68144111,1.89895472,1.75220614
3110040N11Rik,18.42687019,18.81626131,17.63416035,17.45642091,19.9032786,18.84439098,6.90569124,7.55134155,7.22904281,6.42593883,7.30466412,8.36381589
3110082I17Rik,7.51623959,7.85150171,7.56267544,7.83072571,7.02676483,7.2003009,8.74373917,8.59781537,8.1681148,7.33562408,7.33793401,8.12850328
3830406C13Rik,7.58851113,9.19789431,8.60475647,7.44922881,10.90418446,9.69418692,1.81134563,1.8774402,1.87029031,1.93761701,2.46927498,2.08380823
4833420G17Rik,5.62274421,6.92033275,5.90345938,5.67342422,6.24842363,5.16477857,4.27930633,4.41168098,4.12961089,3.92260202,5.06053177,4.5996913
4833439L19Rik,14.10891712,17.18250922,16.56228084,16.3383398,18.23082327,14.06810841,43.91216632,44.8883057,44.23999814,47.83656647,45.43935074,44.51148714
4921524J17Rik,10.34594216,13.19744158,12.83745593,11.5065825,16.05805565,16.09801113,4.25019695,4.12949573,3.9851167,4.23533169,4.58798673,5.01025773
4930402H24Rik,16.11944102,14.30321384,14.8829217,13.48268594,15.35585593,15.37041741,12.16785571,12.99693099,13.15181599,12.98758327,12.72112847,11.17441964
4930430F08Rik,12.04727554,16.13504619,13.72940369,12.19660287,14.26621164,14.49475392,2.34550511,2.28082517,2.20068198,1.99491125,2.59722569,2.23993087
4930453N24Rik,7.84870936,7.97642485,7.77889993,7.92006063,8.3679801,8.50257895,2.2616366,2.2581756,1.9177682,2.3111312,2.36966512,2.17126748
4931406C07Rik,4.27347378,4.75114027,5.22613338,4.24990335,4.46339416,4.58487659,3.4364669,3.92087111,4.14526859,3.71213747,4.42115354,3.53460966
4931414P19Rik,1.96775476,2.01981901,1.81331918,2.03206101,1.84710435,1.4355545,1.96721261,2.0933624,1.94994379,2.11854344,1.69517263,1.84192766
4931428F04Rik,3.21340656,2.4461266,2.94349951,2.77849467,2.65918657,2.43075382,10.50168948,10.28952409,10.2545572,9.85749065,9.13541912,9.90506706
4932438A13Rik,4.55219715,5.4434059,4.7279694,4.93251365,5.10240851,4.69391335,1.00027463,0.96407056,1.13006934,1.00109441,1.7137592,0.79409175
4933407L21Rik,0.74943901,1.17839328,0.67444689,0.94191287,1.0419064,0.86105641,1.60868412,1.76374587,1.69996435,1.61615419,1.60023005,2.20103997
4933434E20Rik,13.00544332,11.38531581,16.1117868,16.05878824,14.21494771,13.81745955,10.06184351,9.46060609,9.4942384,9.69240899,9.32383237,10.2732504
5031439G07Rik,10.363054,10.53423603,10.28369602,11.4567778,11.48558488,9.39381884,18.98815991,18.06807964,17.87275513,21.73481777,19.10281733,17.41536434
5730455P16Rik,31.08661784,27.45308367,33.4142673,29.67092541,28.01524918,28.07634543,7.37863073,7.56163854,6.82201369,6.13353013,8.04784314,6.10106506
5730480H06Rik,6.31698684,7.13497879,7.1500098,6.50638611,8.28555544,7.24087248,2.04968372,2.1691508,2.03783899,2.01006353,1.87029376,2.14840633
6030458C11Rik,15.62277829,17.04422417,14.82066167,15.01331009,14.43332035,13.8692421,8.10801241,8.3197233,8.17100123,7.38604267,8.13279029,7.78392968
6330403K07Rik,391.62868392,258.27704793,323.29224659,349.40037229,329.59963591,375.31237426,171.01650701,164.68631768,166.80653947,170.35504063,162.22481154,194.4805034
6430548M08Rik,170.13743667,211.84942431,218.02248754,173.91447527,204.44764858,202.48772825,64.14701886,70.10627613,68.53053837,61.6499014,59.7009928,56.56242814
6430571L13Rik,3.95266893,2.16104895,3.61294613,3.40210317,4.29079898,3.34968716,1.82467368,1.82985335,2.36276375,1.90100728,2.09941468,1.95439986
8030462N17Rik,33.68371455,39.11356433,35.36537202,34.1604533,36.24258555,36.12661998,6.69991428,6.44253858,6.13011759,6.35459576,6.31763297,5.0775001
9030025P20Rik,5.57547177,6.75441149,5.94557964,4.24073469,6.57685286,5.89160316,2.18323024,2.53315214,2.69007725,2.44511818,2.49447763,2.42607771
9130019O22Rik,2.25671409,2.09288894,2.70997885,2.08989956,1.77930866,2.07143526,1.80752316,2.05656099,1.91483328,1.71522381,1.68841014,1.78654009
9130401M01Rik,13.47373267,11.38766378,11.20913854,11.63956394,10.97324387,11.2499059,22.64627311,22.96251479,21.90310669,22.7094171,20.85502285,24.3333724
9330159F19Rik,1.06896983,2.26598501,1.75084742,1.75551563,1.86995975,1.74436653,4.74164679,4.4379844,4.19751048,4.34052716,5.33099333,4.16252514
9430015G10Rik,2.57039735,1.87670041,2.45704749,1.95405609,1.82526566,2.11957147,3.78961149,4.06205094,3.86655303,3.34594053,3.61108743,3.44054942
9530068E07Rik,47.83338356,41.3569164,51.24443301,54.33572998,49.23125148,45.52585688,26.71261959,23.7474749,25.13853508,27.64241481,27.7826915,27.61284316
9530077C05Rik,3.18717467,2.851141,2.83505479,3.44351143,2.37199442,3.11640985,2.42227342,2.5657571,2.58224675,2.82726595,2.33379769,2.79363654
9930021J03Rik,0.87397596,1.11664291,1.04869618,0.94601962,1.05821988,1.16157575,2.53350369,2.90116348,2.84481411,2.46391474,3.18101136,2.28293965
9930104L06Rik,19.99158833,16.90178196,21.13748176,17.14484577,17.86192694,19.66714204,5.44717319,5.35833245,5.53301319,4.80733824,4.9904452,5.54455478
A2ml1,0.56874771,0.82435708,0.77407349,0.62424454,0.81239336,0.74026544,1.77065865,1.73380712,1.74481494,1.83664255,1.8250229,1.9687385
A430005L14Rik,2.95619777,2.5185157,3.03403777,2.6761571,2.15497717,2.64815768,14.76395502,14.8396068,14.60494103,15.6631731,13.60469488,18.73302726
A430033K04Rik,3.70684344,4.0050973,3.86824837,3.86063678,4.36965659,3.42762352,2.5010874,2.39387692,2.6307047,2.17798591,2.70878623,2.29882932
A830018L16Rik,30.46756633,30.60650096,40.05028084,32.43030631,27.42737225,28.86421484,4.04926317,4.21249441,3.874725,3.24862229,4.65177129,3.43301066
AI413582,11.32300819,6.25566803,10.55869523,11.31386404,7.78651134,9.1169966,25.17734131,24.03752582,24.55015312,26.65237819,23.92073313,30.54007628
AI429214,4.48886531,4.9577233,5.12398662,4.01203848,4.25180415,4.19789406,1.14537136,1.04154342,0.907843,0.96789912,1.04743192,1.07878264
AI597479,17.25563016,17.39773769,17.07987699,16.37656061,17.66156393,16.85800307,6.88435603,8.15255404,8.25182258,7.1035057,8.13265265,6.91892189
AI837181,37.36333594,28.43295267,33.86708362,30.51393154,26.36063205,27.49403908,43.37644905,42.89652067,41.81583489,42.65120251,40.22691946,47.37731443
AI854703,1.20358085,0.64396583,1.69805596,0.97528646,0.81339824,0.78911819,8.25105126,8.39198565,8.73298034,8.39177841,8.01940204,8.49031042
AK157302,89.94915189,79.44698393,96.36087874,69.58079452,94.32666588,106.94858164,56.52407752,58.10059897,54.32821567,53.40046324,56.05894069,55.09619943
AU022252,6.33008303,4.97325608,5.15577178,5.96875315,5.08861941,5.68796393,5.5181536,5.38148421,5.51565366,5.62661863,5.26951314,4.60456852
AU040320,9.71415916,8.5898165,9.59748308,8.86821988,8.47583415,7.45510773,14.19893277,13.11050887,14.36310711,12.73496331,13.78126372,11.76735991
AW549877,15.86584756,17.4098422,14.55522435,14.11496911,15.80584438,14.66101353,6.23828173,6.44244486,5.84834649,5.77474362,7.49283756,5.10597691
AW551984,3.97462018,4.31291398,4.03295036,4.36049106,3.73092134,3.69954293,1.58225467,1.68052447,1.77210597,1.58748063,1.32546541,1.38222001
AW554918,1.9815587,2.50971847,2.44686313,1.92741468,2.52448516,2.09178271,1.22772312,1.48848695,1.37294166,1.12710361,1.32822103,0.95276265
Aaas,4.71310819,3.88834941,4.97786466,3.91006072,3.92334539,3.71794407,5.63577823,5.59756188,6.22109759,5.12857613,5.40347998,6.06549486
Aacs,30.52029767,24.18610432,27.62704601,30.9249239,23.42296874,23.96761836,14.85657539,14.94365251,15.18750564,15.67382998,14.41652147,16.28339876
Aagab,36.88766481,42.5267022,33.97706459,35.77486116,41.61417261,43.38507101,11.8393111,12.35751735,11.60198565,11.94991271,11.55197707,11.88683397
Aak1,79.49369423,75.11363056,88.28755673,76.61528257,66.50005125,70.05429636,16.15218574,17.18095943,16.71726804,14.0988769,16.30853715,12.06669325
Aamdc,19.46278301,15.56288143,16.70124241,22.64567591,21.00022328,19.50084275,20.66528949,18.44201868,18.93395042,20.39480784,18.81395767,22.72911939
Aamp,133.05421042,113.00284531,131.34608804,133.98312619,112.92573477,107.49198279,85.08470684,82.34477517,86.94285304,82.95352791,78.67762009,97.93825409
Aar2,41.07454113,24.11275676,40.76072816,33.5903857,21.19060879,23.90310744,13.67131928,14.48068223,14.44158539,14.40242189,13.20007055,14.51630822
Aars,140.82687771,132.19537066,135.49530508,90.37898986,82.34444256,87.82193276,72.33241532,71.52019539,73.41925663,45.98945926,43.23871809,47.39449666
Aars2,8.50972148,7.11653977,7.94092652,7.65614786,6.76024318,7.06168276,7.65768795,7.11563482,7.80398414,7.04340076,7.06477507,7.62110098
Aarsd1,43.69148219,36.82246298,41.47735162,43.35377786,37.86580848,37.03114764,19.76288345,19.22541555,19.59980925,17.73977711,16.5388266,21.15017451
Aasdh,0.99656166,0.89772529,0.8926603,0.76155105,0.86910236,0.80416949,1.76658445,1.78878887,1.62418512,1.62170093,1.53185965,1.40345712
Aasdhppt,77.91632994,84.43133878,72.39909358,82.05889509,73.33178748,86.87733104,5.36919609,5.47254907,4.94212803,5.46533481,5.75140574,5.06326637
Aatf,20.31042684,21.96012495,17.53341505,18.86302896,20.01484453,20.94472416,9.42612677,8.17145851,7.93137126,6.83195162,7.11859532,8.0779051
Aatk,21.07990128,17.32411859,19.01508677,19.6888201,16.96262426,15.27560389,45.09683274,44.45347099,46.30676911,45.81947892,44.11667528,42.25342764
Abat,100.31341887,117.47170617,109.10027289,97.11066634,120.82324668,108.59463397,50.17321181,55.16651052,58.19918223,49.78858213,54.4409981,37.27152843
Abca2,18.99608095,14.70364699,17.67729115,18.8793318,17.3500452,15.39474277,29.10382769,27.58151026,29.31115497,31.18190879,29.50491356,23.45746613
Abca3,14.96313949,11.17214612,14.72267673,15.23653227,12.02894351,11.53454757,15.50651468,14.81951287,15.38978106,14.8422541,15.33238068,12.3364407
Abca5,10.35808419,9.48439991,9.41897214,9.53620026,9.92771617,10.55564455,1.40710219,1.46730843,1.57524162,1.32353556,2.36255329,1.19498162
Abca7,1.88281571,1.27537143,1.69812882,2.3434252,1.79097687,1.77464237,2.08748883,1.96541004,1.96724928,2.66581408,2.27066496,2.1585239
Abcb10,1.96107194,1.33675588,1.99147085,1.96497261,1.74585254,1.78367162,5.23460823,4.95676954,5.5532198,5.28689311,5.64196536,5.34793226
Abcb6,3.32216155,2.43399657,3.44023917,3.83520121,3.03128342,3.2781636,4.91135127,4.21113883,4.635008,5.20289952,4.78910133,4.91659131
Abcb7,14.63237834,15.65163156,15.80153327,14.76806849,14.54394948,14.90081508,1.58698019,1.75339572,1.78147988,1.40788315,2.34552611,1.62162345
Abcb8,6.72173922,4.45215371,6.26070824,5.77953283,4.38328758,3.93855704,12.04283447,11.32577437,12.06685827,11.37614116,11.4734199,12.28647436
Abcb9,9.96562577,7.19032878,8.668268,9.74117799,8.4162732,7.83450607,15.70197688,14.34748301,15.28430504,16.44401508,16.18943235,16.14811115
Abcc1,3.02095645,2.53663452,2.82404111,3.16478316,2.83609465,2.83917397,2.76479401,2.69480072,2.7171931,2.86346012,2.8947075,2.44659536
Abcc5,13.70109703,13.61707,14.10482101,15.15577129,16.50479565,15.37731613,12.33459183,11.5283516,12.38711012,13.48719708,13.25689879,11.23210634
Abcc8,3.22075281,2.15346155,2.73768561,3.38960928,2.55496118,2.4820722,4.03815279,4.25874234,4.4624175,4.03507721,4.28554729,4.18499692
Abcd1,1.89478247,1.84189954,2.45939758,2.25607068,1.77866026,1.99495932,3.44574057,3.11558066,3.49587213,3.59887395,3.24167014,3.33389436
Abcd2,17.08289989,17.05554773,16.99120373,14.01978984,17.0778552,16.88627852,3.24451702,3.04878712,3.09186451,2.57514073,3.79656287,2.95576208
Abcd3,44.5489039,49.76099566,45.601239,47.75863813,48.86650165,44.32644277,12.48177705,12.9602283,12.48699818,11.99388329,13.60176017,11.36844301
Abcd4,2.16153801,1.65924638,2.01729126,2.34123839,2.09580701,2.15700973,2.3354912,2.25346813,2.25711987,2.5745799,2.47667507,2.62233927
Abce1,43.05735266,51.18179057,43.4481184,42.62210831,46.70098904,45.03865781,8.93131101,8.47573924,7.72970172,7.56688811,9.1546741,6.72312438
Abcf1,48.94861342,45.41704567,46.24928776,49.03582718,46.09036703,44.72096648,38.6094413,34.34349493,35.14789819,35.44020936,29.22099213,34.80395889
Abcf2,117.20275139,140.5387041,109.58064217,121.59826428,125.07866616,124.84276359,50.09891274,51.50977,53.38027328,47.6792155,45.46605104,49.31179559
Abcf3,31.84763925,31.90390693,33.89148392,31.11477791,29.5485815,28.40958866,22.87927078,22.30771151,22.52488348,21.41716746,20.59233699,21.88093098
Abcg1,67.90510224,53.70308114,61.94704235,65.55955396,56.14033216,49.48469089,11.85691873,11.67431281,12.06031979,12.21959979,12.04583742,10.73783488
Abcg4,18.5120315,13.21715331,16.36080978,16.91300481,14.22529182,13.28645741,14.62962383,14.13128423,15.60628888,14.50844383,13.34864262,13.51021227
Abhd1,0.50161345,0.46955377,0.54616226,0.49894454,0.65623316,0.50671706,1.25544451,1.16984822,1.07337433,0.98307977,1.01106564,1.24310936
Abhd10,10.04162043,10.2441812,10.40778174,9.72855259,10.3754678,11.05612845,4.70286765,4.95853743,5.19453777,4.75152023,4.87935842,5.39721776
Abhd11,15.49512651,17.30464012,16.1117868,14.4189499,19.19725492,16.06316695,14.23569453,14.15409157,14.48913016,15.33130171,13.69513484,16.33942912
Abhd12,73.59376551,52.50684767,63.57896821,71.02096779,64.51573158,59.20087301,152.45361385,151.12121231,162.13254569,152.68014158,152.64364911,160.36288944
Abhd13,8.64895691,7.7733153,8.46107147,8.30395004,8.26393364,7.35047254,4.44772516,3.91021055,4.13398313,4.04256549,4.76623907,3.88986707
Abhd14a,7.54956964,3.64285889,6.30883218,8.30420332,4.53151022,4.396244,15.9110245,15.38739734,16.19210643,19.23753912,15.14533914,18.55383907
Abhd14b,2.80003673,3.64666904,3.32162429,2.82879296,2.88351605,2.51769842,2.43608553,2.23306836,2.18706462,2.67699917,2.8520094,3.1238395
Abhd16a,14.43974055,9.73601285,12.04781195,12.9656023,13.0708296,9.88726981,31.29676388,28.23602325,31.5553674,28.86240611,32.95175407,33.61179917
Abhd17a,24.81950124,21.58306042,25.59235588,23.51036209,19.65232927,17.35755541,80.08703197,83.85942597,83.32074112,87.56346371,83.36801774,92.73443673
Abhd17b,40.56775452,43.22688252,40.86484333,36.24131712,39.13880961,43.05800209,7.16038176,6.93477934,6.61630331,6.64979084,8.31925615,7.44851647
Abhd17c,19.60037038,13.32983467,15.40909205,17.86375832,14.54285109,11.61798311,13.7692931,14.29092431,13.85365562,13.20688818,13.56520717,13.98684189
Abhd18,4.18517886,4.95706836,4.72281796,4.3183279,4.7273751,5.15090263,0.92082431,1.14958849,1.02453389,1.02734034,1.29612252,0.97499076
Abhd2,22.06388309,20.22078608,21.70930897,22.70141135,23.96813492,21.30026355,13.98366996,14.22311449,13.97798082,13.60473161,14.82792914,12.54869899
Abhd3,28.67907493,29.36177517,30.05164155,26.52430862,33.37644127,29.71029995,9.90151551,11.15382469,11.03303316,11.85358476,12.60083211,11.52212285
Abhd4,18.54453161,19.91600433,19.07109458,17.4430451,20.576367,17.56857775,19.98785368,23.93349068,22.82472836,23.73421763,23.19381023,23.4361875
Abhd5,5.75462094,6.22012446,5.8359455,5.57148224,6.50533732,6.98190255,4.00281411,4.09478852,4.18692476,4.43509995,3.98368888,4.12168974
Abhd6,48.38207514,38.49927444,41.25956085,45.71236693,52.93122696,53.5804228,15.78721596,14.80847423,14.86539023,18.60343536,15.8243262,16.31994216
Abhd8,29.62757871,25.57715177,27.5548172,31.28104668,23.83404745,22.47623827,150.719147,156.76311083,159.22486932,164.59233189,144.56414563,169.35525406
Abi1,46.93501923,47.43774542,49.55945919,54.4378068,49.81404506,46.14542821,24.12216754,24.17559031,23.9196003,22.46610137,25.27865079,21.9369497
Abi2,49.69606821,43.50054867,47.65839457,50.48600229,47.61865719,43.68332852,18.45202523,18.30130194,17.57830644,15.78602588,20.43984446,16.163199
Abi3,1.75140637,1.54691791,1.46669798,1.40954639,1.47295812,1.21026714,1.02693993,1.05515029,1.14293167,1.32816076,1.0494496,1.17074344
Abitram,3.04540077,2.54741121,3.8618458,3.69933768,3.96301041,3.87237381,4.89813942,4.98652428,4.60239911,4.97426658,4.80051532,3.40761003
Abl1,2.926818,2.43002328,3.02360303,3.08968703,2.56956989,2.37080654,8.75816126,9.09057291,9.62897441,9.44780801,8.99767929,7.7593304
Abl2,2.26358152,2.61225698,2.33573241,2.48067368,2.30969347,2.11827873,5.84515712,6.30024684,5.741368,5.56471899,5.69025545,4.48417574
