P_ID_NUMBER,NAME,REGION,DEPOSIT_TYPE,COMMODITY,REMAINING_RESOURCE,PRODUCTION_CAPACITY,STATUS,DISCOVERY_YEAR,START_YEAR,DEVELOPMENT_PROBABILITY,GRADE,RECOVERY,BROWNFIELD_TONNAGE_FACTOR,BROWNFIELD_GRADE_FACTOR,VALUE_NET,VALUE_RECOVERY_NET,MINE_COST_MODEL,MINE_COST_A,MINE_COST_B,MINE_COST_C,MINE_COST_D,REVENUE_MODEL,REVENUE_A,REVENUE_B,REVENUE_C,REVENUE_D,COST_MODEL,COST_A,COST_B,COST_C,COST_D,LATITUDE,LONGITUDE,TERRESTRIAL_BIODIVERSITY_CARBON_VALUE,MARINE_BIODIVERSITY_50KM_VALUE
71,Coronation Dam,30_100,Laterite,Ni,5700000,,0,,,0.1,0.01,0.7420399999999999,,,,,,,,,,,,,,,,,,,,-29.52343,122.27046,61.0,
72,Cosmos,30_100,Magmatic Sulphide,Ni,17800000,,0,,,0.25,0.020099999999999996,0.8276238672003029,,,,,,,,,,,,,,,,,,,,-27.6,120.57472,49.0,
73,Crawford,10_30,Magmatic Sulphide,Ni,4255100000,,0,,,0.1,0.0023,0.6527921026907164,,,,,,,,,,,,,,,,,,,,48.8276,-81.33731,14.0,
74,Crean Hill,30_100,Magmatic Sulphide,Ni,36627000,,0,,,0.1,0.00774,0.7506590645385076,,,,,,,,,,,,,,,,,,,,46.42944,-81.34988,37.0,
75,Crean Hill 3,30_100,Magmatic Sulphide,Ni,16780000,,0,,,0.1,0.0043,0.7032546578008165,,,,,,,,,,,,,,,,,,,,46.43776,-81.31067,37.0,
76,Cumpie Hill,10_30,Laterite,Ni,6200000,,0,,,0.1,0.015,0.8125260543935232,,,,,,,,,,,,,,,,,,,,18.8881,-70.28782,11.0,0.8781043887138367
77,Cyclops,0_10,Laterite,Ni,37000000,,0,,,0.1,0.0131,0.7889815175331184,,,,,,,,,,,,,,,,,,,,-2.46688,140.36829,8.0,0.9123132705688477
78,Daling,30_100,Magmatic Sulphide,Ni,2515600,,0,,,0.1,0.0074,0.7470361753720696,,,,,,,,,,,,,,,,,,,,42.89488,126.42392,68.0,
79,Decar,10_30,Magmatic Sulphide,Ni,2154000000,,0,,,0.1,0.00211,0.6458384511120809,,,,,,,,,,,,,,,,,,,,54.9252,-125.35635,26.0,
80,Deloro,10_30,Magmatic Sulphide,Ni,438800000,,0,,,0.1,0.0025,0.6595167460700421,,,,,,,,,,,,,,,,,,,,48.40377,-81.258,25.0,
81,Delta,30_100,Magmatic Sulphide,Ni,817600,,0,,,0.1,0.0305,0.8612550541418577,,,,,,,,,,,,,,,,,,,,61.48381,-74.48102,55.0,
82,Devolli,30_100,Laterite,Ni,36000000,,0,,,0.1,0.012,0.773734779433061,,,,,,,,,,,,,,,,,,,,40.59999,20.76784,41.0,
83,Dikoloti,30_100,Magmatic Sulphide,Ni,4100000,,0,,,0.1,0.006999999999999999,0.7425545224462852,,,,,,,,,,,,,,,,,,,,-22.1,27.73333,44.0,
84,Dinapigue,0_10,Laterite,Ni,76100000,,1,,-9999,1.0,0.011279999999999998,0.7629783592507087,,,,,,,,,,,,,,,,,,,,16.60819,122.30582,3.0,0.9034322102864584
85,Duck Hill,30_100,Laterite,Ni,19000000,,0,,,0.1,0.00622,0.6594981280235243,,,,,,,,,,,,,,,,,,,,-29.51889,122.27194,61.0,
86,Duketon,30_100,Magmatic Sulphide,Ni,10837024,,0,,,0.1,0.009439999999999999,0.7666722696788382,,,,,,,,,,,,,,,,,,,,-27.62199,122.01041,49.0,
87,Dumont,10_30,Magmatic Sulphide,Ni,2165400000,,0,,,0.1,0.0026,0.662679857365141,,,,,,,,,,,,,,,,,,,,48.64244,-78.44274,26.0,
88,Dutwa,30_100,Laterite,Ni,106710000,,0,,,0.1,0.009210000000000001,0.7277337950043677,,,,,,,,,,,,,,,,,,,,-2.49118,33.85552,78.0,
89,Eagle,10_30,Magmatic Sulphide,Ni,5080000,,1,,-9999,1.0,0.013779999999999999,0.7971787447363292,,,,,,,,,,,,,,,,,,,,46.74852,-87.88151,27.0,
90,Eagle Claims,10_30,Magmatic Sulphide,Ni,1800000,,0,,,0.1,0.0033,0.6819074679949566,,,,,,,,,,,,,,,,,,,,50.60794,-95.48675,11.0,
91,Eagle's Nest,0_10,Magmatic Sulphide,Ni,21581000,,0,,,0.1,0.013879999999999998,0.7977618926132619,,,,,,,,,,,,,,,,,,,,52.74202,-86.3038,2.0,
92,East Bull,10_30,Magmatic Sulphide,Ni,32800000,,0,,,0.1,0.0005,0.5297171878701442,,,,,,,,,,,,,,,,,,,,46.41432,-82.24162,25.0,
93,East Kimberley,30_100,Magmatic Sulphide,Ni,92900000,,0,,,0.1,0.00199,0.6411161853145753,,,,,,,,,,,,,,,,,,,,-17.79389,127.81111,51.0,
94,East Lake,30_100,Magmatic Sulphide,Ni,1153000,,0,,,0.1,0.0371,0.8770534098174736,,,,,,,,,,,,,,,,,,,,61.68731,-73.67884,74.0,0.5357838869094849
95,East Yellow Mountain,30_100,Magmatic Sulphide,Ni,63560214,,1,,-9999,1.0,0.0046,0.7086937296556955,,,,,,,,,,,,,,,,,,,,42.26456,94.6056,98.0,
96,Eerste Regt,10_30,Magmatic Sulphide,Ni,50466667,,0,,,0.1,0.0016200000000000001,0.6245260013455263,,,,,,,,,,,,,,,,,,,,-24.4025,29.76111,17.0,
97,Elmhirst,10_30,Magmatic Sulphide,Ni,907000,,0,,,0.1,0.004,0.6974220687650814,,,,,,,,,,,,,,,,,,,,49.83162,-87.76846,28.0,
98,Epoch,30_100,Magmatic Sulphide,Ni,7014771,,1,,-9999,1.0,0.005,0.7154183730350211,,,,,,,,,,,,,,,,,,,,-20.43766,29.27293,51.0,
99,Eramen Zambales,0_10,Laterite,Ni,108000000,,0,,,0.1,0.0121,0.7751774433143676,,,,,,,,,,,,,,,,,,,,15.79972,120.00889,10.0,0.8910091945103237
100,Espedalen,30_100,Magmatic Sulphide,Ni,8960000,,0,,,0.1,0.00373,0.6917858224712238,,,,,,,,,,,,,,,,,,,,61.42278,9.56222,38.0,
101,Eucalyptus,30_100,Laterite,Ni,57000000,,0,,,0.1,0.0111,0.7601819450639663,,,,,,,,,,,,,,,,,,,,-29.083648,122.180072,49.0,
102,Falcondo,10_30,Laterite,Ni,76500000,,1,,-9999,1.0,0.0146,0.8078273899856073,,,,,,,,,,,,,,,,,,,,18.90102,-70.31184,11.0,
103,Fenix,10_30,Laterite,Ni,36200000,,1,,-9999,1.0,0.018600000000000002,0.8499210166261331,,,,,,,,,,,,,,,,,,,,15.525,-89.395,28.0,0.8861019611358643
104,Ferguson Lake,10_30,Magmatic Sulphide,Ni,71500000,,0,,,0.1,0.00551,0.723251545128743,,,,,,,,,,,,,,,,,,,,62.89523,-96.72627,15.0,
105,Fifield,30_100,Magmatic Sulphide,Ni,25519000,,0,,,0.1,0.00024,0.4705233078691012,,,,,,,,,,,,,,,,,,,,-32.95357,147.50367,64.0,
106,Firebird,10_30,Magmatic Sulphide,Ni,3400000,,0,,,0.1,0.006,0.7301224242688967,,,,,,,,,,,,,,,,,,,,59.342535,-105.973863,18.0,
107,Fisher East,30_100,Magmatic Sulphide,Ni,7560000,,0,,,0.1,0.01778,0.8177326234173096,,,,,,,,,,,,,,,,,,,,-26.80566,121.55167,53.0,
108,Flemington,30_100,Laterite,Ni,6300000,,0,,,0.1,0.00135,0.39392878978548185,,,,,,,,,,,,,,,,,,,,-32.74533,147.38343,59.0,
109,Fond du Lac,10_30,Magmatic Sulphide,Ni,3400000,,0,,,0.1,0.0066,0.7378090949599357,,,,,,,,,,,,,,,,,,,,59.3868,-105.93787,17.0,
110,Forrestania,0_10,Magmatic Sulphide,Ni,400000,,1,,-9999,1.0,0.0489,0.8993254720839055,,,,,,,,,,,,,,,,,,,,-32.58193,119.7439,6.0,
111,Fortaleza de Minas,30_100,Magmatic Sulphide,Ni,1100000,,1,,-9999,1.0,0.0212,0.8319209561362696,,,,,,,,,,,,,,,,,,,,-20.89472,-46.70722,51.0,
112,Foster,30_100,Magmatic Sulphide,Ni,4200000,,0,,,0.1,0.02718,0.8519606379672243,,,,,,,,,,,,,,,,,,,,-31.34536,121.74359,32.0,
113,Fujia,30_100,Magmatic Sulphide,Ni,1374100,,0,,,0.1,0.0138,0.7972957121244899,,,,,,,,,,,,,,,,,,,,42.863,126.496,68.0,
114,Gabanintha,30_100,Magmatic Sulphide,Ni,36000000,,0,,,0.1,0.00077,0.5645400079724474,,,,,,,,,,,,,,,,,,,,-26.93485,118.64664,43.0,
115,Gag Island,10_30,Laterite,Ni,221400000,,1,,-9999,1.0,0.017159999999999998,0.8359129048252734,,,,,,,,,,,,,,,,,,,,-0.45095,129.87477,20.0,0.9393258775983538
116,Gasquet Mountain,0_10,Laterite,Ni,27814000,,0,,,0.1,0.0075,0.6920293485249823,,,,,,,,,,,,,,,,,,,,41.87906,-123.98607,9.0,0.9370605945587158
117,Ghan Well,30_100,Laterite,Ni,1300000,,0,,,0.1,0.009000000000000001,0.7237241279580434,,,,,,,,,,,,,,,,,,,,-28.87083,122.13111,68.0,
118,Girilambone,30_100,Magmatic Sulphide,Ni,27890000,,0,,,0.1,0.00643,0.7357045503704094,,,,,,,,,,,,,,,,,,,,-31.51679,147.05054,50.0,
119,Gladstone,10_30,Laterite,Ni,70900000,,0,,,0.1,0.00912,0.726026678176267,,,,,,,,,,,,,,,,,,,,-22.94832,149.83267,18.0,0.9237848917643229
120,Glenbrook,10_30,Laterite,Ni,590000,,1,,-9999,1.0,0.0125,0.7808312749604621,,,,,,,,,,,,,,,,,,,,42.96389,-123.44222,21.0,0.9474074840545654
121,Gochager Lake,30_100,Magmatic Sulphide,Ni,1770000,,0,,,0.1,0.00735,0.7464894003963858,,,,,,,,,,,,,,,,,,,,55.76232,-104.94067,34.0,
122,Gogota,30_100,Laterite,Ni,44890000,,0,,,0.1,0.0128,0.7849541559476164,,,,,,,,,,,,,,,,,,,,7.75457,-8.4994,39.0,
123,Golden Ridge,10_30,Magmatic Sulphide,Ni,1442710,,0,,,0.1,0.021240000000000002,0.832072980686469,,,,,,,,,,,,,,,,,,,,-30.91056,121.71694,28.0,
124,Golden Valley,0_10,Magmatic Sulphide,Ni,20400000,,0,,,0.1,0.0043,0.7032546578008165,,,,,,,,,,,,,,,,,,,,-26.02276,27.52099,1.0,
125,Goodyear,10_30,Magmatic Sulphide,Ni,391250,,0,,,0.1,0.0378,0.8785609116527706,,,,,,,,,,,,,,,,,,,,-31.01241,121.68447,29.0,
126,Gornostai,30_100,Laterite,Ni,26300000,,0,,,0.1,0.00893,0.7223667535213159,,,,,,,,,,,,,,,,,,,,50.5676,78.81921,67.0,
127,Goro,0_10,Laterite,Ni,193500000,,1,,-9999,1.0,0.01359,0.7953652696577801,,,,,,,,,,,,,,,,,,,,-22.29309,166.96852,6.0,0.9282370976039341
128,Government Ground,10_30,Magmatic Sulphide,Ni,3050000,,0,,,0.1,0.00164,0.6255155720429635,,,,,,,,,,,,,,,,,,,,-24.38472,29.78528,17.0,
129,Grasset,0_10,Magmatic Sulphide,Ni,5729000,,0,,,0.1,0.01192,0.7854845910285022,,,,,,,,,,,,,,,,,,,,50.0569,-78.62245,7.0,
130,Grasvally,0_10,Magmatic Sulphide,Ni,93451386,,0,,,0.1,0.00128,0.605527833260223,,,,,,,,,,,,,,,,,,,,-24.32861,28.97194,5.0,
131,Grey Dam,30_100,Magmatic Sulphide,Ni,14600000,,0,,,0.1,0.0075,0.7481187285388364,,,,,,,,,,,,,,,,,,,,-30.47429,122.15144,75.0,
132,Grootboom,0_10,Magmatic Sulphide,Ni,21554000,,0,,,0.1,0.00028000000000000003,0.4829554060464898,,,,,,,,,,,,,,,,,,,,-24.76852,30.17752,1.0,
133,Gulinskoye,30_100,Laterite,Ni,3150000,,0,,,0.1,0.0084,0.7117304071787518,,,,,,,,,,,,,,,,,,,,52.65,60.39694,67.0,
134,Gunnawarra,0_10,Laterite,Ni,2134500,,0,,,0.1,0.00336,0.5524424263497487,,,,,,,,,,,,,,,,,,,,-17.94852,145.13962,9.0,
135,H-989,30_100,Magmatic Sulphide,Ni,5760000,,0,,,0.1,0.005,0.7154183730350211,,,,,,,,,,,,,,,,,,,,42.18309,94.54893,98.0,
136,Hadbah,30_100,Magmatic Sulphide,Ni,2500000,,0,,,0.1,0.0092,0.7645953566206746,,,,,,,,,,,,,,,,,,,,18.11615,44.13217,89.0,
137,Haito,30_100,Laterite,Ni,7200000,,0,,,0.1,0.009899999999999999,0.7402928496152272,,,,,,,,,,,,,,,,,,,,7.24168,0.90341,62.0,
138,Hami,30_100,Magmatic Sulphide,Ni,84000000,,1,,-9999,1.0,0.00455,0.7078123110463449,,,,,,,,,,,,,,,,,,,,42.25845,94.58936,98.0,
139,Hanking Group,0_10,Laterite,Ni,350611070,,1,,-9999,1.0,0.0137,0.7967666990137914,,,,,,,,,,,,,,,,,,,,-3.57447,121.99386,7.0,0.9564063549041748
140,Hart,10_30,Magmatic Sulphide,Ni,1868000,,0,,,0.1,0.01376,0.797061607460835,,,,,,,,,,,,,,,,,,,,48.30371,-81.08124,13.0,
141,Hautalampi,10_30,Magmatic Sulphide,Ni,9271000,,0,,,0.1,0.0026,0.662679857365141,,,,,,,,,,,,,,,,,,,,62.71278,28.97278,26.0,
142,Hawk Ridge,30_100,Magmatic Sulphide,Ni,34658000,,0,,,0.1,0.00222,0.6499369726759872,,,,,,,,,,,,,,,,,,,,59.0,-69.64167,34.0,0.625781774520874
