perfil,dist_km,prof_pre_m,prof_post_m
E-W,-0.587,-23.5,-854.2
E-W,-0.537,-23.2,-854.7
E-W,-0.487,-23.1,-852.3
E-W,-0.437,-23.5,-855.5
E-W,-0.387,-24.1,-854.3
E-W,-0.337,-25.1,-857.2
E-W,-0.287,-26.6,-855.9
E-W,-0.237,-28.4,-849.8
E-W,-0.187,-31.0,-856.4
E-W,-0.137,-34.4,-857.5
E-W,-0.087,-39.0,-856.7
E-W,-0.037,-45.0,-856.7
E-W,0.013,-52.2,-856.6
E-W,0.063,-60.5,-856.8
E-W,0.113,-69.5,-857.0
E-W,0.163,-78.9,-855.3
E-W,0.213,-87.6,-856.7
E-W,0.263,-94.6,-857.0
E-W,0.313,-99.6,-855.9
E-W,0.363,-103.5,-855.8
E-W,0.413,-107.2,-855.0
E-W,0.463,-111.4,-854.9
E-W,0.513,-115.8,-854.7
E-W,0.563,-120.2,-850.9
E-W,0.613,-124.8,-852.2
E-W,0.663,-129.4,-850.9
E-W,0.713,-134.0,-850.9
E-W,0.763,-138.5,-837.0
E-W,0.813,-142.9,-833.1
E-W,0.863,-146.7,-819.3
E-W,0.913,-148.7,-813.4
E-W,0.963,-149.4,-789.0
E-W,1.013,-149.6,-779.4
E-W,1.063,-149.9,-768.9
E-W,1.113,-150.6,-760.7
E-W,1.163,-151.2,-723.2
E-W,1.213,-151.8,-707.3
E-W,1.263,-152.8,-687.1
E-W,1.313,-153.7,-652.3
E-W,1.363,-154.3,-575.3
E-W,1.413,-154.1,-532.0
E-W,1.463,-153.9,-525.0
E-W,1.513,-153.6,-478.9
E-W,1.563,-153.3,-438.5
E-W,1.613,-152.8,-421.5
E-W,1.663,-152.8,-397.4
E-W,1.713,-153.1,-373.9
E-W,1.763,-153.7,-324.7
E-W,1.813,-154.3,-305.9
E-W,1.863,-154.7,-296.1
E-W,1.913,-154.7,-293.5
E-W,1.963,-153.1,-272.6
E-W,2.013,-146.8,-262.1
E-W,2.063,-136.2,-247.7
E-W,2.113,-123.2,-230.6
E-W,2.163,-109.2,-202.7
E-W,2.213,-96.1,-189.1
E-W,2.263,-85.4,-174.8
E-W,2.313,-79.6,-162.5
E-W,2.363,-82.3,-140.9
E-W,2.413,-92.6,-137.4
E-W,2.463,-107.9,-142.3
E-W,2.513,-126.0,-144.7
E-W,2.563,-145.6,-154.0
E-W,2.613,-165.8,-170.5
E-W,2.663,-186.1,-190.8
E-W,2.713,-206.1,-210.5
E-W,2.763,-225.8,-230.6
E-W,2.813,-245.1,-249.9
E-W,2.863,-264.0,-268.5
E-W,2.913,-282.4,-287.7
E-W,2.963,-300.5,-304.9
E-W,3.013,-318.3,-321.2
E-W,3.063,-336.1,-339.9
E-W,3.113,-353.8,-360.2
E-W,3.163,-371.3,-378.4
E-W,3.213,-388.9,-394.5
E-W,3.263,-406.8,-412.3
E-W,3.313,-424.9,-429.5
E-W,3.363,-442.8,-445.2
E-W,3.413,-460.3,-461.6
E-W,3.463,-477.3,-477.3
E-W,3.513,-493.9,-491.9
E-W,3.563,-510.1,-506.7
E-W,3.613,-525.8,-522.4
E-W,3.663,-540.9,-536.4
E-W,3.713,-555.7,-549.9
E-W,3.763,-569.7,-562.2
E-W,3.813,-582.8,-574.8
E-W,3.863,-595.0,-587.2
E-W,3.913,-606.4,-598.9
E-W,3.963,-616.9,-610.8
E-W,4.013,-626.9,-621.8
E-W,4.063,-636.7,-633.1
E-W,4.113,-646.8,-644.8
E-W,4.163,-657.4,-655.5
E-W,4.213,-668.8,-667.7
E-W,4.263,-680.6,-678.6
E-W,4.313,-692.8,-691.6
E-W,4.363,-705.1,-704.2
E-W,4.413,-717.1,-714.7
E-W,4.463,-729.0,-726.9
E-W,4.513,-740.5,-739.0
E-W,4.563,-751.5,-749.9
E-W,4.613,-762.0,-759.7
E-W,4.663,-771.8,-769.5
E-W,4.713,-781.5,-779.3
E-W,4.763,-791.2,-789.5
E-W,4.813,-801.0,-799.2
E-W,4.863,-810.9,-808.8
E-W,4.913,-820.5,-817.5
E-W,4.963,-830.1,-826.7
N-S,4.981,-832.2,-825.0
N-S,4.931,-822.6,-816.3
N-S,4.881,-812.5,-806.8
N-S,4.831,-802.2,-796.7
N-S,4.781,-791.5,-787.6
N-S,4.731,-780.6,-777.2
N-S,4.681,-769.8,-766.9
N-S,4.631,-759.1,-755.6
N-S,4.581,-748.3,-745.4
N-S,4.531,-737.2,-734.0
N-S,4.481,-725.8,-722.9
N-S,4.431,-714.4,-712.0
N-S,4.381,-702.9,-700.2
N-S,4.331,-691.2,-689.8
N-S,4.281,-679.1,-679.1
N-S,4.231,-666.5,-667.7
N-S,4.181,-654.0,-655.8
N-S,4.131,-641.4,-643.6
N-S,4.081,-628.4,-630.9
N-S,4.031,-615.5,-618.2
N-S,3.981,-602.4,-605.5
N-S,3.931,-589.2,-592.7
N-S,3.881,-575.8,-579.8
N-S,3.831,-562.1,-567.1
N-S,3.781,-548.6,-554.4
N-S,3.731,-535.0,-541.3
N-S,3.681,-521.2,-527.3
N-S,3.631,-507.0,-512.6
N-S,3.581,-492.3,-498.2
N-S,3.531,-477.5,-483.0
N-S,3.481,-462.4,-467.5
N-S,3.431,-447.0,-454.8
N-S,3.381,-431.2,-439.6
N-S,3.331,-415.0,-424.2
N-S,3.281,-398.7,-407.5
N-S,3.231,-382.1,-392.0
N-S,3.181,-365.3,-375.0
N-S,3.131,-348.4,-358.6
N-S,3.081,-331.4,-340.9
N-S,3.031,-314.3,-324.1
N-S,2.981,-296.8,-306.1
N-S,2.931,-278.9,-288.3
N-S,2.881,-260.9,-275.1
N-S,2.831,-242.9,-247.5
N-S,2.781,-224.3,-232.1
N-S,2.731,-205.1,-215.7
N-S,2.681,-185.0,-199.7
N-S,2.631,-164.2,-168.6
N-S,2.581,-142.4,-153.1
N-S,2.531,-119.6,-136.4
N-S,2.481,-96.2,-119.3
N-S,2.431,-72.7,-82.5
N-S,2.381,-50.3,-65.4
N-S,1.781,0.3,-130.4
N-S,1.731,0.7,-141.4
N-S,1.681,1.7,-167.7
N-S,1.631,1.9,-246.3
N-S,1.581,2.3,-369.2
N-S,1.531,2.4,-284.5
N-S,1.481,2.7,-309.1
N-S,1.431,3.9,-503.5
N-S,1.381,4.3,-535.3
N-S,1.331,5.9,-562.5
N-S,1.281,7.6,-583.5
N-S,1.231,9.6,-665.2
N-S,1.181,11.1,-701.1
N-S,1.131,12.8,-723.9
N-S,1.081,13.6,-741.5
N-S,1.031,8.4,-780.9
N-S,0.981,5.8,-802.7
N-S,0.931,2.4,-821.8
N-S,0.881,-3.8,-833.1
N-S,0.831,-4.3,-850.0
N-S,0.781,-4.8,-851.3
N-S,0.731,-6.1,-852.1
N-S,0.681,-6.3,-853.4
N-S,0.631,-6.7,-852.9
N-S,0.581,-7.3,-854.4
N-S,0.531,-8.1,-855.6
N-S,0.481,-9.3,-856.8
N-S,0.431,-11.1,-856.4
N-S,0.381,-13.9,-856.2
N-S,0.331,-17.3,-856.4
N-S,0.281,-21.1,-855.9
N-S,0.231,-25.1,-857.1
N-S,0.181,-28.8,-857.1
N-S,0.131,-32.5,-855.9
N-S,0.081,-37.1,-857.2
N-S,0.031,-43.5,-857.5
N-S,-0.019,-52.2,-856.6
N-S,-0.069,-62.9,-856.9
N-S,-0.119,-74.8,-857.4
N-S,-0.169,-86.7,-855.3
N-S,-0.219,-97.7,-855.6
N-S,-0.269,-107.6,-854.9
N-S,-0.319,-116.7,-854.3
N-S,-0.369,-125.1,-854.2
N-S,-0.419,-132.9,-854.1
N-S,-0.469,-139.8,-852.9
N-S,-0.519,-145.9,-852.7
N-S,-0.569,-151.1,-846.9
N-S,-0.619,-154.2,-842.5
N-S,-0.669,-155.2,-837.1
N-S,-0.719,-155.4,-833.9
N-S,-0.769,-155.5,-818.5
N-S,-0.819,-155.6,-810.2
N-S,-0.869,-155.5,-803.7
N-S,-0.919,-155.6,-798.3
N-S,-0.969,-155.6,-777.8
N-S,-1.019,-155.5,-767.7
N-S,-1.069,-155.2,-754.8
N-S,-1.119,-154.9,-743.2
N-S,-1.169,-154.7,-718.4
N-S,-1.219,-154.4,-705.7
N-S,-1.269,-154.3,-681.5
N-S,-1.319,-154.1,-663.3
N-S,-1.369,-153.9,-619.8
N-S,-1.419,-153.9,-588.3
N-S,-1.469,-153.5,-561.9
N-S,-1.519,-152.3,-459.4
N-S,-1.569,-150.2,-371.7
N-S,-1.619,-146.5,-360.1
N-S,-1.669,-140.0,-237.9
N-S,-1.719,-130.2,-221.1
N-S,-1.769,-117.4,-190.1
N-S,-1.819,-102.0,-177.1
N-S,-1.869,-84.8,-163.7
N-S,-1.919,-67.5,-150.5
N-S,-1.969,-51.8,-125.2
N-S,-2.019,-39.1,-119.6
N-S,-2.069,-30.3,-108.4
N-S,-2.119,-25.0,-99.3
N-S,-2.169,-22.3,-103.2
N-S,-2.219,-21.0,-99.2
N-S,-2.269,-19.9,-91.1
N-S,-2.319,-18.6,-82.9
N-S,-2.369,-16.9,-57.0
N-S,-2.419,-14.9,-47.0
N-S,-2.469,-12.6,-44.8
N-S,-2.519,-10.4,-43.3
N-S,-2.569,-8.7,-41.4
N-S,-2.619,-8.9,-40.7
N-S,-2.669,-11.3,-39.7
N-S,-2.719,-14.5,-40.0
N-S,-2.769,-18.1,-39.5
N-S,-2.819,-22.2,-40.0
N-S,-2.869,-27.2,-40.5
N-S,-2.919,-34.0,-41.3
N-S,-2.969,-43.9,-44.0
N-S,-3.019,-56.5,-45.3
N-S,-3.069,-69.7,-47.4
N-S,-3.119,-80.9,-52.7
N-S,-3.169,-86.5,-88.6
N-S,-3.219,-82.5,-104.1
N-S,-3.269,-70.8,-119.5
N-S,-3.319,-57.6,-134.0
N-S,-3.369,-50.2,-169.0
N-S,-3.419,-56.8,-183.1
N-S,-3.469,-73.4,-177.7
N-S,-3.519,-94.9,-213.2
N-S,-3.569,-118.4,-234.9
N-S,-3.619,-142.2,-243.9
N-S,-3.669,-165.6,-245.8
N-S,-3.719,-188.1,-256.5
N-S,-3.769,-209.8,-269.7
N-S,-3.819,-230.8,-278.2
N-S,-3.869,-251.4,-296.0
N-S,-3.919,-271.5,-312.0
N-S,-3.969,-291.2,-388.3
N-S,-4.019,-310.5,-399.6
N-S,-4.069,-329.4,-404.2
N-S,-4.119,-347.4,-409.4
N-S,-4.169,-364.4,-423.3
N-S,-4.219,-380.3,-432.6
N-S,-4.269,-395.2,-441.4
N-S,-4.319,-409.0,-448.6
N-S,-4.369,-421.5,-465.6
N-S,-4.419,-432.9,-474.7
N-S,-4.469,-443.6,-480.9
N-S,-4.519,-453.8,-485.9
N-S,-4.569,-463.9,-498.7
N-S,-4.619,-473.7,-504.2
N-S,-4.669,-483.5,-511.3
N-S,-4.719,-493.6,-518.5
N-S,-4.769,-503.2,-530.2
N-S,-4.819,-512.5,-537.5
N-S,-4.869,-521.5,-544.2
N-S,-4.919,-530.7,-550.6
N-S,-4.969,-540.1,-564.6
NW-SE,-5.0,-805.5,-799.4
NW-SE,-4.95,-792.4,-785.5
NW-SE,-4.9,-778.6,-771.6
NW-SE,-4.85,-778.6,-771.6
NW-SE,-4.8,-764.3,-758.5
NW-SE,-4.75,-749.2,-744.6
NW-SE,-4.7,-733.4,-730.3
NW-SE,-4.65,-733.4,-730.3
NW-SE,-4.6,-717.1,-714.2
NW-SE,-4.55,-700.4,-700.0
NW-SE,-4.5,-700.4,-700.0
NW-SE,-4.45,-683.5,-683.7
NW-SE,-4.4,-666.3,-668.2
NW-SE,-4.35,-666.3,-668.2
NW-SE,-4.3,-649.1,-652.0
NW-SE,-4.25,-631.6,-636.7
NW-SE,-4.2,-613.6,-620.9
NW-SE,-4.15,-613.6,-620.9
NW-SE,-4.1,-595.4,-605.3
NW-SE,-4.05,-577.1,-589.1
NW-SE,-4.0,-577.1,-589.1
NW-SE,-3.95,-558.6,-575.4
NW-SE,-3.9,-539.9,-562.3
NW-SE,-3.85,-521.4,-546.4
NW-SE,-3.8,-521.4,-546.4
NW-SE,-3.75,-503.3,-532.4
NW-SE,-3.7,-485.5,-516.8
NW-SE,-3.65,-485.5,-516.8
NW-SE,-3.6,-467.2,-498.9
NW-SE,-3.55,-448.1,-479.4
NW-SE,-3.5,-428.6,-464.4
NW-SE,-3.45,-428.6,-464.4
NW-SE,-3.4,-408.9,-448.7
NW-SE,-3.35,-388.4,-427.9
NW-SE,-3.3,-388.4,-427.9
NW-SE,-3.25,-366.8,-404.4
NW-SE,-3.2,-343.9,-379.9
NW-SE,-3.15,-343.9,-379.9
NW-SE,-3.1,-320.0,-351.6
NW-SE,-3.05,-295.5,-321.3
NW-SE,-3.0,-270.2,-292.3
NW-SE,-2.95,-270.2,-292.3
NW-SE,-2.9,-244.0,-259.9
NW-SE,-2.85,-216.5,-238.6
NW-SE,-2.8,-216.5,-238.6
NW-SE,-2.75,-187.0,-206.9
NW-SE,-2.7,-155.2,-191.4
NW-SE,-2.65,-120.6,-145.4
NW-SE,-2.6,-120.6,-145.4
NW-SE,-2.55,-84.7,-113.9
NW-SE,-2.5,-51.9,-94.4
NW-SE,-2.45,-51.9,-94.4
NW-SE,-2.4,-27.3,-57.7
NW-SE,-2.35,-14.7,-56.6
NW-SE,-2.3,-14.7,-56.6
NW-SE,-2.25,-11.8,-59.6
NW-SE,-2.2,-11.7,-63.2
NW-SE,-2.15,-8.8,-66.5
NW-SE,-2.1,-8.8,-66.5
NW-SE,-2.05,-3.6,-75.8
NW-SE,-1.9,3.0,-102.2
NW-SE,-1.85,4.5,-111.3
NW-SE,-1.8,9.8,-145.3
NW-SE,-1.75,9.8,-145.3
NW-SE,-1.7,16.7,-170.9
NW-SE,-1.65,23.3,-248.2
NW-SE,-1.6,23.3,-248.2
NW-SE,-1.55,30.3,-318.1
NW-SE,-1.5,40.4,-489.7
NW-SE,-1.45,40.4,-489.7
NW-SE,-1.4,52.2,-492.6
NW-SE,-1.35,64.0,-598.7
NW-SE,-1.3,75.6,-644.7
NW-SE,-1.25,75.6,-644.7
NW-SE,-1.2,88.5,-716.5
NW-SE,-1.15,94.6,-748.0
NW-SE,-1.1,94.6,-748.0
NW-SE,-1.05,86.8,-769.1
NW-SE,-1.0,80.0,-796.8
NW-SE,-0.95,81.6,-836.2
NW-SE,-0.9,81.6,-836.2
NW-SE,-0.85,67.6,-850.7
NW-SE,-0.8,14.5,-852.8
NW-SE,-0.75,14.5,-852.8
NW-SE,-0.7,-5.2,-853.7
NW-SE,-0.65,-5.8,-855.5
NW-SE,-0.6,-6.4,-855.5
NW-SE,-0.55,-6.4,-855.5
NW-SE,-0.5,-7.1,-856.4
NW-SE,-0.45,-8.2,-855.8
NW-SE,-0.4,-8.2,-855.8
NW-SE,-0.35,-10.0,-856.8
NW-SE,-0.3,-12.6,-860.2
NW-SE,-0.25,-12.6,-860.2
NW-SE,-0.2,-17.3,-857.3
NW-SE,-0.15,-24.6,-856.4
NW-SE,-0.1,-36.1,-855.9
NW-SE,-0.05,-36.1,-855.9
NW-SE,0.0,-52.2,-856.6
NW-SE,0.05,-70.4,-856.5
NW-SE,0.1,-70.4,-856.5
NW-SE,0.15,-88.3,-857.0
NW-SE,0.2,-104.2,-855.6
NW-SE,0.25,-117.6,-852.5
NW-SE,0.3,-117.6,-852.5
NW-SE,0.35,-128.7,-852.0
NW-SE,0.4,-138.1,-849.0
NW-SE,0.45,-138.1,-849.0
NW-SE,0.5,-146.2,-850.0
NW-SE,0.55,-151.5,-847.8
NW-SE,0.6,-151.5,-847.8
NW-SE,0.65,-153.1,-846.2
NW-SE,0.7,-153.6,-842.7
NW-SE,0.75,-153.9,-836.7
NW-SE,0.8,-153.9,-836.7
NW-SE,0.85,-153.9,-827.2
NW-SE,0.9,-154.0,-818.7
NW-SE,0.95,-154.0,-818.7
NW-SE,1.0,-154.0,-817.7
NW-SE,1.05,-154.0,-771.7
NW-SE,1.1,-154.0,-747.7
NW-SE,1.15,-154.0,-747.7
NW-SE,1.2,-154.2,-718.8
NW-SE,1.25,-154.6,-685.3
NW-SE,1.3,-154.6,-685.3
NW-SE,1.35,-155.2,-619.8
NW-SE,1.4,-155.5,-555.6
NW-SE,1.45,-155.4,-510.1
NW-SE,1.5,-155.4,-510.1
NW-SE,1.55,-152.1,-468.7
NW-SE,1.6,-139.8,-359.6
NW-SE,1.65,-139.8,-359.6
NW-SE,1.7,-119.0,-280.0
NW-SE,1.75,-94.0,-239.6
NW-SE,1.8,-94.0,-239.6
NW-SE,1.85,-69.9,-192.2
NW-SE,1.9,-51.5,-130.8
NW-SE,1.95,-40.2,-114.4
NW-SE,2.0,-40.2,-114.4
NW-SE,2.05,-33.4,-96.8
NW-SE,2.1,-29.0,-78.7
NW-SE,2.15,-29.0,-78.7
NW-SE,2.2,-25.9,-64.7
NW-SE,2.25,-24.2,-61.7
NW-SE,2.3,-24.9,-58.6
NW-SE,2.35,-24.9,-58.6
NW-SE,2.4,-29.7,-56.2
NW-SE,2.45,-40.0,-53.7
NW-SE,2.5,-40.0,-53.7
NW-SE,2.55,-55.1,-54.3
NW-SE,2.6,-72.0,-58.0
NW-SE,2.65,-72.0,-58.0
NW-SE,2.7,-87.8,-63.0
NW-SE,2.75,-99.7,-71.8
NW-SE,2.8,-104.3,-73.3
NW-SE,2.85,-104.3,-73.3
NW-SE,2.9,-100.3,-74.7
NW-SE,2.95,-93.8,-76.3
NW-SE,3.0,-93.8,-76.3
NW-SE,3.05,-95.7,-98.0
NW-SE,3.1,-105.1,-127.3
NW-SE,3.15,-117.2,-145.9
NW-SE,3.2,-117.2,-145.9
NW-SE,3.25,-132.1,-178.9
NW-SE,3.3,-150.5,-218.1
NW-SE,3.35,-150.5,-218.1
NW-SE,3.4,-172.1,-251.9
NW-SE,3.45,-198.3,-286.1
NW-SE,3.5,-198.3,-286.1
NW-SE,3.55,-228.2,-319.9
NW-SE,3.6,-259.1,-344.2
NW-SE,3.65,-289.9,-366.0
NW-SE,3.7,-289.9,-366.0
NW-SE,3.75,-320.4,-388.3
NW-SE,3.8,-350.4,-405.5
NW-SE,3.85,-350.4,-405.5
NW-SE,3.9,-379.7,-428.1
NW-SE,3.95,-407.7,-448.6
NW-SE,4.0,-433.6,-452.6
NW-SE,4.05,-433.6,-452.6
NW-SE,4.1,-456.9,-465.3
NW-SE,4.15,-477.2,-483.1
NW-SE,4.2,-477.2,-483.1
NW-SE,4.25,-495.7,-497.4
NW-SE,4.3,-513.6,-510.5
NW-SE,4.35,-532.2,-524.5
NW-SE,4.4,-532.2,-524.5
NW-SE,4.45,-551.3,-539.3
NW-SE,4.5,-569.4,-551.7
NW-SE,4.55,-569.4,-551.7
NW-SE,4.6,-585.2,-564.0
NW-SE,4.65,-596.5,-579.9
NW-SE,4.7,-596.5,-579.9
NW-SE,4.75,-603.2,-594.3
NW-SE,4.8,-608.9,-608.8
NW-SE,4.85,-617.4,-622.8
NW-SE,4.9,-617.4,-622.8
NW-SE,4.95,-629.2,-637.4
NW-SE,5.0,-642.7,-652.7
