x_km,y_km,prof_pre_m,prof_post_m,cambio_m
1.24,4.96,-804.2,-800.9,3.3
1.34,4.96,-806.2,-804.0,2.3
1.44,4.96,-808.9,-808.0,0.9
1.54,4.96,-813.2,-811.7,1.5
1.64,4.96,-819.0,-816.5,2.5
1.74,4.96,-825.1,-821.9,3.2
1.84,4.96,-832.9,-828.4,4.5
1.94,4.96,-841.9,-837.1,4.8
2.04,4.96,-852.3,-847.3,5.0
2.14,4.96,-863.7,-857.0,6.6
2.24,4.96,-875.1,-868.0,7.1
2.34,4.96,-886.6,-879.2,7.5
2.44,4.96,-897.8,-889.7,8.1
2.54,4.96,-907.2,-899.7,7.5
2.64,4.96,-914.9,-911.1,3.8
2.74,4.96,-922.7,-921.4,1.3
2.84,4.96,-930.5,-931.0,-0.4
2.94,4.96,-939.4,-940.3,-0.9
3.04,4.96,-949.3,-950.3,-0.9
3.14,4.96,-959.9,-960.9,-1.0
3.24,4.96,-969.6,-971.3,-1.7
3.34,4.96,-980.0,-982.3,-2.2
3.44,4.96,-991.8,-992.9,-1.1
3.54,4.96,-1004.0,-1001.4,2.6
3.64,4.96,-1015.4,-1010.1,5.3
3.74,4.96,-1026.4,-1021.0,5.4
3.84,4.96,-1036.9,-1031.2,5.7
3.94,4.96,-1046.4,-1040.8,5.6
4.04,4.96,-1056.2,-1050.6,5.6
4.14,4.96,-1065.8,-1059.3,6.5
4.24,4.96,-1075.0,-1068.9,6.2
4.34,4.96,-1083.9,-1078.9,5.0
4.44,4.96,-1093.4,-1088.8,4.5
4.54,4.96,-1103.8,-1098.8,5.0
4.64,4.96,-1114.6,-1109.0,5.6
4.74,4.96,-1124.3,-1118.5,5.8
4.84,4.96,-1134.5,-1128.8,5.7
4.94,4.96,-1146.2,-1139.5,6.6
-4.96,4.86,-1120.3,-1112.7,7.7
-4.86,4.86,-1109.1,-1101.0,8.0
-4.76,4.86,-1097.6,-1088.6,9.0
-4.66,4.86,-1085.8,-1076.9,9.0
-4.56,4.86,-1073.8,-1065.8,8.0
-4.46,4.86,-1061.4,-1054.2,7.2
-4.36,4.86,-1047.3,-1041.8,5.5
-4.26,4.86,-1033.5,-1029.6,3.9
-4.16,4.86,-1019.7,-1017.9,1.8
-4.06,4.86,-1005.2,-1006.4,-1.2
-3.96,4.86,-991.0,-999.6,-8.6
-3.86,4.86,-978.2,-996.0,-17.9
-3.76,4.86,-965.5,-988.5,-22.9
-3.66,4.86,-953.4,-977.4,-24.0
-3.56,4.86,-942.8,-967.4,-24.7
-3.46,4.86,-933.4,-960.8,-27.4
-3.36,4.86,-925.8,-964.8,-39.0
-3.26,4.86,-918.5,-968.7,-50.2
-3.16,4.86,-910.9,-971.1,-60.2
-3.06,4.86,-903.8,-964.0,-60.2
-2.96,4.86,-897.4,-955.0,-57.6
-2.86,4.86,-891.5,-947.5,-56.0
-2.76,4.86,-885.4,-944.3,-58.9
-2.66,4.86,-879.5,-937.6,-58.1
-2.56,4.86,-874.2,-920.5,-46.3
-2.46,4.86,-870.4,-901.8,-31.3
-2.36,4.86,-866.5,-889.9,-23.5
-2.26,4.86,-859.9,-876.5,-16.5
-2.16,4.86,-851.5,-867.5,-16.1
-2.06,4.86,-842.0,-861.6,-19.6
-1.96,4.86,-830.8,-852.2,-21.4
-1.86,4.86,-819.0,-846.4,-27.4
-1.76,4.86,-808.9,-836.5,-27.7
-1.66,4.86,-802.4,-822.8,-20.4
-1.56,4.86,-798.7,-807.1,-8.4
-1.46,4.86,-796.9,-797.7,-0.8
-1.36,4.86,-797.1,-795.2,1.9
-1.26,4.86,-798.9,-794.2,4.8
-1.16,4.86,-801.7,-796.2,5.5
-1.06,4.86,-804.8,-798.8,6.0
-0.96,4.86,-808.4,-802.9,5.4
-0.86,4.86,-813.3,-806.8,6.5
-0.76,4.86,-818.5,-809.3,9.2
-0.66,4.86,-822.3,-811.6,10.7
-0.56,4.86,-824.5,-814.3,10.2
-0.46,4.86,-824.7,-814.3,10.3
-0.36,4.86,-822.8,-813.1,9.7
-0.26,4.86,-819.3,-810.5,8.8
-0.16,4.86,-815.1,-806.8,8.2
-0.06,4.86,-810.7,-804.1,6.6
0.04,4.86,-806.5,-800.9,5.6
0.14,4.86,-804.2,-798.5,5.7
0.24,4.86,-803.4,-796.3,7.1
0.34,4.86,-803.4,-794.3,9.1
0.44,4.86,-802.6,-791.0,11.6
0.54,4.86,-799.7,-787.2,12.5
0.64,4.86,-795.5,-784.1,11.4
0.74,4.86,-791.7,-781.5,10.2
0.84,4.86,-788.5,-779.2,9.4
0.94,4.86,-786.3,-778.6,7.7
1.04,4.86,-785.3,-779.7,5.7
1.14,4.86,-785.4,-781.1,4.3
1.24,4.86,-786.9,-783.7,3.2
1.34,4.86,-789.3,-787.6,1.7
1.44,4.86,-792.3,-791.4,0.8
1.54,4.86,-796.9,-795.3,1.6
1.64,4.86,-802.9,-800.0,2.9
1.74,4.86,-809.3,-806.1,3.2
1.84,4.86,-817.7,-813.6,4.1
1.94,4.86,-827.9,-822.4,5.5
2.04,4.86,-839.5,-833.1,6.4
2.14,4.86,-851.4,-844.1,7.3
2.24,4.86,-863.1,-855.3,7.9
2.34,4.86,-874.2,-866.4,7.8
2.44,4.86,-884.7,-876.7,7.9
2.54,4.86,-894.0,-888.1,6.0
2.64,4.86,-902.0,-899.5,2.5
2.74,4.86,-909.3,-908.7,0.6
2.84,4.86,-917.1,-918.0,-0.9
2.94,4.86,-926.2,-928.3,-2.1
3.04,4.86,-935.6,-938.3,-2.6
3.14,4.86,-945.2,-948.5,-3.3
3.24,4.86,-955.5,-959.1,-3.6
3.34,4.86,-967.7,-971.1,-3.4
3.44,4.86,-981.2,-982.6,-1.3
3.54,4.86,-994.1,-994.0,0.1
3.64,4.86,-1005.1,-1001.3,3.7
3.74,4.86,-1016.3,-1010.8,5.5
3.84,4.86,-1027.3,-1019.6,7.7
3.94,4.86,-1037.0,-1029.6,7.4
4.04,4.86,-1046.7,-1039.7,7.0
4.14,4.86,-1056.3,-1049.8,6.5
4.24,4.86,-1065.4,-1059.8,5.7
4.34,4.86,-1074.9,-1069.7,5.2
4.44,4.86,-1085.6,-1080.0,5.6
4.54,4.86,-1096.5,-1090.9,5.6
4.64,4.86,-1107.5,-1101.1,6.4
4.74,4.86,-1117.8,-1111.6,6.1
4.84,4.86,-1127.6,-1122.0,5.6
4.94,4.86,-1138.5,-1132.0,6.5
-4.96,4.76,-1113.3,-1106.5,6.8
-4.86,4.76,-1101.6,-1094.5,7.0
-4.76,4.76,-1090.3,-1082.5,7.8
-4.66,4.76,-1078.7,-1070.7,7.9
-4.56,4.76,-1066.5,-1059.2,7.3
-4.46,4.76,-1054.2,-1047.1,7.1
-4.36,4.76,-1040.4,-1035.0,5.5
-4.26,4.76,-1026.8,-1022.8,4.0
-4.16,4.76,-1013.1,-1009.4,3.7
-4.06,4.76,-998.5,-997.1,1.3
-3.96,4.76,-983.9,-985.1,-1.1
-3.86,4.76,-970.7,-976.7,-6.0
-3.76,4.76,-957.5,-970.3,-12.8
-3.66,4.76,-944.5,-961.3,-16.8
-3.56,4.76,-932.9,-959.7,-26.8
-3.46,4.76,-922.3,-959.7,-37.4
-3.36,4.76,-912.8,-963.6,-50.7
-3.26,4.76,-904.2,-967.2,-63.1
-3.16,4.76,-896.5,-971.2,-74.7
-3.06,4.76,-889.8,-963.6,-73.9
-2.96,4.76,-883.6,-949.2,-65.6
-2.86,4.76,-877.1,-937.0,-59.9
-2.76,4.76,-871.4,-930.5,-59.2
-2.66,4.76,-866.3,-922.1,-55.8
-2.56,4.76,-862.3,-904.1,-41.8
-2.46,4.76,-860.0,-892.6,-32.5
-2.36,4.76,-855.5,-885.2,-29.7
-2.26,4.76,-846.8,-875.3,-28.6
-2.16,4.76,-836.9,-863.5,-26.6
-2.06,4.76,-826.0,-848.8,-22.8
-1.96,4.76,-813.8,-839.0,-25.2
-1.86,4.76,-801.1,-829.9,-28.9
-1.76,4.76,-790.3,-820.9,-30.6
-1.66,4.76,-783.0,-807.4,-24.4
-1.56,4.76,-779.0,-792.0,-13.1
-1.46,4.76,-777.2,-781.8,-4.6
-1.36,4.76,-777.4,-777.8,-0.4
-1.26,4.76,-778.8,-776.8,2.1
-1.16,4.76,-781.5,-777.8,3.6
-1.06,4.76,-784.8,-779.9,4.9
-0.96,4.76,-788.6,-783.4,5.2
-0.86,4.76,-793.9,-787.8,6.1
-0.76,4.76,-798.9,-790.2,8.6
-0.66,4.76,-801.8,-793.1,8.8
-0.56,4.76,-803.4,-795.2,8.2
-0.46,4.76,-803.7,-795.4,8.3
-0.36,4.76,-801.9,-794.1,7.7
-0.26,4.76,-798.2,-791.2,7.0
-0.16,4.76,-793.5,-788.1,5.4
-0.06,4.76,-789.2,-784.9,4.3
0.04,4.76,-785.3,-781.3,4.0
0.14,4.76,-783.4,-778.2,5.2
0.24,4.76,-783.0,-776.2,6.8
0.34,4.76,-783.1,-774.4,8.6
0.44,4.76,-782.3,-771.3,11.0
0.54,4.76,-779.8,-768.7,11.2
0.64,4.76,-776.3,-765.2,11.1
0.74,4.76,-772.9,-762.3,10.6
0.84,4.76,-769.9,-759.9,10.0
0.94,4.76,-767.6,-759.8,7.8
1.04,4.76,-766.6,-761.0,5.6
1.14,4.76,-767.1,-762.9,4.2
1.24,4.76,-769.0,-766.0,3.0
1.34,4.76,-772.0,-770.2,1.8
1.44,4.76,-775.7,-774.4,1.3
1.54,4.76,-781.1,-778.4,2.7
1.64,4.76,-787.5,-783.8,3.7
1.74,4.76,-794.3,-790.6,3.7
1.84,4.76,-803.1,-798.2,4.9
1.94,4.76,-814.1,-808.5,5.6
2.04,4.76,-826.1,-819.2,7.0
2.14,4.76,-838.0,-830.1,8.0
2.24,4.76,-850.2,-841.9,8.3
2.34,4.76,-861.4,-853.3,8.2
2.44,4.76,-871.5,-864.8,6.7
2.54,4.76,-880.5,-876.1,4.5
2.64,4.76,-888.3,-886.1,2.1
2.74,4.76,-895.1,-895.9,-0.8
2.84,4.76,-902.9,-905.4,-2.5
2.94,4.76,-912.2,-915.1,-2.9
3.04,4.76,-921.8,-925.4,-3.6
3.14,4.76,-932.2,-937.2,-5.0
3.24,4.76,-944.0,-948.5,-4.5
3.34,4.76,-957.7,-959.1,-1.4
3.44,4.76,-971.4,-971.2,0.2
3.54,4.76,-983.8,-981.4,2.4
3.64,4.76,-994.8,-991.8,3.0
3.74,4.76,-1006.0,-1000.6,5.4
3.84,4.76,-1016.7,-1009.1,7.6
3.94,4.76,-1026.6,-1019.4,7.2
4.04,4.76,-1037.0,-1030.0,7.1
4.14,4.76,-1046.9,-1039.9,7.1
4.24,4.76,-1056.5,-1050.7,5.8
4.34,4.76,-1066.6,-1060.9,5.6
4.44,4.76,-1078.2,-1072.3,5.9
4.54,4.76,-1089.5,-1083.2,6.3
4.64,4.76,-1100.3,-1093.8,6.5
4.74,4.76,-1110.6,-1104.6,5.9
4.84,4.76,-1120.6,-1115.0,5.6
4.94,4.76,-1131.3,-1125.4,5.9
-4.96,4.66,-1105.2,-1102.0,3.2
-4.86,4.66,-1093.7,-1088.5,5.1
-4.76,4.66,-1082.5,-1076.9,5.6
-4.66,4.66,-1070.7,-1064.6,6.1
-4.56,4.66,-1058.3,-1052.2,6.1
-4.46,4.66,-1046.0,-1039.5,6.4
-4.36,4.66,-1033.1,-1027.5,5.5
-4.26,4.66,-1019.9,-1014.5,5.4
-4.16,4.66,-1006.0,-1000.9,5.1
-4.06,4.66,-991.6,-988.4,3.1
-3.96,4.66,-976.7,-975.4,1.3
-3.86,4.66,-963.2,-964.1,-0.9
-3.76,4.66,-949.6,-955.7,-6.1
-3.66,4.66,-935.9,-953.2,-17.3
-3.56,4.66,-923.3,-957.6,-34.2
-3.46,4.66,-911.8,-958.8,-47.1
-3.36,4.66,-900.8,-960.7,-59.9
-3.26,4.66,-890.7,-962.8,-72.1
-3.16,4.66,-882.8,-960.7,-77.9
-3.06,4.66,-876.3,-949.9,-73.7
-2.96,4.66,-870.3,-936.1,-65.9
-2.86,4.66,-863.7,-924.0,-60.2
-2.76,4.66,-858.3,-913.3,-55.0
-2.66,4.66,-854.0,-901.8,-47.8
-2.56,4.66,-850.5,-887.9,-37.4
-2.46,4.66,-847.4,-879.5,-32.2
-2.36,4.66,-839.2,-873.1,-33.9
-2.26,4.66,-829.0,-875.1,-46.1
-2.16,4.66,-819.5,-859.7,-40.2
-2.06,4.66,-808.5,-836.8,-28.3
-1.96,4.66,-795.8,-824.7,-28.9
-1.86,4.66,-782.8,-814.4,-31.7
-1.76,4.66,-771.1,-805.1,-34.1
-1.66,4.66,-762.6,-792.4,-29.8
-1.56,4.66,-758.2,-777.0,-18.9
-1.46,4.66,-756.5,-766.2,-9.6
-1.36,4.66,-756.8,-760.0,-3.2
-1.26,4.66,-758.3,-758.4,-0.1
-1.16,4.66,-760.9,-758.7,2.2
-1.06,4.66,-764.6,-760.6,4.0
-0.96,4.66,-768.8,-763.8,5.0
-0.86,4.66,-774.0,-768.0,6.1
-0.76,4.66,-778.3,-770.6,7.7
-0.66,4.66,-780.3,-773.0,7.3
-0.56,4.66,-781.3,-775.1,6.2
-0.46,4.66,-781.6,-774.9,6.7
-0.36,4.66,-780.3,-773.7,6.6
-0.26,4.66,-776.8,-771.0,5.8
-0.16,4.66,-771.9,-767.6,4.4
-0.06,4.66,-767.4,-763.6,3.8
0.04,4.66,-763.8,-760.5,3.3
0.14,4.66,-761.8,-757.5,4.3
0.24,4.66,-761.3,-755.4,5.9
0.34,4.66,-761.4,-753.7,7.7
0.44,4.66,-760.6,-752.0,8.6
0.54,4.66,-758.6,-749.3,9.4
0.64,4.66,-756.0,-746.2,9.8
0.74,4.66,-753.5,-742.5,10.9
0.84,4.66,-751.3,-740.3,11.1
0.94,4.66,-749.3,-740.5,8.8
1.04,4.66,-748.6,-742.3,6.3
1.14,4.66,-749.8,-744.6,5.2
1.24,4.66,-751.7,-748.2,3.5
1.34,4.66,-754.7,-752.5,2.2
1.44,4.66,-759.1,-756.5,2.5
1.54,4.66,-765.1,-761.3,3.8
1.64,4.66,-772.1,-766.9,5.1
1.74,4.66,-779.6,-774.3,5.3
1.84,4.66,-789.1,-783.6,5.5
1.94,4.66,-800.6,-793.7,6.9
2.04,4.66,-812.6,-804.5,8.1
2.14,4.66,-824.6,-816.7,7.9
2.24,4.66,-837.3,-828.6,8.6
2.34,4.66,-848.9,-840.2,8.7
2.44,4.66,-858.5,-852.3,6.2
2.54,4.66,-866.7,-863.4,3.3
2.64,4.66,-874.0,-872.6,1.3
2.74,4.66,-880.8,-882.3,-1.6
2.84,4.66,-889.4,-891.0,-1.6
2.94,4.66,-899.6,-902.1,-2.5
3.04,4.66,-910.0,-913.1,-3.1
3.14,4.66,-921.7,-925.0,-3.3
3.24,4.66,-934.9,-936.8,-1.8
3.34,4.66,-948.8,-949.2,-0.3
3.44,4.66,-960.9,-959.6,1.3
3.54,4.66,-972.7,-970.3,2.3
3.64,4.66,-984.2,-980.8,3.4
3.74,4.66,-995.3,-990.8,4.4
3.84,4.66,-1005.7,-1000.9,4.8
3.94,4.66,-1016.2,-1010.1,6.1
4.04,4.66,-1027.6,-1019.7,7.9
4.14,4.66,-1038.0,-1030.2,7.7
4.24,4.66,-1048.0,-1041.2,6.9
4.34,4.66,-1058.2,-1052.3,5.9
4.44,4.66,-1069.9,-1064.3,5.6
4.54,4.66,-1081.4,-1075.5,5.9
4.64,4.66,-1092.3,-1086.5,5.8
4.74,4.66,-1103.0,-1097.2,5.8
4.84,4.66,-1114.1,-1108.5,5.7
4.94,4.66,-1125.1,-1119.2,5.9
-4.96,4.56,-1096.7,-1096.4,0.3
-4.86,4.56,-1085.4,-1083.6,1.8
-4.76,4.56,-1074.6,-1072.4,2.2
-4.66,4.56,-1062.5,-1059.2,3.3
-4.56,4.56,-1049.9,-1045.3,4.6
-4.46,4.56,-1037.5,-1032.5,5.0
-4.36,4.56,-1025.0,-1020.0,5.0
-4.26,4.56,-1011.8,-1006.2,5.5
-4.16,4.56,-998.1,-993.5,4.6
-4.06,4.56,-984.2,-980.3,3.9
-3.96,4.56,-969.5,-967.5,2.1
-3.86,4.56,-955.7,-954.2,1.5
-3.76,4.56,-942.0,-943.1,-1.1
-3.66,4.56,-928.0,-939.2,-11.1
-3.56,4.56,-915.0,-952.9,-37.8
-3.46,4.56,-903.1,-952.3,-49.2
-3.36,4.56,-891.2,-951.3,-60.1
-3.26,4.56,-880.2,-947.2,-67.0
-3.16,4.56,-871.0,-940.8,-69.8
-3.06,4.56,-863.5,-924.2,-60.8
-2.96,4.56,-857.0,-912.7,-55.7
-2.86,4.56,-850.3,-904.7,-54.4
-2.76,4.56,-844.8,-895.2,-50.4
-2.66,4.56,-840.3,-885.8,-45.5
-2.56,4.56,-835.5,-871.8,-36.3
-2.46,4.56,-828.1,-862.6,-34.4
-2.36,4.56,-814.8,-843.6,-28.8
-2.26,4.56,-803.1,-836.0,-32.9
-2.16,4.56,-795.6,-821.1,-25.5
-2.06,4.56,-787.2,-810.7,-23.6
-1.96,4.56,-775.9,-806.9,-31.0
-1.86,4.56,-763.4,-797.9,-34.5
-1.76,4.56,-751.2,-789.3,-38.1
-1.66,4.56,-742.3,-776.2,-33.9
-1.56,4.56,-737.7,-763.0,-25.3
-1.46,4.56,-736.2,-750.7,-14.5
-1.36,4.56,-736.7,-742.7,-6.0
-1.26,4.56,-738.2,-739.5,-1.4
-1.16,4.56,-740.4,-739.0,1.4
-1.06,4.56,-743.5,-740.3,3.2
-0.96,4.56,-747.9,-743.3,4.5
-0.86,4.56,-752.9,-747.4,5.5
-0.76,4.56,-756.3,-750.3,6.0
-0.66,4.56,-757.8,-752.5,5.2
-0.56,4.56,-758.6,-753.9,4.8
-0.46,4.56,-759.1,-753.6,5.6
-0.36,4.56,-758.2,-752.1,6.1
-0.26,4.56,-755.1,-749.6,5.5
-0.16,4.56,-750.4,-746.0,4.3
-0.06,4.56,-745.6,-742.5,3.1
0.04,4.56,-742.1,-739.0,3.1
0.14,4.56,-740.0,-735.2,4.7
0.24,4.56,-739.0,-733.8,5.2
0.34,4.56,-739.1,-732.5,6.5
0.44,4.56,-738.4,-731.1,7.2
0.54,4.56,-736.9,-728.4,8.6
0.64,4.56,-735.2,-725.9,9.4
0.74,4.56,-733.7,-722.0,11.7
0.84,4.56,-732.5,-721.0,11.5
0.94,4.56,-731.2,-721.3,9.9
1.04,4.56,-731.1,-723.8,7.2
1.14,4.56,-732.6,-726.4,6.3
1.24,4.56,-734.8,-730.0,4.7
1.34,4.56,-738.4,-734.3,4.1
1.44,4.56,-743.1,-738.8,4.3
1.54,4.56,-749.7,-744.0,5.7
1.64,4.56,-757.3,-750.7,6.6
1.74,4.56,-765.7,-758.6,7.1
1.84,4.56,-775.6,-768.1,7.5
1.94,4.56,-787.2,-778.9,8.3
2.04,4.56,-799.1,-790.4,8.7
2.14,4.56,-811.2,-803.0,8.2
2.24,4.56,-824.2,-815.4,8.8
2.34,4.56,-836.4,-827.3,9.0
2.44,4.56,-845.6,-838.7,6.9
2.54,4.56,-852.6,-848.8,3.8
2.64,4.56,-859.5,-858.7,0.9
2.74,4.56,-867.3,-868.0,-0.7
2.84,4.56,-876.8,-877.9,-1.1
2.94,4.56,-888.1,-889.2,-1.1
3.04,4.56,-900.1,-901.7,-1.5
3.14,4.56,-913.0,-914.0,-1.0
3.24,4.56,-926.5,-926.6,-0.1
3.34,4.56,-939.5,-938.2,1.3
3.44,4.56,-950.3,-948.5,1.8
3.54,4.56,-961.8,-958.6,3.3
3.64,4.56,-973.6,-969.1,4.5
3.74,4.56,-984.6,-979.6,4.9
3.84,4.56,-995.0,-990.7,4.3
3.94,4.56,-1006.0,-1000.8,5.1
4.04,4.56,-1017.1,-1011.1,6.0
4.14,4.56,-1028.1,-1021.2,6.9
4.24,4.56,-1039.2,-1031.2,7.9
4.34,4.56,-1049.7,-1043.9,5.8
4.44,4.56,-1061.4,-1056.1,5.3
4.54,4.56,-1073.5,-1067.5,6.0
4.64,4.56,-1085.3,-1079.0,6.2
4.74,4.56,-1096.5,-1090.5,6.0
4.84,4.56,-1108.1,-1102.0,6.1
4.94,4.56,-1119.2,-1113.3,5.9
-4.96,4.46,-1089.3,-1087.3,2.0
-4.86,4.46,-1077.2,-1077.7,-0.4
-4.76,4.46,-1066.2,-1065.8,0.4
-4.66,4.46,-1054.1,-1053.8,0.3
-4.56,4.46,-1041.0,-1040.5,0.6
-4.46,4.46,-1028.0,-1026.5,1.5
-4.36,4.46,-1015.5,-1012.7,2.8
-4.26,4.46,-1002.5,-999.5,3.0
-4.16,4.46,-989.2,-986.2,3.1
-4.06,4.46,-976.2,-971.9,4.2
-3.96,4.46,-961.8,-957.8,4.0
-3.86,4.46,-947.6,-944.5,3.1
-3.76,4.46,-933.9,-933.1,0.9
-3.66,4.46,-920.3,-927.3,-7.0
-3.56,4.46,-907.0,-933.9,-26.9
-3.46,4.46,-894.6,-938.7,-44.1
-3.36,4.46,-882.2,-935.7,-53.5
-3.26,4.46,-870.6,-928.8,-58.2
-3.16,4.46,-860.4,-918.8,-58.4
-3.06,4.46,-851.6,-901.4,-49.8
-2.96,4.46,-843.9,-887.2,-43.4
-2.86,4.46,-836.4,-881.5,-45.1
-2.76,4.46,-830.1,-873.0,-42.9
-2.66,4.46,-824.2,-867.6,-43.4
-2.56,4.46,-817.2,-856.7,-39.6
-2.46,4.46,-806.2,-842.1,-35.9
-2.36,4.46,-789.7,-822.1,-32.4
-2.26,4.46,-774.9,-803.8,-28.9
-2.16,4.46,-767.4,-792.7,-25.3
-2.06,4.46,-762.8,-788.1,-25.3
-1.96,4.46,-754.4,-785.3,-30.9
-1.86,4.46,-743.2,-778.6,-35.3
-1.76,4.46,-731.3,-773.6,-42.3
-1.66,4.46,-722.0,-761.1,-39.1
-1.56,4.46,-716.9,-748.5,-31.5
-1.46,4.46,-715.2,-735.0,-19.8
-1.36,4.46,-715.6,-724.7,-9.1
-1.26,4.46,-717.1,-719.9,-2.8
-1.16,4.46,-719.2,-718.8,0.4
-1.06,4.46,-722.2,-719.9,2.2
-0.96,4.46,-726.8,-722.6,4.2
-0.86,4.46,-732.0,-726.6,5.3
-0.76,4.46,-734.8,-729.2,5.6
-0.66,4.46,-735.6,-730.4,5.2
-0.56,4.46,-736.1,-732.1,4.1
-0.46,4.46,-736.2,-731.5,4.8
-0.36,4.46,-735.0,-730.2,4.9
-0.26,4.46,-732.1,-727.5,4.5
-0.16,4.46,-727.6,-723.8,3.8
-0.06,4.46,-722.8,-720.6,2.2
0.04,4.46,-719.5,-716.4,3.0
0.14,4.46,-717.6,-713.8,3.8
0.24,4.46,-716.6,-711.6,5.0
0.34,4.46,-716.4,-709.7,6.7
0.44,4.46,-715.8,-709.3,6.6
0.54,4.46,-714.9,-706.9,8.0
0.64,4.46,-714.1,-704.6,9.4
0.74,4.46,-713.3,-701.2,12.1
0.84,4.46,-712.9,-700.4,12.5
0.94,4.46,-713.0,-702.0,11.0
1.04,4.46,-713.8,-704.9,8.9
1.14,4.46,-715.6,-708.1,7.5
1.24,4.46,-718.3,-711.9,6.5
1.34,4.46,-722.2,-716.7,5.5
1.44,4.46,-727.1,-721.3,5.8
1.54,4.46,-733.8,-727.1,6.7
1.64,4.46,-741.6,-733.7,7.9
1.74,4.46,-750.6,-742.5,8.2
1.84,4.46,-761.0,-752.7,8.2
1.94,4.46,-772.8,-764.3,8.5
2.04,4.46,-785.3,-776.7,8.5
2.14,4.46,-798.0,-789.3,8.7
2.24,4.46,-811.6,-801.5,10.1
2.34,4.46,-823.7,-814.5,9.2
2.44,4.46,-832.4,-825.3,7.1
2.54,4.46,-838.8,-834.8,4.0
2.64,4.46,-845.6,-845.2,0.4
2.74,4.46,-853.9,-854.5,-0.7
2.84,4.46,-864.0,-864.7,-0.7
2.94,4.46,-876.3,-876.9,-0.5
3.04,4.46,-890.0,-890.6,-0.6
3.14,4.46,-903.5,-903.1,0.4
3.24,4.46,-916.6,-915.4,1.2
3.34,4.46,-929.1,-926.8,2.3
3.44,4.46,-940.0,-936.7,3.3
3.54,4.46,-951.2,-946.8,4.4
3.64,4.46,-962.4,-957.4,5.0
3.74,4.46,-973.2,-968.7,4.5
3.84,4.46,-983.9,-979.5,4.4
3.94,4.46,-995.2,-991.4,3.8
4.04,4.46,-1006.2,-1002.0,4.2
4.14,4.46,-1018.0,-1011.7,6.2
4.24,4.46,-1030.2,-1022.7,7.5
4.34,4.46,-1041.6,-1036.7,4.9
4.44,4.46,-1053.5,-1049.0,4.4
4.54,4.46,-1066.3,-1059.9,6.4
4.64,4.46,-1079.1,-1071.9,7.2
4.74,4.46,-1090.9,-1083.8,7.1
4.84,4.46,-1102.6,-1095.7,6.9
