Exposure,DiseaseName,Acronym,Estimate,StdErr,Pvalue,OR,Direction,Significance,outcome
3675,Cholelithiasis,CHOL,0.031645896850686,0.0195262636051048,0.10508549441021,1.03215195233032,positive,NS,longevity
3693,Coronary artery disease,CAD,-0.469824233412678,0.0662055766149045,1.2800685105799e-12,0.625112132453408,negative,S,longevity
GCST009158,Uterine fibroids,UTE,0.0110058904939049,0.0122944903538776,0.376801554376099,1.01106667810928,positive,NS,longevity
PGC2019AN,Anorexia nervosa,AN,0.0165817947230624,0.0129336909822161,0.199820870817511,1.01672003571878,positive,NS,longevity
GCST90011816,Cervical cancer,CERV,-0.0748916878546263,0.0164634860399326,6.92252615944115e-05,0.927843977658031,negative,S,longevity
3437,Allergic rhinitis,ALL,0.0123451437508067,0.0225803049080847,0.584569911173084,1.01242165958004,positive,NS,longevity
PGC2019ALCUSE,Alcohol use disorder,AUD,-0.449659310608863,0.202071550300947,0.0260645950087299,0.637845421777238,negative,S,longevity
4307,Osteoarthritis,OST,-0.0669292833543012,0.0284663115788177,0.0187142243074245,0.935261337542927,negative,S,longevity
GCST90011809,Melanoma,MEL,0.0320511368241278,0.0106238169366004,0.0025536266278843,1.03257030632122,positive,S,longevity
GCST011364,Myocardial infarction,MYO,-0.436312878677804,0.043551190546085,1.26545559519479e-23,0.6464154446827,negative,S,longevity
3543,Cataract,CAT,-0.0105693731408846,0.0290056506136272,0.715566695897676,0.989486286415276,negative,NS,fertility
3603,Migraine,MIG,-0.0244714603632806,0.0152614503516887,0.108828288247577,0.975825538227363,negative,NS,fertility
GCST009131,Systemic sclerosis,SYSC,-0.0013504993279522,0.0045729739916284,0.767747995067753,0.998650412185886,negative,NS,fertility
2029,Chron’s disease,CHRO,-0.001998141461386,0.0012398831713562,0.107058539721716,0.998003853494308,negative,NS,fertility
2052,Age-related macular degeneration,ARMD,0.0029744334211653,0.0022144472288213,0.179208990013374,1.00297886143745,positive,NS,fertility
4290,Insomnia,INS,0.0287363146788329,0.0525520786534717,0.584505185774187,1.02915318610509,positive,NS,fertility
3698,Diaphragmatic hernia,DHER,-0.0709727402904612,0.0389035449921734,0.0681028343311546,0.931487283854302,negative,NS,fertility
GCST90061440,Cirrhosis,CIRR,-0.0054401498303946,0.0011898964832416,4.83201207983805e-06,0.994574620987401,negative,S,fertility
3687,Obesity,OBE,-0.0331860858230163,0.0225091201886589,0.140390195188937,0.967358531130762,negative,NS,fertility
4311,Diverticular disease,DIV,0.117398163416929,0.0695682787961455,0.0915025746941642,1.12456710204116,positive,NS,fertility
3691,Hypertension,HYP,0.0045896626439451,0.0096675950388072,0.634967247085002,1.00460021127759,positive,NS,fertility
GCST009541,Heart failure,HF,-0.0043008045832822,0.0149807979883748,0.774045080760538,0.995708430632386,negative,NS,fertility
4085,Type 2 diabetes,T2D,-0.004607119788018,0.001955560056843,0.0184774880655791,0.995403476708996,negative,S,fertility
3671,Inguinal hernia,IHER,-0.0188445346286861,0.0113303527741642,0.0962743169218749,0.981331913514595,negative,NS,fertility
1135,Atopic dermatitis,ECZ,-0.0028273300189825,0.0043651252361057,0.517173312876889,0.997176663114347,negative,NS,fertility
4267,Asthma adult-onset,AAO,0.0184903859930704,0.0107284271681364,0.0847991258747153,1.01866239169521,positive,NS,fertility
4276,Carpal tunnel syndrome,CTS,0.288244758511123,0.221867637222584,0.19388407860994,1.33408379252912,positive,NS,fertility
3666,Benign neoplasm of colon-rectum-anus,NEO,0.0011483062380017,0.0132301072981477,0.930834517620411,1.00114896579404,positive,NS,fertility
4266,Asthma child-onset,ACO,0.0171849866295107,0.0038693371562606,8.94063422729799e-06,1.0173334980146,positive,S,fertility
2,Attention deficit hyperactivity disorder,ADHD,0.0755307669151297,0.0189038565930346,6.45519771360683e-05,1.0784564079844,positive,S,fertility
GCST90011817,Bladder cancer,BLA,-0.0342359034115389,0.0142049640373356,0.015946549679912,0.966343514015007,negative,S,fertility
GCST90011819,Non-Hodgkin's lymphoma,NHL,0.0316162692598232,0.0169347638744185,0.0619092975570674,1.03212137260757,positive,NS,fertility
GCST90011811,Colon cancer,COL,-0.0200461297831835,0.0162347005433008,0.216915918403446,0.980153457997373,negative,NS,fertility
GCST008057,Varicose veins,VAR,0.193984974477282,0.219066650522523,0.375883437910082,1.214078040662,positive,NS,fertility
GCST90011810,Rectal cancer,REC,-0.0041119263822746,0.0121034404519204,0.734058339219471,0.995896516011547,negative,NS,fertility
GCST90011812,Lung cancer,LUN,-0.0133399587172724,0.016945439282671,0.431147219469588,0.986748624197052,negative,NS,fertility
CMDKP2018AF,Atrial fibrillation,AF,-8.89749124385576e-05,0.0023768448684724,0.970138929487392,0.999911029045712,negative,NS,fertility
3688,Lipoprotein metabolism disorders,LIPO,-0.000119295271196,0.007896896079437,0.987947133415267,0.999880711844202,negative,NS,fertility
GCST90011808,Prostate cancer,PRO,0.0111877638352323,0.0046189073446896,0.0154282688222364,1.01125058090734,positive,S,fertility
3685,Hypothyroidism,HYPO,0.0161557920363278,0.0052318804301124,0.0020154148793709,1.01628700249512,positive,S,fertility
4039,Bipolar disorder,BD,-0.0350412443877061,0.0176419936284339,0.0470066123487203,0.965565591274691,negative,S,fertility
3675,Cholelithiasis,CHOL,0.010119998359284,0.0083988584323863,0.22823207894882,1.01017137871947,positive,NS,fertility
3693,Coronary artery disease,CAD,0.0023342726193524,0.0105622230690097,0.825090861209751,1.00233699915476,positive,NS,fertility
BCAC2020BC,Breast cancer,BRE,-0.000748020096598,0.0022714767013394,0.741921351743014,0.99925225960069,negative,NS,fertility
GCST009158,Uterine fibroids,UTE,-0.0025540669627667,0.0062571745502128,0.683139951740424,0.997449191891224,negative,NS,fertility
3437,Allergic rhinitis,ALL,0.0102710387850067,0.0097421381052261,0.291750165568076,1.01032396695777,positive,NS,fertility
GCST90011816,Cervical cancer,CERV,0.0222219495157572,0.0074061072466551,0.0026954574967764,1.02247069616393,positive,S,fertility
GCST90132223,Rheumatoid arthritis,RHAR,-0.001872176005211,0.0007189617312,0.009214288498691,0.998129575423122,negative,S,fertility
GCST90129442,Gout,GOU,0.0009374515213603,0.0016943865362801,0.580079234451853,1.00093789106638,positive,NS,fertility
PGC2019AN,Anorexia nervosa,AN,-0.0264001070949829,0.0065204765946092,5.14808646410077e-05,0.973945329204657,negative,S,fertility
PGC2019ALCUSE,Alcohol use disorder,AUD,-0.112181400858525,0.15411588462298,0.4666730218561,0.893882091813429,negative,NS,fertility
PGC2021ALZwoUKBB,Alzheimer’s disease,AD,0.0001368096563534,0.0018019411269136,0.939479969703,1.00013681901522,positive,NS,fertility
GCST90011809,Melanoma,MEL,-0.0262379737620613,0.0057627005959948,5.28689090679785e-06,0.974103251008813,negative,S,fertility
4307,Osteoarthritis,OST,0.0135340329225046,0.0103988345740657,0.193089018334843,1.01362603251942,positive,NS,fertility
GCST011364,Myocardial infarction,MYO,0.0158319601115509,0.0084258951225116,0.0602493034752302,1.01595794960076,positive,NS,fertility
