year,plot,region,condition,herbi,rel_doy,rel_doy_lead,delay_day
2020,MHC,M,HC,0.377688784416039,6.422132512069254,12.0957216580656,5.6735891459963455
2020,DHC,D,HC,0.319844668620082,-13.577867487930746,4.0957216580655995,17.673589145996345
2020,D8H2C,D,HC,0.162802661231645,-5.577867487930746,13.0957216580656,18.673589145996345
2017,D6H2C,D,HC,0.0943709683411671,7.306184451473285,-7.178957882470456,-14.485142333943742
2019,GHC,G,HC,0.405706016301332,8.003995338771432,-4.577867487930746,-12.581862826702178
2020,HLC,H,LC,0.256435892804995,-1.577867487930746,-15.9042783419344,-14.326410854003655
2020,GLC,G,LC,0.477425506350464,-5.577867487930746,-2.9042783419344005,2.6735891459963455
2020,HLM,H,LM,0.221025049094993,-5.577867487930746,4.0957216580655995,9.673589145996345
2018,NLM,N,LM,0.216294881676217,20.821042117529544,8.003995338771432,-12.817046778758112
2018,BLC,B,LC,0.0846154428123504,-11.178957882470456,-6.996004661228568,4.182953221241888
2019,JHM,J,HM,0.123053343289305,3.003995338771432,-10.577867487930746,-13.581862826702178
2019,AHC,A,HC,0.219797641650158,-4.996004661228568,-3.577867487930746,1.418137173297822
2020,GLM,G,LM,0.413755010545519,3.422132512069254,5.0957216580655995,1.6735891459963455
2018,DLM,D,LM,0.304544877889007,30.821042117529544,13.003995338771432,-17.81704677875811
2018,D1H2C,D,HC,0.177806846682951,57.821042117529544,-5.996004661228568,-63.81704677875811
2020,SLC,S,LC,0.0624304050313449,6.422132512069254,35.0957216580656,28.673589145996345
2017,DLC,D,LC,0.350728076599599,-4.693815548526715,-6.178957882470456,-1.4851423339437417
2017,FLC,F,LC,0.38407977159864,-15.693815548526715,2.8210421175295437,18.51485766605626
2019,MLM,M,LM,0.0754674924207059,-2.996004661228568,6.422132512069254,9.418137173297822
2019,D7H2C,D,HC,0.46522264574534,12.003995338771432,1.422132512069254,-10.581862826702178
2020,MLC,M,LC,0.46092336045161,9.422132512069254,8.0957216580656,-1.3264108540036545
2019,FLM,F,LM,0.260989596049694,-11.996004661228568,0.42213251206925406,12.418137173297822
2020,D7H2C,D,HC,0.163947961468483,-5.577867487930746,0.09572165806559951,5.6735891459963455
2019,DLC,D,LC,0.135445439015043,-8.996004661228568,-21.577867487930746,-12.581862826702178
2019,D8H2C,D,HC,0.466737564672335,-6.996004661228568,48.422132512069254,55.41813717329782
2018,FH2C,F,HC,0.216390441125849,0.8210421175295437,-2.996004661228568,-3.8170467787581117
2018,MLM,M,LM,0.301794296395465,-4.178957882470456,8.003995338771432,12.182953221241888
2020,AHC,A,HC,0.168542118379593,-10.577867487930746,7.0957216580655995,17.673589145996345
2018,D3H2C,D,HC,0.183723952939541,-18.178957882470456,-10.996004661228568,7.182953221241888
2020,GHM,G,HM,0.249577260201492,13.422132512069254,2.0957216580655995,-11.326410854003655
2019,BHC,B,HC,0.0410848440520974,15.003995338771432,-11.577867487930746,-26.581862826702178
2018,FLC,F,LC,0.0747571358042672,-6.178957882470456,-16.996004661228568,-10.817046778758112
2020,TLC,T,LC,0.318043485147864,-3.577867487930746,2.0957216580655995,5.6735891459963455
2018,OHC,O,HC,0.204869383159292,10.821042117529544,-3.996004661228568,-14.817046778758112
2020,FHM,F,HM,0.00595421114173389,-3.577867487930746,0.09572165806559951,3.6735891459963455
2017,D5H2C,D,HC,0.35620890097118,0.30618445147328543,2.8210421175295437,2.5148576660562583
2018,MHC,M,HC,0.0962797597105494,4.821042117529544,26.003995338771432,21.18295322124189
2018,OHM,O,HM,0.365284091974776,-0.1789578824704563,-17.996004661228568,-17.81704677875811
2018,DHM,D,HM,0.135580595216976,-6.178957882470456,13.003995338771432,19.18295322124189
2020,ALM,A,LM,0.0342838414147388,24.422132512069254,21.0957216580656,-3.3264108540036545
2018,NLC,N,LC,0.303605281305164,-6.178957882470456,-8.996004661228568,-2.8170467787581117
2018,DHC,D,HC,0.186066111721887,-16.178957882470456,-4.996004661228568,11.182953221241888
2018,NLM,N,LM,0.270462283270734,-5.178957882470456,5.003995338771432,10.182953221241888
2019,ALC,A,LC,0.124056604824898,7.003995338771432,-22.577867487930746,-29.581862826702178
2019,DLC,D,LC,0.302543421364985,6.003995338771432,-3.577867487930746,-9.581862826702178
