plot,years,condition,outbreak,herbi,shift,shift_herbi
SLM,2019-2020,LM,0.0,0.26819007453559,-0.307224762349651,-0.06211930624121
THC,2018-2019,HC,1.0,0.291415924403631,0.12245363173708,0.00383493969660698
HHM,2018-2019,HM,0.0,0.215908909836719,0.285138689881865,0.026366434223314
BLM,2019-2020,LM,0.0,0.215958521032313,0.20719320913278,0.2915622989654
D1,2019-2020,HC,1.0,0.155586146818893,0.28863327204012,0.155232653176682
FHM,2018-2019,HM,0.0,0.613058884959156,-0.0531353485668702,-0.408463098432662
D6,2020-2021,HC,1.0,0.477451252349171,-0.21062217724865,-0.335827897392174
HHC,2017-2018,HC,1.0,0.0640642879388944,0.0737202694755689,0.370398575746575
GHC,2020-2021,HC,1.0,0.373362652396164,-0.451212973494662,-0.277747068891442
F1,2020-2021,HC,1.0,0.136458634856901,-0.263610572402897,-0.027550784625808
MLC,2017-2018,LC,0.0,0.187452569409585,0.340153527122306,0.113931524745008
FHM,2020-2021,HM,0.0,0.154608256395357,0.00517427309238006,0.090773521099104
FLC,2019-2020,LC,0.0,0.277808052044029,0.153958247537343,-0.28235114984871
GHC,2018-2019,HC,1.0,0.300656621058322,0.01828389996659,-0.31079209224747
FHM,2018-2019,HM,0.0,0.0282195390026809,0.395875953989604,0.155232755756935
MHM,2017-2018,HM,0.0,0.248349651099166,-0.617627091655919,0.044583888429412
HHC,2018-2019,HC,1.0,0.415158072812273,-0.01768359150949,0.108512216258775
GHM,2020-2021,HM,0.0,0.367177692738348,-0.29115184338602,-0.176992134776755
SLM,2018-2019,LM,0.0,-0.00912315434005939,0.603679895761568,-0.0281281915654907
NHM,2017-2018,HM,0.0,0.0565147313957854,-0.056027153557245,0.310118273194718
OHC,2017-2018,HC,1.0,0.429982172355936,0.145453427076616,0.037643473990663
D1,2018-2019,HC,1.0,0.263807488270391,-0.357886643030706,0.00614945656689497
NHC,2017-2018,HC,1.0,0.386710654569073,0.640653701044577,-0.097843508534768
MHC,2018-2019,HC,1.0,0.272892242035606,-0.115452395674633,0.103041537429757
GHM,2018-2019,HM,0.0,0.23518807479198,-0.14411011533974,-0.083234732262515
D8,2019-2020,HC,1.0,0.538736166853237,-0.469949628564668,-0.324990881630802
DLC,2018-2019,LC,0.0,0.0747925922310881,0.0977765420759459,0.204575828637124
D5,2020-2021,HC,1.0,0.142361451800325,0.10518179475791,-0.0798938049631611
AHM,2017-2018,HM,0.0,0.111572206358767,0.21708686995564,0.122093608064281
NHM,2020-2021,HM,0.0,0.0473375941616918,-0.196958355498764,-0.0228241185665245
AHC,2019-2020,HC,1.0,0.3697200123222,-0.09399117052813,-0.308951724890311
SHC,2019-2020,HC,1.0,0.581959050119803,-0.0987423562888698,-0.336262805603737
SLM,2017-2018,LM,0.0,-0.00426478557137266,0.064545092366766,0.166393984216093
D1,2018-2019,HC,1.0,0.422855577813799,-0.0331144372096399,-0.100374226101308
OLM,2017-2018,LM,0.0,0.0844739716603513,0.07168871535985,0.134845898048387
GHM,2019-2020,HM,0.0,-0.0148367397745293,-0.188850801015606,0.42486328066575
OLC,2018-2019,LC,0.0,0.105568036932816,0.149457384418716,0.01603256211336
THM,2020-2021,HM,0.0,0.0832638334210836,0.0030422920345099,0.0252222574131844
THC,2019-2020,HC,1.0,0.360188520846981,-0.23287255195832,-0.240541673780064
THM,2019-2020,HM,0.0,0.104298044118143,0.319666678917634,0.501281385740653
MHM,2018-2019,HM,0.0,0.176365878852369,0.295240536300048,-0.069357556089182
MLC,2019-2020,LC,0.0,0.231277794351057,-0.0292050740565499,0.021601048591378
D9,2017-2018,HC,1.0,0.158475325803949,0.067039053896338,-0.026813792754827
OLM,2020-2021,LM,0.0,0.202847067525477,-0.103328374466408,-0.042759529758414
FHC,2017-2018,HC,1.0,0.212794432960798,0.046137308557645,0.09739434012741
AHM,2017-2018,HM,0.0,0.239908499215306,-0.0342958044369099,0.347347407637454
BLC,2020-2021,LC,0.0,0.163283753615173,-0.16297683492505,-0.007305928739512
JHM,2018-2019,HM,0.0,0.197212374966394,-0.15691890592617,-0.03448201379381
GLC,2020-2021,LC,0.0,0.438310316014889,-0.235491583828753,-0.191615221093452
OLM,2018-2019,LM,0.0,0.087532552982037,-0.167167060304348,0.235189839451894
OLM,2017-2018,LM,0.0,0.0885549463874391,0.335191594908337,0.441929963693968
JLM,2018-2019,LM,0.0,0.338266092490669,0.0567026659525149,-0.271713343390726
NHM,2017-2018,HM,0.0,0.54521184870189,-0.00379299021926993,-0.360366094741622
D1,2018-2019,HC,1.0,0.0447182774192143,-0.210066174873672,0.221693377400091
FHM,2018-2019,HM,0.0,0.337297243424948,-0.444106514305537,0.014172479612476
BHM,2019-2020,HM,0.0,0.423928201651948,-0.15890828573556,0.025155644616681
HHC,2020-2021,HC,1.0,0.290051332141238,0.03941577831271,0.052203517684627
TLC,2020-2021,LC,0.0,0.150844996256818,-0.316765810660129,0.044427707829952
MHM,2018-2019,HM,0.0,0.217551010634282,0.05518998668765,0.078953224364482
MLM,2017-2018,LM,0.0,0.310104517135761,0.555510265786789,-0.075849634418577
MLC,2018-2019,LC,0.0,0.148907410183427,0.0975093799642889,0.241700095006976
GLC,2018-2019,LC,0.0,0.361969659624812,0.0994075364709999,-0.066381086014262
THC,2017-2018,HC,1.0,0.409795096326257,-0.0750014371475811,-0.119014424122125
AHC,2020-2021,HC,1.0,0.270466785521301,-0.1007077363386,-0.030297250699592
DLC,2018-2019,LC,0.0,0.271266699637563,0.19033478647608,-0.268121101831319
FHC,2020-2021,HC,1.0,0.198194796723447,-0.197601213024656,-0.020209491564751
DLC,2020-2021,LC,0.0,0.312375487986696,0.0776744220516971,-0.238139164870642
JHM,2020-2021,HM,0.0,0.287365729446356,-0.06711896190868,-0.05006340236611
FHC,2017-2018,HC,1.0,0.113781796241765,-0.086188650915326,0.11984093095359
D8,2019-2020,HC,1.0,0.454926864605076,0.110890114869619,-0.186824741402864
HHC,2020-2021,HC,1.0,0.254897969376305,0.11124300129244,-0.000679225165258979
D2,2017-2018,HC,1.0,0.355408669224383,-0.346763368809395,-0.1836204960065
SHM,2019-2020,HM,0.0,0.198983589385765,-0.12616489641126,0.405738109074733
NHM,2020-2021,HM,0.0,0.212363884823663,-0.0388718013017499,0.082632070923396
BHM,2018-2019,HM,0.0,0.13152292407451,-0.059265344611762,0.061007933275767
MLM,2017-2018,LM,0.0,0.336549220270722,-0.17275158527151,-0.088675196502578
AHC,2019-2020,HC,1.0,0.509470356924272,-0.233871426497312,-0.133930626263288
D1,2018-2019,HC,1.0,0.171777652576346,-0.0615226115327601,0.055949801827296
DLM,2018-2019,LM,0.0,-0.00217413399134525,0.130343109799124,0.396226185000499
HHM,2020-2021,HM,0.0,0.0131260961730357,0.0141613405221921,0.130728384986885
DLM,2020-2021,LM,0.0,0.0431726460868367,0.091001761922028,0.119848048028361
GLM,2019-2020,LM,0.0,0.277097039233965,0.0851155608602601,0.076251730876944
HHM,2018-2019,HM,0.0,0.459092983212867,0.03085856917348,-0.099320740768293
DLC,2020-2021,LC,0.0,0.14872492232522,-0.073162648050937,-0.025657889160802
SHM,2018-2019,HM,0.0,0.253031851459628,0.0158697155246199,0.047820807249145
GLM,2020-2021,LM,0.0,0.410383886986297,0.09589091342629,-0.110000472772143
MHC,2020-2021,HC,1.0,0.39473623606521,-0.07647163683063,-0.164156542974653
DLC,2017-2018,LC,0.0,0.232570814637393,0.15143854103433,0.139393187844088
JLM,2018-2019,LM,0.0,0.214722840490772,-0.16344458255104,0.087604864542936
D9,2020-2021,HC,1.0,0.547957400846548,0.152845789282459,-0.127844584122093
BLC,2017-2018,LC,0.0,0.11366532707588,-0.0179889467498902,0.330659751700511
F1,2020-2021,HC,1.0,0.176351896582349,0.05828265084903,0.084458616541249
NLM,2018-2019,LM,0.0,0.143210914027702,-0.0370161048264102,0.141961520257644
D9,2018-2019,HC,1.0,0.1248440761436,0.299239609324646,0.229746456322446
DLM,2018-2019,LM,0.0,0.743984922514114,0.04602383393709,-0.507857211498896
DHC,2017-2018,HC,1.0,0.420458525793256,0.01780798374306,-0.00252958319610597
FLM,2018-2019,LM,0.0,0.215436337604505,0.0419503530824201,-0.034570365595733
MHC,2019-2020,HC,1.0,0.176960378840184,-0.300943955167141,-0.00388455885221201
OHM,2020-2021,HM,0.0,0.388986146429018,0.13988831184651,-0.297060167343245
NLM,2018-2019,LM,0.0,0.00877161799941861,-0.15991952333582,0.360666658328254
FLC,2018-2019,LC,0.0,0.413433424475217,-0.212682661374963,-0.011220312558
JLC,2020-2021,LC,0.0,0.0939243318561787,0.29369460565792,0.192437334169408
OLM,2019-2020,LM,0.0,0.0214162573649996,0.26250846217313,0.368143782649461
D8,2018-2019,HC,1.0,0.863555684593866,-0.60968184165883,-0.473320857264924
HLM,2020-2021,LM,0.0,0.0392078654825139,0.220510710970833,0.0674273168666861
BHC,2019-2020,HC,1.0,0.211065000165884,-0.105982091871487,0.012950997989702
GLC,2017-2018,LC,0.0,0.16319316995062,-0.256910292454894,-0.177129178255397
DLC,2018-2019,LC,0.0,0.250195195227255,0.137206853490137,-0.218063119918739
GLM,2017-2018,LM,0.0,0.395999116391996,-0.105340636118219,-0.273927335050928
BHC,2018-2019,HC,1.0,0.147005068491657,0.12309657210666,0.223896491053941
SHM,2020-2021,HM,0.0,0.357935621351794,0.13851761228494,-0.200420301763709
GLC,2019-2020,LC,0.0,0.226100058433396,0.145265677511629,0.055475177210466
SHC,2019-2020,HC,1.0,0.479838569158921,-0.235794494835508,-0.107975598611756
ALC,2018-2019,LC,0.0,0.20527959488252,0.453818176696866,-0.061340427926816
SHC,2020-2021,HC,1.0,0.134956662739852,-0.18104498487681,-0.0428048817578055
MLM,2019-2020,LM,0.0,0.373369996085366,0.12310699569773,-0.15134377670941
HHM,2019-2020,HM,0.0,0.270874296107717,0.0801110297277559,-0.218297683357293
MLM,2019-2020,LM,0.0,0.383382485485855,-0.12660895489677,-0.228591621325741
D8,2018-2019,HC,1.0,0.283420285378696,-0.015156040312535,0.043354591691548
MHM,2018-2019,HM,0.0,0.178985799772981,-0.113242340672708,0.097453588827687
HHM,2018-2019,HM,0.0,0.238663533361545,-0.18910247863002,-0.154121569552254
GLM,2017-2018,LM,0.0,0.495734266203113,0.0571430605868121,-0.101917882918358
OHC,2019-2020,HC,1.0,0.192888802021016,0.11005548255409,0.145281406921459
OLM,2019-2020,LM,0.0,0.105387320700755,-0.0757072513299799,0.09846787786658
OHC,2017-2018,HC,1.0,0.551055646221257,-0.196490840767885,-0.200278349345646
SLM,2020-2021,LM,0.0,0.12898982638766399,0.05697938908241,0.175831276791608
ALM,2017-2018,LM,0.0,0.181113647257148,0.0977206340221399,0.071040446596097
NLC,2017-2018,LC,0.0,0.124959888142782,-0.034715893786553,0.108590343702191
MHM,2017-2018,HM,0.0,0.102898247607083,0.159669431811238,0.061955463630371
THC,2019-2020,HC,1.0,0.393911885526724,-0.405153313689741,-0.214282082179413
MLC,2017-2018,LC,0.0,0.68038352661254,0.281221677683171,-0.666466105756901
MLM,2020-2021,LM,0.0,0.290702060685263,0.0746730100939601,-0.263180021566363
ALC,2020-2021,LC,0.0,0.128582875559496,-0.138404658059314,0.070376129373247
FLC,2019-2020,LC,0.0,0.410386007426329,0.37351740754741,0.229496763490499
F1,2019-2020,HC,1.0,0.651870809004526,-0.1402726081394,-0.426754506264168
DHC,2017-2018,HC,1.0,0.281904282556995,-0.25691866808473,0.184973152067616
F1,2018-2019,HC,1.0,0.336500701509206,0.510382516087004,-0.001612355616042
D4,2018-2019,HC,1.0,0.323815644521873,0.320600265342145,-0.260929386147217
F1,2019-2020,HC,1.0,0.596655887824464,0.00252133525709985,-0.220151772154692
ALM,2019-2020,LM,0.0,0.161971676455424,-0.20739553642472,0.024300950770765
NLC,2019-2020,LC,0.0,0.520935942725866,-0.17626518079189,-0.174354652292204
AHC,2018-2019,HC,1.0,0.515031416898714,-0.00942579259682597,-0.36122250356
GHM,2019-2020,HM,0.0,0.242982924727442,-0.185563369201034,0.011049591441797
HLC,2017-2018,LC,0.0,0.186863082704792,0.086534523273825,0.071046607736761
ALC,2020-2021,LC,0.0,-0.0122143634972918,0.31927169976592,0.357005924874306
OHC,2020-2021,HC,1.0,0.360346436175861,0.592387143679268,-0.081759447424463
SHM,2017-2018,HM,0.0,0.243693294602994,0.25545701817427,-0.031468128414335
ALC,2020-2021,LC,0.0,0.217675821306053,-0.0508922579683799,0.04539583834512
SHC,2019-2020,HC,1.0,0.310923445476488,0.02419341460666,-0.201551869075473
SLC,2020-2021,LC,0.0,0.20546503050699,-0.234101064603001,-0.074631160037292
DLC,2018-2019,LC,0.0,-0.0057090563188793,-0.14826790653862,0.27033907851038
GLM,2020-2021,LM,0.0,0.273231585229767,-0.23534103475976,-0.126412625689854
HLC,2020-2021,LC,0.0,0.264732141397182,0.2839811300845,0.051124857226001
GHC,2018-2019,HC,1.0,0.210103447071473,-0.321167139030743,0.031205671923187
SHM,2017-2018,HM,0.0,0.20711774896746,0.122478614503756,0.077430068668236
OLC,2018-2019,LC,0.0,0.265844977004362,-0.40608152021704,-0.042839886954676
JHC,2019-2020,HC,1.0,0.218267198207863,-0.0771121242913521,-0.09404453490921
MLC,2017-2018,LC,0.0,0.263403723725234,-0.381325192813878,-0.11989302414588
BHM,2019-2020,HM,0.0,0.271454202900393,-0.0842326706160101,-0.127005837941666
FLC,2017-2018,LC,0.0,0.398481430186857,0.14509672202421,-0.109723854745239
OHC,2020-2021,HC,1.0,0.469376799522847,0.0826063464087201,-0.40668738039175
OHC,2020-2021,HC,1.0,0.274921094038538,-0.0828023789112899,0.059822161217175
DLC,2018-2019,LC,0.0,0.0480469911576219,0.467261594322786,0.488454734426536
OLC,2019-2020,LC,0.0,0.234782681668914,-0.439080954183687,-0.212861820898506
GHM,2020-2021,HM,0.0,0.322623588774348,0.487388447532918,-0.087398581476513
D5,2017-2018,HC,1.0,0.103922994834394,0.659224519123858,0.265359360662589
OHM,2019-2020,HM,0.0,0.278393684294219,-0.0923623562509901,-0.024508937829184
NLM,2017-2018,LM,0.0,0.229493264910285,-0.37303529306076,-0.207722859548784
TLC,2019-2020,LC,0.0,0.434185474404746,0.563455625889912,-0.186693292427263
OHM,2018-2019,HM,0.0,0.19187653239547,0.635120190571694,0.082402780910645
HHM,2020-2021,HM,0.0,0.434502314816849,-0.19074773389602,-0.442643061615692
OHM,2019-2020,HM,0.0,0.273583479305906,-0.21721666676302,0.019331096067395
D8,2019-2020,HC,1.0,0.52919542803927,-0.10041908724402,-0.370603484025455
THM,2017-2018,HM,0.0,0.272037168481389,-0.0800660259214399,0.097715513965239
MHM,2017-2018,HM,0.0,0.0787523022064114,-0.180319526158378,0.0971547079737606
MLM,2018-2019,LM,0.0,0.164128617798695,0.42440596167264,0.105665544696607
GHM,2020-2021,HM,0.0,0.382535021027721,-0.314120826220986,-0.106668258051695
MLM,2017-2018,LM,0.0,0.36267726964146,-0.146644288003243,-0.216503620846628
SHC,2019-2020,HC,1.0,0.445344949108872,0.45441823507826,-0.214519906655715
MHC,2020-2021,HC,1.0,0.150155595014636,0.45455093900532,0.249074115641533
NLC,2019-2020,LC,0.0,0.298449709436118,-0.0618183937072371,-0.157795983996948
FLM,2017-2018,LM,0.0,0.435101459042282,0.0247424562190499,-0.151626515621863
D6,2019-2020,HC,1.0,0.238400960687087,-0.15990337946982,0.036734746694822
SHM,2018-2019,HM,0.0,0.61171133299678,-0.19691107959441,-0.451839913009815
FHM,2019-2020,HM,0.0,0.240830481953711,0.165184267374889,0.04404267546387
JLC,2017-2018,LC,0.0,0.286288357273424,-0.385450402330425,-0.126165009213204
SHM,2017-2018,HM,0.0,0.254810028464007,0.0982252372669301,-0.259792583738284
MHM,2018-2019,HM,0.0,0.502760454641758,-0.128688919486641,-0.18270245519573
TLM,2020-2021,LM,0.0,0.239585188481766,0.287466271764129,-0.044233362539703
D5,2020-2021,HC,1.0,0.052670046789461,-0.11163484597992,0.359041851037801
NHC,2018-2019,HC,1.0,0.169026036656382,0.45080332359544,0.494010917728625
BLM,2018-2019,LM,0.0,0.365475899571299,0.23992475078211,-0.148933371488631
DLM,2017-2018,LM,0.0,0.129544019470349,0.164318000493727,0.313936223379705
BLC,2018-2019,LC,0.0,0.0636620217025714,-0.029597632872391,0.0790900041168986
MHC,2019-2020,HC,1.0,0.341745697092389,-0.0114048050323989,-0.142696783050564
OLM,2017-2018,LM,0.0,0.10267411023959,0.490889719928224,0.163465430969108
OLC,2017-2018,LC,0.0,0.17389678100368,-0.157498854165468,0.152937306540296
NHM,2020-2021,HM,0.0,0.282148797361921,-0.20075846317831,0.082011686665158
DHC,2019-2020,HC,1.0,0.306952177466908,0.142188536814161,0.090817644191947
D8,2020-2021,HC,1.0,0.120330799364308,0.333722538183629,-0.0696468230937041
FHM,2017-2018,HM,0.0,0.467623525844063,-0.0345237745517899,0.00414334039111997
GHC,2020-2021,HC,1.0,0.083580772096195,-0.11417564503696,0.233254640831569
SHM,2019-2020,HM,0.0,0.036559584284934,0.0966694451737602,0.229560461669541
GLM,2020-2021,LM,0.0,0.171690849836718,-0.045488763940514,-0.105133143523277
SLM,2017-2018,LM,0.0,0.0255775868814381,-0.11262837301707,0.116959137956602
GHC,2017-2018,HC,1.0,0.176271851392905,-0.49832795361313,0.145917396759996
BLC,2020-2021,LC,0.0,0.181845384877284,-0.019532596461717,-0.0825880978945592
DLC,2019-2020,LC,0.0,0.457303216395131,0.33646288631597,-0.010744956471284
GHC,2019-2020,HC,1.0,0.420719872739146,-0.01010527492047,-0.065141727239002
MLM,2017-2018,LM,0.0,0.209836364776776,-0.200508174551721,0.093156018342679
DLC,2018-2019,LC,0.0,0.401152100752818,-0.299720906484229,-0.242063937677895
NLC,2019-2020,LC,0.0,0.371851965986494,-0.322006625283874,-0.093037900967735
D8,2019-2020,HC,1.0,0.130642367646147,-0.102034834359196,0.149350896339245
FLC,2019-2020,LC,0.0,0.0827316060657973,0.194865431848031,0.0296974659783337
FLM,2018-2019,LM,0.0,0.294379314145153,-0.13718948497202,-0.064835233180238
SHC,2019-2020,HC,1.0,0.481049618702878,-0.44190860656018,-0.335097330415789
SLM,2020-2021,LM,0.0,0.178125533249578,0.21299965756287,0.165607256941776
NHM,2020-2021,HM,0.0,0.167556613018675,0.044217982804006,-0.105605904993967
DLM,2020-2021,LM,0.0,0.0668009184578522,-0.128942860827619,0.134580832901152
TLM,2017-2018,LM,0.0,0.310535498138886,0.11127418898667,0.059392839617597
OLC,2020-2021,LC,0.0,0.396162219451394,-0.180928435352447,-0.107068511158294
NHM,2018-2019,HM,0.0,0.458345311906176,0.00766560397058003,-0.354747522942299
D8,2018-2019,HC,1.0,0.249119867329312,0.116720092017157,0.190847702720388
AHC,2020-2021,HC,1.0,0.129752640912161,-0.11849314517725,0.048248042874486
JLM,2020-2021,LM,0.0,0.389664480277042,0.13101193532514,-0.256100406397392
MLM,2018-2019,LM,0.0,0.270195975273424,0.13367835590977,0.106104669204873
JHM,2019-2020,HM,0.0,0.253359829754316,0.17567218384434,0.077764962196362
NHC,2019-2020,HC,1.0,0.237183776702228,-0.271262619784156,-0.167168567844448
BLC,2019-2020,LC,0.0,-0.0163290772391085,0.016812407905654,0.288078000121607
SLC,2017-2018,LC,0.0,0.0074820752658542,0.0810691421388101,0.384569925923062
BHC,2018-2019,HC,1.0,0.548556947946552,-0.0401290374110499,-0.412613814001854
HLM,2018-2019,LM,0.0,0.434295639123246,-0.02024382179231,-0.191269024003476
DHC,2017-2018,HC,1.0,0.257118050252646,0.0505820714251399,0.083596410964956
GHC,2018-2019,HC,1.0,0.481599550855052,-0.15406592471808,-0.19125419909267
JLM,2017-2018,LM,0.0,0.246993112726515,0.259662074987079,-0.169620787870751
D1,2019-2020,HC,1.0,0.372462322462691,0.02348196588256,-0.02650071349416
GHM,2019-2020,HM,0.0,0.150396113646282,0.159707249978996,0.266105202780722
JLM,2018-2019,LM,0.0,0.0911673697780003,0.376961725031192,0.192419935666333
D1,2019-2020,HC,1.0,0.335292980611076,0.38131940608797,0.248866990293856
HHM,2018-2019,HM,0.0,0.274620939486218,0.13523775677396,0.056860593809806
HHC,2017-2018,HC,1.0,0.111234334984896,0.00697636810095703,-0.0321978655724441
FHC,2017-2018,HC,1.0,0.10210915752769,0.0351557749559199,0.318653430029411
OLM,2020-2021,LM,0.0,0.364924293202567,0.28456225416742,-0.119842517214572
FLM,2020-2021,LM,0.0,0.0494402925736432,0.169398725827645,0.150584343724614
DLM,2017-2018,LM,0.0,0.24520004399494,0.02038000065519,0.092583030754475
JLC,2018-2019,LC,0.0,0.180220118198268,0.331012407806844,-0.038722458672004
FHM,2017-2018,HM,0.0,0.483928326981667,0.30746693193089,0.00911529772708203
BLC,2017-2018,LC,0.0,0.0503015735099062,-0.16435810005876,0.151855055421524
SLC,2018-2019,LC,0.0,0.374972140580768,0.09525841615544,-0.139619590517219
FHC,2017-2018,HC,1.0,0.113159421618533,0.17249857358872,0.262139775398767
OHC,2019-2020,HC,1.0,0.419861109482585,-0.00687378934704008,-0.280501971601302
BLM,2018-2019,LM,0.0,0.241152267510019,-0.30633230746447,-0.07988422531667
FHM,2018-2019,HM,0.0,0.369587822884522,0.04503115127903,-0.150826819846211
BHC,2020-2021,HC,1.0,0.167686247256989,0.0989922402057399,0.016253607062851
DHC,2019-2020,HC,1.0,0.479121971535317,-0.02487750426169,-0.291683454348056
FLC,2018-2019,LC,0.0,0.210640569466956,0.368170649212885,-0.167059637831292
SHC,2019-2020,HC,1.0,0.137640411293615,0.375655391000959,0.271586712268792
GHM,2017-2018,HM,0.0,0.269987447730223,0.448039140448684,-0.010279411882324
OHC,2020-2021,HC,1.0,0.264810327697649,0.0565948259545701,-0.160526026140033
MHM,2019-2020,HM,0.0,0.108101456309907,0.111226115999506,0.074145918510185
MLC,2019-2020,LC,0.0,0.255115999140788,-0.0560780453660399,0.045525362633507
ALC,2019-2020,LC,0.0,0.218376668723275,0.0478820250105001,0.108082700883942
BHM,2018-2019,HM,0.0,0.161965261458528,-0.00236222604449998,0.362757217829717
MHM,2020-2021,HM,0.0,0.199309609992368,-0.11816072912349,-0.130752626673941
ALC,2019-2020,LC,0.0,0.0714094698020618,0.00106753019678596,0.369286802610686
D5,2020-2021,HC,1.0,0.524564350974702,0.223573294890212,-0.190397172701193
THM,2018-2019,HM,0.0,0.222575445706874,-0.08645567098174,-0.011080010012042
D9,2017-2018,HC,1.0,0.348691735642708,-0.176821484957736,0.051625533280307
OHC,2017-2018,HC,1.0,0.303675115348409,-0.25029588711795,-0.154702566625711
NHC,2017-2018,HC,1.0,0.315231137680219,-0.198105733446176,0.122548350788019
BLM,2020-2021,LM,0.0,0.23310742283259,0.27766257770502,0.08865665705871
HLC,2019-2020,LC,0.0,0.0140377176777511,0.016723293118889,0.0417173791496108
GLC,2018-2019,LC,0.0,0.470060093476918,-0.17907996036288,-0.103210524101547
FLC,2019-2020,LC,0.0,0.179919683947098,-0.21937562159742,-0.028513213917968
TLM,2018-2019,LM,0.0,0.220096411687367,0.02168324772914,0.220166381387909
ALM,2019-2020,LM,0.0,0.284510508150029,-0.0423256780772399,-0.129243514002791
NHM,2020-2021,HM,0.0,0.188062200458791,-0.107076261927299,0.124952934352723
DLC,2017-2018,LC,0.0,0.236264234723657,-0.694438496842298,-0.183730168999723
AHM,2020-2021,HM,0.0,0.104119590258032,0.17093858810622,0.416961146246696
JLM,2020-2021,LM,0.0,0.507323070653315,0.06435940371994,-0.365024478825204
JHM,2020-2021,HM,0.0,0.290740041150513,-0.050334795548941,-0.101501637273381
NHC,2017-2018,HC,1.0,0.386823726906152,0.07904059931894,-0.208939934980072
DLM,2017-2018,LM,0.0,0.0941414243760191,0.015921444567175,-0.049398293525657
D9,2018-2019,HC,1.0,0.191864704841364,0.07706664290671,0.113823278722453
NHC,2020-2021,HC,1.0,0.174961956354497,0.0664020721967281,-0.107234345025124
GHC,2018-2019,HC,1.0,0.332517639508735,-0.0339204225518002,0.304196946699532
D2,2020-2021,HC,1.0,0.168402475641765,0.2397976873135,0.13220755979594
NLC,2017-2018,LC,0.0,0.241804597216429,-0.074000928100873,-0.082457657672165
BHC,2018-2019,HC,1.0,0.217545069257044,0.00897090942179002,0.112026237523614
D9,2017-2018,HC,1.0,0.103352083816983,-0.034236327180745,0.258901783382108
D9,2017-2018,HC,1.0,0.205964646821095,0.0831237720133919,0.018415179092029
SHC,2019-2020,HC,1.0,0.337662733470717,0.01234500803199,-0.120196927137602
BLM,2019-2020,LM,0.0,0.0906224568764128,0.125729003197782,0.123650412870871
GLM,2017-2018,LM,0.0,0.205408830469291,0.148723672448878,0.244357353629685
FLM,2019-2020,LM,0.0,0.24582948759838,-0.135970107684017,0.103407009715946
D8,2017-2018,HC,1.0,0.311719628448217,0.083069249567781,-0.132204589406787
FHM,2018-2019,HM,0.0,0.285875351999121,0.11831911775918,-0.096234879300197
AHC,2019-2020,HC,1.0,-0.00315237518825739,0.15909415795741,0.206400284061261
AHC,2018-2019,HC,1.0,0.253414209231174,0.0408515407779,-0.153434319942367
OLM,2017-2018,LM,0.0,0.339495480407169,-0.53573112643077,-0.215847635235149
