plot,block,years,r2_delay,r2_reduction,slope_delay,slope_reduction,tree_growth,parasitism_rate,virus_infection_rate
B1,B,2018-2019,0.089,0.189,-0.548,0.403,,,
BHC,B,2018-2019,0.007,0.056,-0.153,0.247,,0.05,0.3
BHM,B,2018-2019,0.128,0.126,-0.602,0.335,,0.055,0.6
BLC,B,2018-2019,0.116,0.143,-0.569,0.336,,0.164,0.0
BLM,B,2018-2019,0.004,0.058,-0.12,0.244,,0.053,0.1
D1,D,2018-2019,0.079,0.06,-0.477,0.243,,,
D10,D,2018-2019,-0.007,0.025,0.043,0.197,,,
D2,D,2018-2019,0.029,0.044,-0.232,0.265,,,
D3,D,2018-2019,-0.02,-0.003,0.072,0.161,,,
D4,D,2018-2019,0.064,0.041,-0.458,0.19,,,
D5,D,2018-2019,0.097,0.182,-0.465,0.419,,,
D6,D,2018-2019,0.065,0.234,-0.357,0.637,,,
D7,D,2018-2019,0.049,0.104,-0.392,0.277,,,
D8,D,2018-2019,0.097,0.083,-0.508,0.247,,,
D9,D,2018-2019,0.021,0.021,-0.244,0.134,,,
DHC,D,2018-2019,0.084,0.107,-0.444,0.309,,0.097,0.0
DHM,D,2018-2019,-0.003,-0.002,-0.042,-0.032,,0.182,
DLC,D,2018-2019,0.061,0.044,-0.396,0.181,,0.147,
DLM,D,2018-2019,0.007,0.025,-0.14,0.157,,0.0,
F1,F,2018-2019,0.038,0.067,-0.327,0.264,,,
FHC,F,2018-2019,0.108,0.107,-0.573,0.29,,0.092,0.2
FHM,F,2018-2019,0.061,0.097,-0.414,0.259,,0.118,0.2
FLC,F,2018-2019,-0.001,0.094,-0.087,0.221,,0.069,0.1
FLM,F,2018-2019,0.021,0.062,-0.268,0.23,,0.059,
GHC,G,2018-2019,0.055,0.103,-0.355,0.311,,0.139,0.1
GHM,G,2018-2019,0.038,0.073,-0.249,0.288,,0.039,0.5
GLC,G,2018-2019,0.088,0.101,-0.454,0.286,,0.125,0.0
GLM,G,2018-2019,0.041,0.038,-0.291,0.197,,0.064,
HHC,H,2018-2019,0.006,0.107,-0.148,0.292,,0.1,0.2
HHM,H,2018-2019,0.05,0.152,-0.352,0.35,,0.023,0.5
HLC,H,2018-2019,0.101,0.126,-0.441,0.374,,0.136,0.0
HLM,H,2018-2019,0.082,0.014,-0.405,0.129,,0.073,
JHC,J,2018-2019,0.035,0.097,-0.249,0.377,,0.155,0.2
JHM,J,2018-2019,0.008,0.048,-0.178,0.184,,0.048,
JLC,J,2018-2019,0.048,0.081,-0.448,0.234,,0.059,0.0
JLM,J,2018-2019,0.051,0.05,-0.43,0.163,,0.094,
MHC,M,2018-2019,0.097,0.073,-0.495,0.255,,0.067,0.1
MHM,M,2018-2019,0.059,0.083,-0.348,0.291,,0.13,0.2
MLC,M,2018-2019,0.047,0.151,-0.384,0.345,,0.17,0.0
MLM,M,2018-2019,0.057,0.07,-0.427,0.205,,0.026,
NHC,N,2018-2019,0.073,0.142,-0.488,0.355,,0.089,0.0
NHM,N,2018-2019,0.065,0.071,-0.372,0.269,,0.047,0.1
NLC,N,2018-2019,0.017,0.058,-0.232,0.194,,0.158,0.0
NLM,N,2018-2019,0.025,0.083,-0.291,0.247,,0.157,0.0
OHC,O,2018-2019,0.035,0.082,-0.294,0.254,,0.047,0.5
OHM,O,2018-2019,0.048,0.05,-0.306,0.23,,0.05,0.1
OLC,O,2018-2019,0.01,0.029,-0.178,0.14,,0.106,
OLM,O,2018-2019,0.076,0.068,-0.379,0.249,,0.098,
SHC,S,2018-2019,0.058,0.129,-0.391,0.338,,0.074,0.0
SHM,S,2018-2019,0.032,0.027,-0.315,0.134,,0.133,
SLC,S,2018-2019,0.069,0.078,-0.478,0.262,,0.151,
SLM,S,2018-2019,0.041,0.083,-0.36,0.237,,0.127,
THC,T,2018-2019,0.073,0.125,-0.415,0.294,,0.199,0.2
THM,T,2018-2019,0.028,0.03,-0.251,0.162,,0.159,
TLC,T,2018-2019,0.065,0.084,-0.406,0.268,,0.166,0.0
TLM,T,2018-2019,0.015,0.036,-0.22,0.167,,0.259,
AHC,A,2019-2020,0.029,0.048,-0.275,0.198,0.003394,0.098,0.1
AHM,A,2019-2020,0.005,0.023,-0.114,0.157,0.003819,0.143,0.11
ALC,A,2019-2020,0.0,0.003,-0.081,0.063,0.00253,0.051,
ALM,A,2019-2020,0.005,0.043,-0.147,0.192,0.002745,0.5,
B1,B,2019-2020,-0.003,0.051,-0.055,0.23,,,
BHC,B,2019-2020,0.09,0.14,-0.39,0.419,0.0004,0.037,0.2
BHM,B,2019-2020,0.007,0.116,-0.139,0.327,0.002412,0.0,0.0
BLC,B,2019-2020,0.052,0.049,-0.389,0.191,0.003116,0.136,
BLM,B,2019-2020,0.025,0.092,-0.249,0.282,0.002956,0.167,
D1,D,2019-2020,0.039,0.086,-0.269,0.288,,,
D10,D,2019-2020,0.039,0.055,-0.32,0.232,,,
D2,D,2019-2020,-0.004,-0.015,0.132,-0.023,,,
D3,D,2019-2020,0.322,0.321,-0.809,0.719,,,
D4,D,2019-2020,0.002,0.033,-0.089,0.207,,,
D5,D,2019-2020,0.169,0.122,-0.74,0.265,,,
D6,D,2019-2020,0.032,0.172,-0.261,0.414,,,
D7,D,2019-2020,0.029,0.06,-0.272,0.229,,,
D8,D,2019-2020,0.036,0.046,-0.325,0.18,,,
D9,D,2019-2020,0.051,0.097,-0.287,0.334,,,
DHC,D,2019-2020,0.073,0.065,-0.423,0.22,0.001741,0.151,0.6
DHM,D,2019-2020,-0.001,-0.001,0.086,0.045,0.003304,0.0,
DLC,D,2019-2020,0.0,0.048,-0.075,0.173,0.00131,0.13,0.0
DLM,D,2019-2020,0.02,0.05,-0.277,0.188,0.002886,0.2,
F1,F,2019-2020,0.028,0.014,-0.259,0.116,,,
FHC,F,2019-2020,0.022,0.049,-0.215,0.209,0.001752,0.254,0.2
FHM,F,2019-2020,0.008,0.017,-0.168,0.123,0.002092,0.0,
FLC,F,2019-2020,0.168,0.118,-0.63,0.301,0.002305,0.216,0.5
FLM,F,2019-2020,0.039,0.019,-0.345,0.121,0.00251,0.189,
GHC,G,2019-2020,0.048,0.072,-0.31,0.265,0.002676,0.305,0.0
GHM,G,2019-2020,0.025,0.039,-0.257,0.177,0.003047,0.189,
GLC,G,2019-2020,0.021,0.049,-0.231,0.211,0.002071,0.181,0.0
GLM,G,2019-2020,0.032,0.053,-0.3,0.199,0.003143,0.244,
HHC,H,2019-2020,0.011,0.031,-0.186,0.161,0.001897,0.092,
HHM,H,2019-2020,0.04,0.058,-0.332,0.21,0.003297,0.167,
HLC,H,2019-2020,0.033,0.077,-0.274,0.297,0.005346,0.133,0.0
HLM,H,2019-2020,-0.005,-0.005,0.011,0.001,0.00315,0.22,
JHC,J,2019-2020,-0.002,0.025,-0.062,0.188,0.001676,0.221,0.23
JHM,J,2019-2020,0.033,0.07,-0.334,0.215,0.00332,0.32,
JLC,J,2019-2020,0.091,0.058,-0.455,0.229,0.004969,0.078,0.07
JLM,J,2019-2020,0.0,0.004,-0.055,0.061,0.003714,0.154,
MHC,M,2019-2020,0.011,0.057,-0.181,0.201,0.001402,0.257,
MHM,M,2019-2020,0.024,0.102,-0.246,0.287,0.002736,0.167,
MLC,M,2019-2020,0.043,0.087,-0.313,0.258,0.001753,0.061,
MLM,M,2019-2020,0.023,0.056,-0.235,0.231,0.003408,0.1,
NHC,N,2019-2020,0.108,0.161,-0.513,0.361,0.002221,0.134,0.9
NHM,N,2019-2020,0.005,0.028,-0.139,0.138,0.002,0.056,
NLC,N,2019-2020,0.046,0.051,-0.355,0.196,0.001959,0.279,0.5
NLM,N,2019-2020,0.077,0.065,-0.425,0.243,0.001907,0.096,
OHC,O,2019-2020,0.02,0.03,-0.232,0.147,0.00249,0.333,0.8
OHM,O,2019-2020,0.013,0.043,-0.214,0.186,0.002922,0.125,
OLC,O,2019-2020,0.04,0.047,-0.317,0.192,0.003739,0.085,0.4
OLM,O,2019-2020,0.002,0.024,-0.089,0.149,0.00282,0.0,
SHC,S,2019-2020,0.08,0.158,-0.462,0.336,0.002541,0.151,0.7
SHM,S,2019-2020,0.03,0.046,-0.294,0.192,0.002791,0.156,
SLC,S,2019-2020,0.021,0.043,-0.199,0.211,0.00494,0.063,0.5
SLM,S,2019-2020,0.084,0.105,-0.518,0.272,0.004112,0.37,
THC,T,2019-2020,0.075,0.109,-0.508,0.259,,0.186,
THM,T,2019-2020,0.001,0.078,-0.099,0.246,,0.19,
TLC,T,2019-2020,-0.001,0.043,-0.074,0.162,,0.167,
TLM,T,2019-2020,0.011,0.024,-0.178,0.157,,0.123,
AHC,A,2020-2021,0.025,0.038,-0.241,0.173,0.007082,0.103,
AHM,A,2020-2021,0.03,0.084,-0.29,0.244,0.006193,0.25,
ALC,A,2020-2021,0.002,0.033,-0.101,0.155,0.004657,0.0,
ALM,A,2020-2021,0.03,0.057,-0.274,0.229,0.004684,0.045,
B1,B,2020-2021,0.151,0.108,-0.609,0.303,,,
BHC,B,2020-2021,0.07,0.143,-0.398,0.347,0.0025,0.0,
BHM,B,2020-2021,0.04,0.046,-0.29,0.208,0.004634,0.0,
BLC,B,2020-2021,0.002,-0.002,0.104,0.03,0.004471,0.111,
BLM,B,2020-2021,0.079,0.042,-0.438,0.182,0.003574,0.0,
D1,D,2020-2021,0.129,0.141,-0.61,0.315,,,
D10,D,2020-2021,0.131,0.108,-0.524,0.305,,,
D2,D,2020-2021,-0.012,0.016,0.114,0.151,,,
D3,D,2020-2021,-0.006,0.05,-0.14,0.404,,,
D4,D,2020-2021,0.042,0.064,-0.347,0.214,,,
D5,D,2020-2021,0.008,0.035,-0.172,0.166,,,
D6,D,2020-2021,0.203,0.182,-0.567,0.468,,,
D7,D,2020-2021,0.068,0.147,-0.429,0.361,,,
D8,D,2020-2021,0.033,0.046,-0.311,0.171,,,
D9,D,2020-2021,0.024,0.077,-0.222,0.268,,,
DHC,D,2020-2021,-0.002,0.018,0.024,0.122,0.00353,0.034,
DHM,D,2020-2021,0.04,0.059,-0.338,0.248,0.005881,0.19,
DLC,D,2020-2021,0.019,0.025,-0.225,0.148,0.003918,0.0,
DLM,D,2020-2021,0.001,0.023,-0.082,0.147,0.003852,0.0,
F1,F,2020-2021,0.0,0.014,-0.095,0.109,,,
FHC,F,2020-2021,0.062,0.053,-0.451,0.194,0.00473,0.091,
FHM,F,2020-2021,0.06,0.095,-0.372,0.295,0.004517,0.105,
FLC,F,2020-2021,0.036,0.12,-0.305,0.309,0.004549,0.0,
FLM,F,2020-2021,0.015,0.101,-0.249,0.235,0.003952,0.037,
GHC,G,2020-2021,0.003,0.036,-0.127,0.128,0.004757,0.125,
GHM,G,2020-2021,0.017,0.039,-0.233,0.153,0.006135,0.079,
GLC,G,2020-2021,0.017,0.078,-0.199,0.253,0.004169,0.067,
GLM,G,2020-2021,0.038,0.083,-0.31,0.255,0.005118,0.071,
HHC,H,2020-2021,0.034,0.071,-0.322,0.24,0.004633,0.063,
HHM,H,2020-2021,0.03,0.074,-0.257,0.263,0.004806,0.053,
HLC,H,2020-2021,0.009,0.02,-0.171,0.129,0.006189,0.1,
HLM,H,2020-2021,-0.002,0.008,-0.079,0.094,0.005359,0.152,
JHC,J,2020-2021,-0.004,0.029,-0.044,0.16,0.003875,0.047,
JHM,J,2020-2021,0.004,0.035,-0.136,0.157,0.006318,0.0,
JLC,J,2020-2021,0.05,0.093,-0.37,0.271,0.009961,0.1,
JLM,J,2020-2021,0.013,0.039,-0.185,0.183,0.007157,0.25,
MHC,M,2020-2021,0.025,0.057,-0.258,0.195,0.001912,0.057,
MHM,M,2020-2021,0.096,0.107,-0.535,0.277,0.004236,0.0,
MLC,M,2020-2021,0.072,0.042,-0.385,0.197,0.003205,0.018,
MLM,M,2020-2021,0.025,0.049,-0.253,0.205,0.004639,0.123,
NHC,N,2020-2021,0.081,0.091,-0.428,0.29,0.003543,0.057,
NHM,N,2020-2021,0.033,0.074,-0.325,0.208,0.004455,0.085,
NLC,N,2020-2021,-0.001,0.001,-0.055,0.047,0.003271,0.087,
NLM,N,2020-2021,0.002,0.002,0.1,0.057,0.003354,0.083,
OHC,O,2020-2021,0.023,0.045,-0.247,0.194,0.003177,0.143,
OHM,O,2020-2021,0.003,0.031,-0.112,0.149,0.004727,0.091,
OLC,O,2020-2021,0.012,0.049,-0.184,0.212,0.004816,0.071,
OLM,O,2020-2021,0.02,0.06,-0.232,0.222,0.003589,0.0,
SHC,S,2020-2021,0.034,0.026,-0.338,0.143,0.00358,0.085,
SHM,S,2020-2021,0.064,0.07,-0.396,0.253,0.004702,0.176,
SLC,S,2020-2021,0.006,0.007,-0.15,0.072,0.007586,0.042,
SLM,S,2020-2021,0.093,0.129,-0.453,0.33,0.005975,0.054,
THC,T,2020-2021,0.0,0.007,-0.09,0.076,,0.063,
THM,T,2020-2021,0.075,0.082,-0.406,0.236,,0.175,
TLC,T,2020-2021,0.105,0.166,-0.634,0.291,,0.073,
TLM,T,2020-2021,0.027,0.069,-0.29,0.222,,0.052,
