modelo,familia,params,tokens_entrenamiento,alineacion,exact_match,perf_global,arc_c,arc_e,boolq,csqa,hellaswag,openbookqa,piqa,winogrande
pythia_6b9_32000s,pythia,6857302016,67108864000.0,0.5131006728421357,0.4357142857142856,0.4539567940844533,0.2619453924914676,0.5989057239057239,0.5055045871559632,0.4324324324324324,0.3881696873132842,0.184,0.719260065288357,0.5414364640883977
opt_1b3,opt,1418715136,180000000000.0,0.511522229093238,0.3359838274932614,0.4572837437924953,0.2448805460750853,0.5669191919191919,0.6058103975535168,0.4217854217854218,0.3856801433977295,0.156,0.7089227421109902,0.5682715074980268
pythia_2b8,pythia,2775208960,299892736000.0,0.5103843911532897,0.5171159029649596,0.4879657622880584,0.2977815699658703,0.6359427609427609,0.6051987767584098,0.4357084357084357,0.4142601075482972,0.21,0.7334058759521219,0.5714285714285714
opt_2b7,opt,2780293120,180000000000.0,0.5103612534626748,0.4673854447439353,0.4823776015944586,0.2585324232081911,0.6031144781144782,0.6314984709480123,0.4275184275184275,0.4194383588926508,0.19,0.7377584330794341,0.5911602209944752
olmo1v7_7b,olmo,6888095744,2500000000000.0,0.5054469183508403,0.7002695417789757,0.6082269423176727,0.409556313993174,0.7377946127946128,0.7525993883792049,0.6838656838656839,0.5425214100776737,0.316,0.7731229597388466,0.6503551696921863
pythia_6b9_16000s,pythia,6857302016,33554432000.0,0.4985086515779087,0.3223719676549865,0.4357303145958697,0.2397610921501706,0.5664983164983165,0.5648318042813456,0.3849303849303849,0.3525194184425413,0.16,0.6877040261153428,0.5295974743488555
olmo1v7_7b_301b,olmo,6888095744,301000000000.0,0.4961808844549349,0.5823450134770889,0.5273517646589594,0.3191126279863481,0.6586700336700336,0.6422018348623854,0.5487305487305487,0.4563831905994822,0.254,0.7540805223068553,0.585635359116022
pythia_6b9_24000s,pythia,6857302016,50331648000.0,0.4943433949467134,0.4026954177897573,0.4512662069117806,0.2508532423208191,0.5909090909090909,0.5406727828746177,0.4193284193284193,0.3716391157140012,0.184,0.7089227421109902,0.5438042620363063
pythia_410m,pythia,405334016,299892736000.0,0.4760020377971108,0.237466307277628,0.4161237919360023,0.2030716723549488,0.515993265993266,0.599388379204893,0.3374283374283374,0.328918542123083,0.148,0.6697497279651795,0.526440410418311
olmo1v7_7b_150b,olmo,6888095744,150000000000.0,0.4749885695257763,0.4547169811320755,0.4918607574163579,0.2824232081911262,0.6047979797979798,0.6302752293577981,0.5126945126945127,0.4173471420035849,0.206,0.7312295973884657,0.5501183898973955
opt_350m,opt,356935680,180000000000.0,0.4730882373815796,0.070754716981132,0.3943737873735691,0.2081911262798634,0.4532828282828283,0.553822629969419,0.3161343161343161,0.3100975901214897,0.142,0.6458106637649619,0.5256511444356748
pythia_6b9_8000s,pythia,6857302016,16777216000.0,0.4699249067594662,0.17911051212938,0.3894802585762947,0.2030716723549488,0.5130471380471381,0.445565749235474,0.3251433251433251,0.3142800238996215,0.146,0.6588683351468988,0.5098658247829518
olmo1v7_7b_1802b,olmo,6888095744,1802000000000.0,0.466767975780213,0.6762803234501348,0.5815995310832484,0.3754266211604095,0.7281144781144782,0.6960244648318042,0.6527436527436528,0.507966540529775,0.294,0.7742110990206746,0.6243093922651933
olmo1v7_7b_1203b,olmo,6888095744,1203000000000.0,0.4478336757066179,0.644743935309973,0.5783948444452748,0.3617747440273037,0.7196969696969697,0.7030581039755351,0.6273546273546273,0.5131447918741286,0.298,0.7687704026115343,0.6353591160220995
olmo1v7_7b_83b,olmo,6888095744,83000000000.0,0.4472411288729761,0.2946091644204852,0.4504754322460246,0.2542662116040955,0.54503367003367,0.5737003058103975,0.4545454545454545,0.3748257319259112,0.16,0.7094668117519043,0.531965272296764
pythia_160m,pythia,162322944,299892736000.0,0.4232769701486,0.0778975741239892,0.3767942995163398,0.2039249146757679,0.4364478114478115,0.5856269113149847,0.2547092547092547,0.2827126070503883,0.13,0.6213275299238302,0.4996053670086819
pythia_6b9_4000s,pythia,6857302016,8388608000.0,0.3934947015095779,0.0680592991913746,0.3917527067108686,0.1988054607508532,0.4701178451178451,0.5908256880733945,0.2915642915642916,0.2892850029874527,0.128,0.6381936887921654,0.5272296764009471
olmo1v7_7b_41b,olmo,6888095744,41000000000.0,0.3745305881748157,0.1336927223719676,0.3916689326536101,0.2090443686006826,0.4802188552188552,0.4565749235474006,0.3423423423423423,0.3263294164509062,0.126,0.6719260065288357,0.5209155485398579
olmo_1b,olmo,1279787008,3000000000000.0,0.3627075527985018,0.5123989218328842,0.4819189957653769,0.2858361774744027,0.6334175084175084,0.5740061162079511,0.4348894348894349,0.4339772953594901,0.186,0.7421109902067464,0.5651144435674822
pythia_6b9_2000s,pythia,6857302016,4194304000.0,0.3519544188349746,0.0063342318059299,0.3552189884049199,0.1774744027303754,0.3741582491582491,0.5963302752293578,0.2096642096642096,0.2694682334196375,0.112,0.5935799782372143,0.5090765588003157
olmo1v7_7b_20b,olmo,6888095744,20000000000.0,0.3114515612975867,0.0312668463611859,0.3743673873619207,0.1988054607508532,0.4242424242424242,0.518960244648318,0.2989352989352989,0.2898824935271858,0.124,0.6365614798694232,0.5035516969218626
pythia_70m,pythia,70426624,299892736000.0,0.2420384906627267,0.003099730458221,0.3549834214011442,0.1552901023890785,0.3834175084175084,0.5972477064220183,0.2244062244062244,0.2642899820752838,0.114,0.5897714907508161,0.5114443567482242
pythia_6b9_1000s,pythia,6857302016,2097152000.0,0.1628133679639544,0.0001347708894878,0.3091236421257762,0.1860068259385665,0.3017676767676767,0.3810397553516819,0.1818181818181818,0.2620991834295957,0.114,0.5505984766050055,0.4956590370955012
olmo1v7_7b_4b,olmo,6888095744,4000000000.0,0.1279805834315342,0.0,0.314106639681032,0.1834470989761092,0.287037037037037,0.4244648318042813,0.1777231777231777,0.2609042023501294,0.11,0.5625680087051143,0.5067087608524072
pythia_6b9_512s,pythia,6857302016,1073741824.0,0.0197962014265003,0.0,0.3090423914590596,0.174914675767918,0.2760942760942761,0.391743119266055,0.171990171990172,0.2644891455885282,0.154,0.5331882480957563,0.5059194948697711
pythia_6b9_256s,pythia,6857302016,536870912.0,-0.0058839247823482,0.0,0.303149297145574,0.2098976109215017,0.2752525252525252,0.3785932721712538,0.158067158067158,0.2606054570802629,0.12,0.5326441784548422,0.4901341752170481
