anatomy,finding,center_a_auc,center_b_auc,center_c_auc,center_d_auc,center_e_auc,center_f_auc,center_g_auc,center_h_auc
Gallbladder,Extrahepatic bile duct stone,0.881,0.93,0.872,0.919,,0.902,0.868,0.873
Gallbladder,Extrahepatic bile duct wall thickening,0.799,0.961,0.857,,,0.836,0.865,0.96
Gallbladder,Adenomyomatosis,0.948,0.943,0.917,0.91,,0.869,0.927,
Gallbladder,Cholangitis,0.928,,,,,,0.95,0.805
Gallbladder,Distention,0.843,0.799,0.875,0.821,0.839,0.793,0.755,
Portal vein,Thrombosis,0.97,0.973,0.981,,0.963,0.993,0.972,0.978
Portal vein,Dilatation,0.881,0.982,0.93,,,0.95,0.946,0.944
Portal vein,Hypertension,0.874,,0.839,0.912,0.659,0.85,0.844,0.869
Pancreas,Pancreatic duct calculus,,,,,,,0.971,
Pancreas,Blurring of peripancreatic fat planes,0.977,0.934,0.963,0.966,0.974,0.962,0.964,0.894
Pancreas,Pancreatitis,0.987,0.975,0.958,0.965,,0.97,0.953,0.979
Pancreas,Atrophy,0.922,0.934,0.93,0.97,0.966,0.946,0.944,0.858
Pancreas,Pancreatic cancer,0.953,0.934,0.94,0.909,0.989,0.956,0.914,0.952
Pancreas,Peripancreatic pseudocyst,,,0.943,,,0.926,0.996,
Pancreas,Pancreatic duct dilatation,0.943,0.897,0.92,0.87,0.887,0.906,0.901,0.875
Pancreas,Enlargement,0.94,0.96,0.917,0.912,0.914,0.924,0.915,0.934
Pancreas,Cyst,0.875,0.886,0.885,0.896,0.948,0.951,0.875,0.826
Pancreas,Low-density lesion,0.905,0.906,0.881,0.885,0.95,0.915,0.843,0.795
Spleen,Calcification,0.949,0.969,0.959,0.979,,0.923,0.922,0.928
Spleen,Infarction,0.953,,0.975,,,0.951,0.967,0.83
Spleen,Splenomegaly,0.947,0.969,0.964,0.92,0.94,0.96,0.908,0.946
Spleen,Hypoattenuating lesion,0.956,0.95,0.949,0.948,0.966,0.94,0.912,0.827
Spleen,Cyst,0.986,0.988,0.94,,0.973,0.95,0.845,0.904
Spleen,Accessory spleen,0.951,0.966,0.907,,0.946,0.926,0.926,0.9
Spleen,Patchy hypoattenuating lesion,0.948,0.921,0.925,0.915,0.938,0.924,0.892,0.848
Spleen,Lymphoma,,,0.992,,,,,
Stomach,Gastric fundal varices,0.991,0.998,0.985,,,0.993,0.985,0.976
Stomach,Gastric cancer,0.956,0.987,0.952,0.912,0.975,0.908,0.941,0.899
Stomach,Wall edema,0.951,,0.8,,,0.629,0.84,
Stomach,Dilatation,,,0.689,,,,0.74,0.989
Stomach,Gastrointestinal stromal tumor (GIST),0.988,0.882,0.946,,,1.0,0.889,0.91
Stomach,Ulcer,,0.857,0.901,,,0.924,0.849,
Duodenum,Diverticulum,0.953,0.974,0.974,0.92,,0.908,0.973,0.974
Duodenum,Saccular outpouching,0.956,0.962,0.965,0.915,,0.908,0.966,0.981
Duodenum,Ulcer,,,,,,,,
Duodenum,Obstruction,,,,,,,0.837,
Duodenum,Mass,,,0.784,,,0.991,0.791,0.862
Small bowel,Obstruction,0.913,0.942,0.87,0.921,0.988,0.91,0.981,0.949
Small bowel,Gas and fluid accumulation,0.811,0.871,0.885,0.907,0.914,0.791,0.91,0.896
Small bowel,Intussusception,,,,,,,0.841,
Small bowel,Dilatation,0.785,0.868,0.859,0.923,0.953,0.893,0.933,0.864
Small bowel,Wall thickening,0.857,0.889,0.898,0.779,0.919,0.807,0.909,0.781
Small bowel,Mesenteric lymphadenopathy,0.956,0.858,0.835,,,0.841,0.837,
Small bowel,Volvulus,0.942,,0.932,,,,0.96,0.951
Small bowel,Mesenteric panniculitis,0.918,0.768,0.839,0.977,,0.793,0.763,
Small bowel,Crohn's disease,,,0.739,,,,,
Small bowel,Gastrointestinal stromal tumor,,,0.88,,,,0.667,
Small bowel,Lymphoma,,,,,,,,
Small bowel,Lipoma,,,0.813,,,0.779,0.64,
Small bowel,Enteritis,0.716,,0.642,,0.75,0.518,0.702,
Large bowel,Rectal cancer,0.927,0.958,0.965,0.981,0.909,0.963,0.952,0.987
Large bowel,Perforation,0.817,0.852,0.897,,,0.984,0.887,
Large bowel,Obstruction,0.9,,0.825,0.943,0.967,0.898,0.969,0.906
Large bowel,Colon cancer,0.953,0.961,0.932,0.905,0.96,0.932,0.967,0.951
Large bowel,Crohn's disease,,,0.814,,,,,
Large bowel,Intussusception,0.924,,0.948,,,,0.955,
Large bowel,Ulcerative colitis,,,,,,,,
Large bowel,Dilatation,0.805,0.972,0.904,0.914,0.837,0.862,0.905,0.854
Large bowel,Mural calcification,0.937,,0.917,,,0.889,0.845,
Large bowel,Wall edema,0.954,0.94,0.863,0.835,0.932,0.875,0.912,0.778
Large bowel,Colitis,0.65,0.74,0.759,0.854,,0.773,0.813,
Large bowel,Diverticulum,0.935,0.871,0.878,0.836,,0.856,0.876,0.911
Large bowel,Gas and fluid accumulation,0.758,0.804,0.901,0.762,,0.802,0.9,0.895
Large bowel,Serosal surface irregularity,0.694,0.881,0.854,,,0.882,0.862,0.868
Large bowel,Wall irregularity,0.735,0.905,0.824,,,0.82,0.878,0.843
Large bowel,Appendicitis,0.906,0.884,0.811,0.886,,0.837,0.887,0.861
Large bowel,Blurring of fat planes,0.849,0.78,0.823,0.889,,0.752,0.8,
Large bowel,Appendicolith,0.787,,0.647,,,0.62,0.683,
Adrenal gland,Metastasis,0.997,,0.995,,,0.983,0.975,0.937
Adrenal gland,Adenoma,0.981,0.974,0.946,,0.816,0.864,0.924,0.866
Adrenal gland,Calcification,0.986,,0.986,,,0.948,0.939,
Adrenal gland,Lipoma,,,0.905,,,,0.991,
Adrenal gland,Nodule,0.882,0.961,0.913,,0.701,0.839,0.898,0.771
Adrenal gland,Hyperplasia,0.863,0.88,0.899,,0.873,0.832,0.837,
Kidney,Renal pelvic cancer,,,,,,,,
Kidney,Polycystic kidney disease,0.98,,,,,,0.917,
Kidney,Atrophy,0.969,0.991,0.976,0.925,0.97,0.986,0.941,0.858
Kidney,Nephrolithiasis,0.908,0.895,0.907,0.908,0.836,0.857,0.809,0.803
Kidney,Hydronephrosis,0.954,0.932,0.952,0.93,0.972,0.947,0.887,0.911
Kidney,Renal pelvic dilatation,0.964,0.937,0.939,0.961,0.966,0.98,0.889,0.892
Kidney,Renal artery aneurysm,,,0.956,,,,0.729,
Kidney,Cyst,0.927,0.88,0.909,0.921,0.843,0.889,0.864,0.828
Kidney,Hypoattenuating lesion,0.866,0.858,0.883,0.915,0.823,0.845,0.804,0.819
Kidney,Parenchymal thinning,0.983,,,,,,0.88,0.783
Kidney,Hyperattenuating lesion,0.823,0.812,0.829,0.881,0.799,0.787,0.741,
Kidney,Renal cell carcinoma,0.792,,0.819,0.947,0.924,0.812,0.799,0.879
Kidney,Angiomyolipoma,0.761,0.695,0.801,,0.734,0.708,0.691,
Kidney,Nonenhancing cystic lesion,0.806,0.794,0.739,0.863,0.752,0.669,0.694,
Sacrum,Osteitis,0.962,,0.862,,,0.893,0.927,
Bladder,Stone,0.998,0.948,0.938,,0.921,0.953,0.948,0.931
Bladder,Bladder cancer,0.973,,0.993,0.981,,,,
Bladder,Soft-tissue attenuation lesion,,,,,,,0.886,
Bladder,Diverticulum,0.894,0.968,0.951,0.984,0.997,0.842,0.946,0.896
Bladder,Wall irregularity,,,0.808,,,0.89,0.878,
Bladder,Cystitis,,,0.826,0.859,,0.71,0.822,
Esophagus,Varices,0.996,0.997,0.995,,,0.998,0.996,0.942
Esophagus,Dilated and tortuous veins,0.997,0.997,0.996,,,0.997,0.996,0.954
Esophagus,Dilated and tortuous tubular opacities,0.997,0.997,0.996,,,0.997,0.996,0.937
Esophagus,Hiatal hernia,0.997,,0.986,,,0.987,0.965,0.819
Esophagus,Wall thickening,0.921,,0.908,,0.806,0.896,0.857,0.828
Lung,Metastasis,0.999,,0.997,,0.988,,0.95,0.891
Lung,Atelectasis,0.994,,0.963,,,0.936,0.903,0.816
Lung,Pulmonary collapse,0.837,,0.966,,,0.919,0.903,0.823
Lung,Pleural effusion,0.979,0.961,0.977,0.988,0.962,0.923,0.941,0.851
Lung,Pneumothorax,,,,,,,0.915,0.871
Lung,Patchy opacity,0.947,0.877,0.942,,0.878,0.744,0.859,
Lung,Nodule,0.968,0.767,0.869,,0.875,0.859,0.836,0.747
Lung,Calcification,,,0.947,,,0.688,0.748,
Lung,Hyperattenuating opacity,0.885,0.76,0.861,0.871,0.902,0.729,0.769,
Lung,Mass,0.967,0.807,0.918,,0.895,0.824,0.825,
Heart,Cardiomegaly,0.991,,0.873,,0.94,0.842,0.78,0.78
Heart,Pericardial effusion,0.977,0.99,0.981,,0.98,0.936,0.91,0.749
Aorta,Aortic aneurysm,0.863,,0.908,,,,0.816,0.937
Aorta,Aortic dissection,0.759,,0.905,,,,0.694,
Aorta,Calcification,0.828,0.87,0.798,0.831,0.776,0.771,0.772,0.743
Aorta,Atherosclerosis,0.752,,0.741,0.616,,0.757,,
Rib,Bone destruction,,,,,,,0.868,0.834
Rib,Metastasis,,,,,,,0.923,0.911
Rib,Fracture,0.814,,0.88,,,0.77,0.772,
