frecuencia_hz,sensibilidad_min_ft,sensibilidad_mediana_ft
69.745,18183.423956087263,27660.027525245838
70.245,17051.847916617553,29900.118156705445
70.745,15263.709345417241,22105.605309829596
71.245,12332.802311044976,23692.943323872078
71.745,15102.00195472191,27470.175492402734
72.245,21005.716136508006,33039.19803406717
72.745,13087.332304533305,25378.1231558624
73.245,15370.302495244961,29776.846644984074
73.745,16110.413736493214,27501.893445153757
74.245,15674.709462172235,28576.67165301831
74.745,13185.941137247264,26357.735241354218
75.245,15398.455348149377,25329.710007685462
75.745,11480.445263748381,22791.799966948736
76.245,16392.519939144448,26196.545080174117
76.745,20097.46374585986,25536.117261919975
77.245,11722.165056694254,26059.154041465023
77.745,13195.371329972575,27935.94093467165
78.245,14466.72254572844,26570.3252780018
78.745,18383.266713162076,31533.809445831652
79.245,20498.847140016398,30592.548794043163
79.745,15220.25226751323,27561.61270582107
80.245,10724.399362405899,24806.31183452437
80.745,16735.014860127347,25465.4682977738
81.245,14436.556922208509,25146.17227853545
81.745,11403.262081939218,19569.368671120064
82.245,11724.737136479627,20226.343290841854
82.745,12583.700103080108,20138.149715502634
83.245,12412.16731696442,19923.02076449878
83.745,11569.431160447222,18312.1708376444
84.245,14678.924263820256,21058.841935265897
84.745,13875.945913816877,19994.58918196026
85.245,12117.4246512575,20513.485299847234
85.745,11794.10557332953,19506.816498360025
86.245,10422.794765137325,19170.497765099262
86.745,10146.675417628436,19072.23885821383
87.245,11199.792791415517,18932.88348780141
87.745,7661.378868435679,15279.661267590132
88.245,12926.306494636478,21076.796418469916
88.745,11747.649246578327,21894.868577175446
89.245,7547.580642511528,20863.011033959257
89.745,10461.65479715415,20068.314027190045
90.245,12110.396865939343,19652.135677525934
90.745,9701.464381706768,19249.942589804275
91.245,9961.379180222033,16886.07456831893
91.745,12581.444291984684,19676.26468591907
92.245,11566.259977727503,19214.398632249853
92.745,10872.559117249559,15421.336319363665
93.245,10254.31368678513,16934.05402806372
93.745,12004.084794919598,18908.532377209056
94.245,7141.996907303173,17305.798745819295
94.745,8555.953775585725,18070.180328253893
95.245,8883.04642330088,18519.144935288175
95.745,8694.73035697178,17147.723937101764
96.245,9499.500323679187,15832.954879597828
96.745,12146.325242213916,17570.55168523133
97.245,12242.451137370757,19865.035994512844
97.745,11273.078222169392,18941.41055438639
98.245,9259.658793215875,18096.739891072983
98.745,14243.358985310193,20176.414551491034
99.245,11457.546486840609,16629.460511071768
99.745,11267.344894210066,19182.341291831173
100.245,12699.437137113426,22791.408854587757
100.745,11724.790431469442,16485.562938083785
101.245,8989.187670307787,14953.78310761811
101.745,11134.170867270981,17200.73388114348
102.245,11608.849529536854,16984.63292421509
102.745,13016.816613309005,18366.24932319777
103.245,10715.697560589064,16306.183254212563
103.745,12016.37058823234,19984.684555119667
104.245,8630.121347492226,20063.52649184505
104.745,15632.97778206952,34775.73398612905
105.245,18122.28277120561,48599.00135477814
105.745,11801.44128149367,22614.86740621004
106.245,9016.716083882211,21837.010900165275
106.745,8644.168686886273,16459.68681391099
107.245,10182.897421659207,16329.400370981632
107.745,9476.377113680257,16083.812346594183
108.245,10487.195361433623,16862.77154427844
108.745,9411.386625225154,17572.154094454534
109.245,6580.271894370644,17065.271334862995
109.745,8697.295012739323,15955.076776582053
110.245,14723.55690100474,20072.461209002384
110.745,9846.497871430387,19328.711522542795
111.245,10952.401974211072,15463.965643128962
111.745,7781.5281088419915,17114.95992226008
112.245,10334.061549844131,17666.658499227797
112.745,8483.682895063042,19423.61016354029
113.245,6714.776155836039,15459.541432838621
113.745,9107.11686098811,16842.245949908385
114.245,8333.486905570797,16315.454856898015
114.745,7724.746991728591,18841.40398529054
115.245,9175.675734205886,16053.138421421874
115.745,9835.807783737713,17526.80732910965
116.245,10127.363468605434,17774.446988882068
116.745,6802.861901823699,16569.531461715465
117.245,11555.672035249201,15732.712617697332
117.745,9256.568189939508,19666.80246752513
118.245,11605.50815759974,19175.267975157985
118.745,7738.1893238646535,15711.255779916202
119.245,11058.082551577452,17625.446441186603
119.745,9613.424863058139,18132.55391554756
120.245,12060.169010209864,20141.96331083151
120.745,9318.461113165053,17370.298746032127
121.245,11194.869694705249,18568.46325303941
121.745,7736.257381771233,16372.174197267657
122.245,11882.017352086914,16807.077184459966
122.745,10850.64168547069,17618.81076554823
123.245,12441.931633940741,17635.161118886135
123.745,8477.467933911368,16903.77775028088
124.245,9752.70371539256,19019.661827346226
124.745,8795.634945732027,19491.36941499175
125.245,8930.7299569446,18159.791707077045
125.745,7552.296531206253,17653.135291789353
126.245,9654.691498535052,19809.72250398808
126.745,11293.45400288649,19720.611592210233
127.245,13523.213399209215,19060.22102014503
127.745,17997.13156256905,24322.701823079467
128.245,14016.581922708167,26228.54343439117
128.745,19951.148065569203,36159.654949693366
129.245,16878.883822450072,41580.47424900384
129.745,33621.52919052196,61805.458378963274
130.245,29399.090134952374,56541.433675560555
130.745,36514.954317041265,60203.44053184414
131.245,27154.65062419864,42208.7827584697
131.745,20853.047166583503,31318.09641626427
132.245,11588.694959594435,23083.5089817159
132.745,14589.352437989823,19515.023979663365
133.245,11360.949944846676,20402.528747064844
133.745,10602.197875683414,19549.45020390347
134.245,10236.547958290561,18074.010458533936
134.745,9730.880779160803,15340.533595403165
135.245,9988.478582828211,16199.160754800247
135.745,10051.39202662533,16998.84476962413
136.245,10852.027683890065,15502.236925235864
136.745,7603.032096844964,13715.687123609561
137.245,10354.535771934972,16355.65752423676
137.745,11500.16280544846,15600.022980633237
138.245,9723.513781563308,15245.409100631172
138.745,8624.00710185966,14917.534499836594
139.245,6815.7697946342905,15451.61622547784
139.745,9889.262358980948,15957.411380811944
140.245,8190.932065938087,14476.91416435075
140.745,4316.090423556348,12186.090545280382
141.245,9387.653964548343,14122.989482627469
141.745,5326.279629268414,13565.894579941185
142.245,6601.506144042892,12877.901291441074
142.745,11348.284325449717,16016.38596030131
143.245,9694.24970701736,13651.300128152481
143.745,7887.119585383402,15914.366470841542
144.245,9601.47853481091,14148.46750998665
144.745,10347.48321539053,15474.557406071523
145.245,10531.365666347001,14384.715535169365
145.745,9009.599334908236,15395.254495229361
146.245,8081.862338071021,15414.224786517236
146.745,8294.831454403573,14029.475642607194
147.245,10568.156883873431,14690.485458853058
147.745,8804.720654389132,15679.763121744469
148.245,10663.089840666544,15414.742975485031
148.745,12585.496039550693,17268.893127618045
149.245,10821.038521777717,29677.337749083446
149.745,33118.7435258921,83194.98703196133
150.245,40273.93488009493,64032.42176272829
150.745,22370.84709964915,31585.846957965838
151.245,16825.70861454357,25786.479069330126
151.745,9608.685914375239,20247.46152183203
152.245,13430.552696191333,19916.72882226501
152.745,11761.413018338675,19368.407657832096
153.245,9953.21543531213,16522.529194546896
153.745,10325.2549567876,16674.966519113797
154.245,10444.046268011576,15575.460668635938
154.745,9777.06807769927,16828.15213444097
155.245,10615.409269584954,15881.650472901161
155.745,7226.918049836338,15654.097450019693
156.245,11514.750917549354,18614.390836423438
156.745,8674.187696962674,15515.274337396728
157.245,6187.036816251166,13923.154018362373
157.745,7567.044727432521,16728.625392543352
158.245,9327.277026174415,15490.67489558662
158.745,7460.362219097559,15568.33780715733
159.245,8043.904161221734,16859.859644509146
159.745,7918.547232754702,13144.44306354237
160.245,10362.27216343304,14569.390808810658
160.745,10198.970168812531,16091.562356262115
161.245,12508.95363290252,15718.390726073601
161.745,7956.958947091975,14682.579043350339
162.245,9536.344637582806,15588.884743902705
162.745,6020.821539649765,14681.96963132704
163.245,8108.167261172285,13819.409555876002
163.745,10573.68034110138,14292.259573425796
164.245,10300.181503968392,14169.33156923439
164.745,7870.619993543444,14278.01810209405
165.245,8089.862264439368,13638.773622156632
165.745,7012.545764615131,13730.003087837078
166.245,9480.74874437968,14312.009625288305
166.745,6925.514640684151,12704.528163226707
167.245,9709.446824928666,14738.616006931323
167.745,10029.776972705306,14857.664302394529
168.245,8740.154287398136,12425.456522274191
168.745,6465.779148787327,13693.069895756278
169.245,8042.284269857114,13541.42924830608
169.745,7485.2370002582065,12349.378581477093
170.245,8361.866056774174,13388.439791549175
170.745,6804.664343766259,11775.255733988579
171.245,6912.921606675207,11717.925574033372
171.745,6302.0586386505665,11746.214012935903
172.245,8937.345057399234,15018.060692751249
172.745,6191.724760961176,13359.403976780148
173.245,8620.997423063027,13495.999849553751
173.745,8092.42900457909,13201.731221968572
174.245,6790.565057043255,14133.727646060404
174.745,4732.275169811665,12950.421053262064
175.245,9154.391717183924,13336.250504924714
175.745,7877.321291426239,12129.429354731346
176.245,8627.883002969555,12763.564212445664
176.745,7720.79604108663,12046.354831353534
177.245,6786.334198058842,13119.651534588673
177.745,5992.119715343015,13770.126516238746
178.245,3462.7287057299695,11125.33995553391
178.745,5680.626065502102,12116.205217852108
179.245,6631.631289464514,12306.567931174548
179.745,6457.834351181291,12080.021928680595
180.245,8693.278706841316,13241.759063358513
180.745,6895.160321869562,12764.319526810908
181.245,7452.817918358631,12247.08210616179
181.745,6069.1833437315945,12259.56315679079
182.245,6190.993132454072,12245.011407310889
182.745,6588.464046143909,12334.99605618294
183.245,6516.841682737194,11067.380283241062
183.745,9283.236199503473,12238.739656347454
184.245,8035.31276552315,11883.479822152914
184.745,6786.427577574403,14130.031182893064
185.245,7206.118090851067,11224.982359721576
185.745,6905.972331976695,12352.399338463458
186.245,7296.790872428411,10843.29757261445
186.745,5809.034143298811,12238.718934718861
187.245,7046.500651799691,10260.783139710857
187.745,8777.515143207253,12670.614812559856
188.245,6502.326800627109,12039.536458512042
188.745,6961.354914836754,11189.733966646687
189.245,6097.347506464865,11217.513772119562
189.745,6668.522286990227,11097.51690554009
190.245,7958.344145634501,11745.936302012022
190.745,7574.859075490885,12157.379390386654
191.245,6599.434259649621,12665.065215359806
191.745,8018.7370225884415,11888.552173131242
192.245,9207.702403539084,13213.883949019288
192.745,7615.9212986120165,11630.49866809076
193.245,6672.735327254242,10878.669082656636
193.745,6728.295473621183,10540.86257702157
194.245,6332.347692567349,11452.520154827167
194.745,6358.297173413705,12184.029996878406
195.245,7881.012956315928,11291.52392564507
195.745,6314.095595656678,11389.269089146946
196.245,7999.00676417371,12479.64466461667
196.745,6547.424099053766,12169.649294999737
197.245,7912.127267961554,14180.585442855001
197.745,8430.080393595856,14317.722323633738
198.245,8674.998408078909,14052.613923394176
198.745,6696.633148465067,17581.716068454814
199.245,8731.787015810734,17840.213267146002
199.745,11106.789177668092,20842.595973689073
200.245,8931.322870947111,18754.78460530242
200.745,8610.655255609478,15708.675866090702
201.245,8094.7716058608485,16933.16365427259
201.745,8612.344840277565,14682.509483234797
202.245,6610.009531133671,13057.951037469637
202.745,7351.790464082235,12636.659292059485
203.245,7629.650844844805,13326.933066561183
203.745,7365.996917935169,12281.755206085143
204.245,8360.880003914373,13346.058028051699
204.745,7327.675730137294,11760.932311028266
205.245,6499.615044784046,11502.985291932899
205.745,4442.412195241942,10777.398666621697
206.245,6107.052704192706,10343.694075288593
206.745,8154.316316987197,12297.643369038102
207.245,6366.004365386112,10067.144906972531
207.745,6448.159677418141,11693.886546975882
208.245,5591.977752558991,9716.291428211833
208.745,5537.138552844909,9793.358697946376
209.245,6518.783972027638,12188.091263550245
209.745,7808.929088554559,10810.760674671666
210.245,5536.064455810773,10569.621971319051
210.745,5722.51610178884,10313.62973103167
211.245,6102.905247648893,10702.412379081914
211.745,5595.468694301803,10373.586257512732
212.245,4433.669795656385,9799.356460736239
212.745,4082.961271785309,9917.560396708854
213.245,4908.298800888365,9575.583375104623
213.745,3999.318817551479,9950.121340859445
214.245,5382.97277654441,10428.038131405545
214.745,4775.33791176715,10640.982539665567
215.245,6500.64194556688,9065.346987133042
215.745,5350.6640973843405,11310.751154381458
216.245,7978.362616789321,12397.527358114752
216.745,7486.332856360488,13225.935702141078
217.245,9562.228481336766,14792.066315181626
217.745,9865.77029899624,14632.785991590923
218.245,11753.790046786788,19134.355832965914
218.745,8439.955988686697,14039.151708231077
219.245,5788.1762926702495,13361.848232411952
219.745,5300.144316710232,12119.625807870872
220.245,6018.414651359964,12074.721067025424
220.745,5582.7787928869275,8871.366356985181
221.245,5849.766445840131,9279.530585292861
221.745,4756.5741484588325,8187.756381930429
222.245,5623.634353237255,9489.383615275465
222.745,5869.511017868196,8168.676015956878
223.245,5872.157938681954,8346.960791113306
223.745,5284.255400960615,8617.740524724588
224.245,5411.06577537851,7740.193703214767
224.745,5535.175578624733,8129.479623331708
225.245,4544.155553212656,7934.0698239227695
225.745,5412.004223342623,9782.542414048472
226.245,4437.110197190523,7191.4659258768625
226.745,4279.705756645876,7143.940209054945
227.245,3411.6494450318064,8113.600055730049
227.745,3690.6449830773236,8211.020867111587
228.245,4140.7203928100835,9260.655532315737
228.745,3886.36885243495,7625.070604547247
229.245,4530.847301111848,7984.144415995626
229.745,4227.666659847,8577.940373835643
230.245,5272.707811069554,8083.386148450341
230.745,4347.930689992256,8355.585997862461
231.245,4906.81622414114,8151.90645658303
231.745,4089.6648112124262,7879.164352312008
232.245,4983.296668415714,8285.266693595888
232.745,4849.216592351481,9198.605731313222
233.245,4502.717290056524,7853.964421445901
233.745,5550.116312366059,8355.21918153323
234.245,4482.477871086211,7792.375746453177
234.745,2891.0364011031834,7054.122041487011
235.245,4390.683083601995,7171.557094919969
235.745,5633.941469826716,7692.309466064953
236.245,3555.8781936716787,7303.5335201917815
236.745,3362.6606015830366,7476.048265596511
237.245,5486.062600328382,8081.674046999613
237.745,4230.853370883923,7782.759217653984
238.245,4434.684636335602,7203.973015509224
238.745,2997.6764408025538,8016.391437715005
239.245,5291.58970739271,8000.630750280672
239.745,3175.4197863186187,6642.331702906429
240.245,4510.872543023912,6772.513689410953
240.745,2687.3879475632148,6104.588079334162
241.245,2969.639934006302,6673.044778122891
241.745,4520.709642603304,7401.607942966097
242.245,4011.079025035234,7207.827388682059
242.745,5238.19617537781,7748.113474201828
243.245,4089.962049543948,6837.915454951456
243.745,5534.864404312001,7831.417936859041
244.245,5075.806892233573,7647.461438864537
244.745,2670.358074783022,7262.368408317023
245.245,3898.7151249405856,6411.121357728536
245.745,3666.303231984627,6617.287392826244
246.245,3510.041012054817,6031.315178127605
246.745,2445.0959878765148,6010.265321932823
247.245,3166.888061394186,6248.307795755902
247.745,3346.712515229564,6889.079006303771
248.245,4462.007243703631,6870.6573214807795
248.745,3171.692351004982,5689.999272655179
249.245,3324.7611928799024,5513.9313038682985
249.745,4610.758910240671,6753.522376765095
250.245,3680.726898632286,5862.258050527833
250.745,2088.3310169760903,5882.995111660701
251.245,4761.377575497467,6731.022153270075
251.745,2491.147770036968,5817.766998546365
252.245,2732.184176309548,5691.926606421914
252.745,2866.370332608594,5509.152677976208
253.245,3174.1351898332387,6167.100473598466
253.745,4491.326384859263,6161.4729791480695
254.245,3126.312607950739,5130.734033187869
254.745,2574.5586594929714,5219.818423092736
255.245,3976.622056693745,5708.071689975125
255.745,3421.7500767329384,5425.913463333041
256.245,2675.4396530023687,5426.62298844971
256.745,3784.4575117352933,5895.845880659044
257.245,3369.6805697487366,5424.939317956054
257.745,3362.633940904982,5160.077182468456
258.245,3785.066215703582,5336.084202866416
258.745,4119.9577506066435,5687.929373345022
259.245,3442.6290696323827,5606.338385323628
259.745,2682.0394319021075,5472.711261788968
260.245,2617.223884286311,4728.836054026851
260.745,3606.382568416678,5254.214319335363
261.245,3449.623970870853,5417.806092518338
261.745,3247.4198140966164,4993.790710008349
262.245,2723.90967927641,5365.564922314765
262.745,3031.2892925626625,4853.668106534822
263.245,2539.2603820924455,4048.258379094099
263.745,2421.1055804713997,4811.340633795218
264.245,1720.7514241356691,4506.413076700575
264.745,2898.8518715068126,4291.871110382295
265.245,2074.361033180377,5140.641390477884
265.745,2476.6910949126195,4015.8762550211454
266.245,2834.989778169234,4733.46959123331
266.745,2863.5828445705824,4548.637243771336
267.245,2167.765353586126,4089.995523939177
267.745,2191.94325963988,4396.109383241028
268.245,3025.611786841496,4377.475334801434
268.745,2300.6821671013454,4048.653405086708
269.245,2429.991716248678,3819.047674456065
269.745,2025.6430256851854,3664.5343748931314
270.245,2642.781231400206,3795.968268817285
270.745,1870.6859846488019,4023.846995614713
271.245,2027.6561649307785,4494.204257842848
271.745,2665.146864131713,3894.0287566927395
272.245,2731.4027162460625,3839.0009815184867
272.745,2073.957660086412,3709.352394453226
273.245,2603.4050922794863,3864.9834147483352
273.745,2355.3247828844796,3974.338659645583
274.245,2611.7741358965163,4058.8468920523264
274.745,2161.4132638786264,3759.2481964145427
275.245,1638.0780587789225,3474.6786542787395
275.745,2091.5681493907,3314.656347354009
276.245,2081.8158683665906,3580.827784889708
276.745,2332.619092518656,3601.4709885264147
277.245,1318.0022200625535,3884.2657800292945
277.745,1968.8130013480015,3126.3752722442878
278.245,1978.6244139617024,3287.9669865954083
278.745,1438.3389556457473,2934.3018908723743
279.245,1654.1336024290636,2878.519593476081
279.745,1886.5675472036612,2822.8770131187666
280.245,1823.722344436191,2947.7368946300003
280.745,1692.5883460007815,3049.6649183632603
281.245,1774.6612385327694,2994.876286714788
281.745,2045.4367336820271,3000.998753139385
282.245,2071.447733355614,3078.1052375301006
282.745,1549.4472579253445,2542.06383190577
283.245,1667.4395672983937,2699.6546506362993
283.745,1428.7328887300566,2638.666968920586
284.245,1283.5013799383416,2387.8919968473147
284.745,1060.0058429160897,2052.61000856023
285.245,1318.5980167700848,2222.8462510791105
285.745,1349.4709269492366,2414.156940725937
286.245,1254.3838037905489,2000.9793660715668
286.745,1329.8533494684896,2435.797705604221
287.245,1090.4237808683617,2144.213580073485
287.745,1333.8689829984316,2228.6900086897786
288.245,1166.1145092979355,2097.103126749146
288.745,1239.1576148167537,1941.8295518995988
289.245,1067.219455916601,2235.044358758431
289.745,1119.0063397409438,2221.967092042164
290.245,1379.0837949497172,2363.350297493016
290.745,1982.4376865931206,6920.785988106809
291.245,1451.474080018805,2647.8690431431014
291.745,893.2942980701617,1650.8285944923389
292.245,677.9990554016631,1583.1242336150412
292.745,668.114956583201,1393.6349948485706
293.245,664.3921342918338,1588.5621630350097
293.745,811.7916331345443,1293.5834662329735
294.245,724.8751809754317,1239.1703386178117
294.745,637.3753897051956,1111.3321622517706
295.245,675.8731365428246,1160.876999795642
295.745,430.95531038796054,1031.7340091584128
296.245,577.412424445549,1045.1355547293838
296.745,513.856519429981,985.3309907511548
297.245,399.0675391829192,829.590840183517
297.745,484.97765346479343,808.9804141642305
298.245,375.96453120116314,726.4135760052433
298.745,357.3951230619616,762.6073631156461
299.245,516.0381006631293,843.4680036414354
299.745,476.23069636858526,1419.3166562635265
300.245,388.1397325285581,595.1522106360767
300.745,307.2352066459961,476.0523291903671
301.245,266.97539370599816,431.98871686455846
301.745,172.4398622535251,402.24978713687506
302.245,299.30284969775084,387.4366733156446
302.745,157.72702132399706,278.92566533167417
303.245,146.02777380356582,256.705133458213
303.745,98.77848424174181,213.0190322232479
304.245,80.51099769243021,174.45312769814365
304.745,32.93649564915864,128.27786915375142
305.245,53.87077199730713,125.35176269628624
305.745,124.15484444268452,190.2183073617646
306.245,118.70864926450564,225.36251655810426
306.745,88.95537068446025,247.36536842260466
307.245,185.09311980470014,320.78177923545627
307.745,201.30017730389596,431.321592669942
308.245,262.94016038568265,411.0232877522921
308.745,279.2084514667653,468.665053122799
309.245,388.9538058612266,587.7956041534526
309.745,342.2774154255461,699.2714096603838
310.245,458.925669063429,744.7007463444945
310.745,310.2847942928,748.1472524192317
311.245,475.4347537273659,748.357910791579
311.745,470.0889219186384,886.2133996899781
312.245,486.693762055898,919.6918776853338
312.745,696.6821430013456,1164.3995663178134
313.245,706.4712396893829,1079.16484931799
313.745,472.7215832626818,1085.845080079495
314.245,623.0082372591604,1236.873542653632
314.745,731.8525612180359,1217.8248359724291
315.245,998.5225723272969,1332.2076515151957
315.745,812.5221079453962,1452.274896202686
316.245,764.0956658453526,1466.6719018644476
316.745,1020.5351085358313,1641.8405791214245
317.245,1289.9323883851275,1908.077993683582
317.745,1474.579429639341,2529.5788268252163
318.245,1595.7985108230184,2312.0004626722684
318.745,1583.2398797683118,2209.757746342098
319.245,1371.9724376016593,2059.9032397164874
319.745,1334.5097234027448,2043.5754551186799
320.245,1338.8922291855763,2129.780680834864
320.745,1381.6770818696716,2023.1550323064616
321.245,1553.7594674564966,2519.6933749111095
321.745,1472.4642158336162,2078.5775394377274
322.245,1679.4287587749452,2333.4151252261213
322.745,1529.9363287377957,2543.9794859322456
323.245,1724.1436479201275,2850.6259468505914
323.745,1573.1190017087704,3041.053844603814
324.245,1775.7218588193675,2876.923969092557
324.745,1753.2990350145978,2562.960604785956
325.245,1725.8222391516563,3281.212865974545
325.745,1386.045055225069,3754.3637044705733
326.245,2457.50607837895,3665.375404862516
326.745,2590.9915448616566,3304.1950280319898
327.245,2093.470171573098,3276.4290525702672
327.745,1966.2709961607125,3586.9729083622324
328.245,2038.451153858892,3849.8014303770137
328.745,2311.737545949143,3272.924043269163
329.245,2285.0785803008107,3637.927808258697
329.745,2119.0304585941535,3683.6071743368593
330.245,2573.2915810669056,3949.966633418369
330.745,2252.1551118417915,3983.907919898139
331.245,2835.442698706106,3737.742894224678
331.745,2202.7472026964606,3823.0104361015988
332.245,2269.3166963442304,4034.070767338869
332.745,1983.6014925847203,3768.058030855992
333.245,2105.687724668789,3951.0700995111456
333.745,2494.6954587995065,4023.8633272063466
334.245,3532.80912675007,4769.755551231872
334.745,2358.860973883201,4108.726484180782
335.245,1953.3247034173125,3784.6395540596077
335.745,2637.460436212759,3570.5404736504634
336.245,2101.3955794052317,3363.681974256871
336.745,2084.8523008557268,3924.830796942887
337.245,2247.9474604212583,4265.834584300093
337.745,3033.8513032435417,4380.931950426393
338.245,2661.869049452872,4733.021697076101
338.745,2047.4911098259586,4166.481785698592
339.245,2806.0341268446864,4386.349611799633
339.745,2951.747557435128,4899.021407403348
340.245,2839.0895063727485,4708.897621667381
340.745,2749.666008158491,4492.95336862779
341.245,2204.206442080566,4553.204339161242
341.745,3324.622784507774,5232.462609441201
342.245,2226.547468461867,4722.84705765534
342.745,2974.6624204491754,5036.330699102264
343.245,3646.970527758216,5340.911591310865
343.745,2387.1385235947037,4712.562168327939
344.245,1842.4887863154343,4197.470372594133
