organo,tecnologia,sexo,horas_sueno,edad_biol_gap,gap_ci_inferior,gap_ci_superior
Immune,Prot,female,9.03030303030303,0.436406100339882,0.43421033583559,0.438601864844173
Immune,Prot,female,9.09090909090909,0.436854683021666,0.434552937185207,0.439156428858126
Immune,Prot,female,9.15151515151515,0.437319308008945,0.434899773725294,0.439738842292596
Immune,Prot,female,9.21212121212121,0.437798905814684,0.435249697474911,0.440348114154457
Immune,Prot,female,9.27272727272727,0.438292406951851,0.43560180635481,0.440983007548891
Immune,Prot,female,9.33333333333333,0.438798741933412,0.435955400242918,0.441642083623907
Immune,Prot,female,9.3939393939394,0.439316841272336,0.436309936087965,0.442323746456707
Immune,Prot,female,9.45454545454546,0.439845635481588,0.436664986449677,0.4430262845135
Immune,Prot,female,9.51515151515152,0.440384055074137,0.437020203952616,0.443747906195658
Immune,Prot,female,9.57575757575758,0.440931030562949,0.437375292559547,0.444486768566351
Immune,Prot,female,9.63636363636364,0.441485492460991,0.437729985479234,0.445240999442748
Immune,Prot,female,9.6969696969697,0.442046371281231,0.438084028910439,0.446008713652022
Immune,Prot,female,9.75757575757576,0.442612597536635,0.43843717057724,0.44678802449603
Immune,Prot,female,9.81818181818182,0.443183101740171,0.438789151999331,0.44757705148101
Immune,Prot,female,9.87878787878788,0.443756814404805,0.439139703555002,0.448373925254608
Immune,Prot,female,9.93939393939394,0.444332666043505,0.439488541557874,0.449176790529137
Immune,Prot,female,10.0,0.444909587169239,0.439835366736416,0.449983807602061
Immune,Prot,male,4.0,0.444364653048922,0.437398475588139,0.451330830509705
Immune,Prot,male,4.06060606060606,0.44401338155283,0.437351490605318,0.450675272500343
Immune,Prot,male,4.12121212121212,0.443662413475356,0.437301150748384,0.450023676202329
Immune,Prot,male,4.18181818181818,0.443312052235117,0.437246828173606,0.449377276296628
Immune,Prot,male,4.24242424242424,0.442962601250729,0.437187879196264,0.448737323305194
Immune,Prot,male,4.3030303030303,0.442614363940811,0.437123645977616,0.448105081904006
Immune,Prot,male,4.36363636363636,0.44226764372398,0.437053459575484,0.447481827872477
Immune,Prot,male,4.42424242424242,0.441922744018853,0.43697664492313,0.446868843114576
Immune,Prot,male,4.48484848484848,0.441579968244048,0.43689252845517,0.446267408032925
Immune,Prot,male,4.54545454545454,0.441239619818181,0.436800449257213,0.445678790379149
Immune,Prot,male,4.60606060606061,0.440902002159871,0.436699774746406,0.445104229573335
Immune,Prot,male,4.66666666666667,0.440567418687734,0.436589921938283,0.444544915437184
Immune,Prot,male,4.72727272727273,0.440236172820388,0.436470385238203,0.444001960402573
Immune,Prot,male,4.78787878787879,0.43990856797645,0.436340771304718,0.443476364648183
Immune,Prot,male,4.84848484848485,0.439584907574538,0.436200840753486,0.442968974395591
Immune,Prot,male,4.90909090909091,0.43926549503327,0.436050555231396,0.442480434835143
Immune,Prot,male,4.96969696969697,0.438950633771261,0.435890126735985,0.442011140806537
Immune,Prot,male,5.03030303030303,0.438640627207131,0.435720064229828,0.441561190184433
Immune,Prot,male,5.09090909090909,0.438335778759495,0.43554121108817,0.44113034643082
Immune,Prot,male,5.15151515151515,0.438036391846972,0.435354766364998,0.440718017328945
Immune,Prot,male,5.21212121212121,0.437742769888179,0.435162283832215,0.440323255944142
Immune,Prot,male,5.27272727272727,0.437455216301732,0.434965645383853,0.439944787219611
Immune,Prot,male,5.33333333333333,0.437174034506251,0.434767009186455,0.439581059826047
Immune,Prot,male,5.39393939393939,0.436899527920351,0.434568736789058,0.439230319051645
Immune,Prot,male,5.45454545454546,0.436631999962651,0.434373306003813,0.438890693921489
Immune,Prot,male,5.51515151515152,0.436371753057999,0.434183213397357,0.438560292718641
Immune,Prot,male,5.57575757575758,0.436118969385327,0.434000446441935,0.438237492328719
Immune,Prot,male,5.63636363636364,0.435873597588105,0.433825890994983,0.437921304181227
Immune,Prot,male,5.6969696969697,0.435635559478068,0.433659968718364,0.437611150237772
Immune,Prot,male,5.75757575757576,0.435404776866952,0.433502765019357,0.437306788714548
Immune,Prot,male,5.81818181818182,0.435181171566494,0.433354067232791,0.437008275900197
Immune,Prot,male,5.87878787878788,0.434964665388429,0.43321339948939,0.436715931287467
Immune,Prot,male,5.93939393939394,0.434755180144493,0.433080054489783,0.436430305799203
Immune,Prot,male,6.0,0.434552637646422,0.432953123665997,0.436152151626847
Immune,Prot,male,6.06060606060606,0.434356959705952,0.432831528437407,0.435882390974497
Immune,Prot,male,6.12121212121212,0.434168068134819,0.432714056501444,0.435622079768193
Immune,Prot,male,6.18181818181818,0.433985884744758,0.432599408189572,0.435372361299945
Immune,Prot,male,6.24242424242424,0.433810331347507,0.432486258376953,0.43513440431806
Immune,Prot,male,6.3030303030303,0.433641329754799,0.432373338341925,0.434909321167674
Immune,Prot,male,6.36363636363636,0.433478801778373,0.432259538153485,0.43469806540326
Immune,Prot,male,6.42424242424242,0.433322669229962,0.43214402292781,0.434501315532114
Immune,Prot,male,6.48484848484848,0.433172853921304,0.432026346760619,0.43431936108199
Immune,Prot,male,6.54545454545454,0.433029277664135,0.431906540283474,0.434152015044795
Immune,Prot,male,6.6060606060606,0.432891862270189,0.431785147321662,0.433998577218717
Immune,Prot,male,6.66666666666667,0.432760529551203,0.431663196406785,0.433857862695622
Immune,Prot,male,6.72727272727273,0.432635201318914,0.431542110704125,0.433728291933703
Immune,Prot,male,6.78787878787879,0.432515799385056,0.431423576228592,0.433608022541521
Immune,Prot,male,6.84848484848485,0.432402245561366,0.431309394687556,0.433495096435177
Immune,Prot,male,6.90909090909091,0.43229446165958,0.431201342212971,0.43338758110619
Immune,Prot,male,6.96969696969697,0.432192369491434,0.431101043325061,0.433283695657807
Immune,Prot,male,7.03030303030303,0.432095911579985,0.43100984954156,0.43318197361841
Immune,Prot,male,7.09090909090909,0.432005506808712,0.430928564613444,0.43308244900398
Immune,Prot,male,7.15151515151515,0.431922050421509,0.430857379619187,0.43298672122383
Immune,Prot,male,7.21212121212121,0.431846458373593,0.430796092546245,0.432896824200941
Immune,Prot,male,7.27272727272727,0.431779646620184,0.430744199496115,0.432815093744253
Immune,Prot,male,7.33333333333333,0.431722531116498,0.430700978382251,0.432744083850744
Immune,Prot,male,7.3939393939394,0.431676027817753,0.430665586268658,0.432686469366848
Immune,Prot,male,7.45454545454546,0.431641052679168,0.43063718026876,0.432644925089575
Immune,Prot,male,7.51515151515152,0.431618521655959,0.430615062414848,0.43262198089707
Immune,Prot,male,7.57575757575758,0.431609350703345,0.430598834631543,0.432619866775148
Immune,Prot,male,7.63636363636364,0.431614455776544,0.430588535780729,0.43264037577236
Immune,Prot,male,7.6969696969697,0.431634752830773,0.43058472756231,0.432684778099236
Immune,Prot,male,7.75757575757576,0.43167115782125,0.430588506437573,0.432753809204928
Immune,Prot,male,7.81818181818182,0.431724586703193,0.430601441417657,0.43284773198873
Immune,Prot,male,7.87878787878788,0.43179595543182,0.430625459851797,0.432966451011843
Immune,Prot,male,7.93939393939394,0.431886179962348,0.430662713306466,0.433109646618231
Immune,Prot,male,8.0,0.431996176249996,0.430715451123239,0.433276901376753
Immune,Prot,male,8.06060606060606,0.43212686024998,0.430785916971864,0.433467803528096
Immune,Prot,male,8.12121212121212,0.43227914791752,0.430876271723133,0.433682024111907
Immune,Prot,male,8.18181818181818,0.432453955207832,0.430988538434305,0.433919371981359
Immune,Prot,male,8.24242424242424,0.432652198076135,0.431124562324771,0.434179833827498
Immune,Prot,male,8.3030303030303,0.432874792477645,0.431285978671722,0.434463606283569
Immune,Prot,male,8.36363636363636,0.433122654367582,0.431474182922738,0.434771125812427
Immune,Prot,male,8.42424242424243,0.433396699701163,0.431690299013986,0.43510310038834
Immune,Prot,male,8.48484848484848,0.433697844433605,0.431935143534496,0.435460545332714
Immune,Prot,male,8.54545454545455,0.434026859877415,0.432208977505379,0.435844742249451
Immune,Prot,male,8.6060606060606,0.434383258417793,0.432509924047671,0.436256592787915
Immune,Prot,male,8.66666666666667,0.434765904226306,0.43283501131715,0.436696797135461
Immune,Prot,male,8.72727272727273,0.435173656117382,0.433181209927449,0.437166102307314
Immune,Prot,male,8.78787878787879,0.43560537290545,0.433545526033736,0.437665219777164
Immune,Prot,male,8.84848484848485,0.43605991340494,0.433925084968511,0.438194741841369
Immune,Prot,male,8.90909090909091,0.43653613643028,0.434317207517015,0.438755065343545
Immune,Prot,male,8.96969696969697,0.437032900795899,0.43471947177957,0.439346329812227
Immune,Prot,male,9.03030303030303,0.437549065316226,0.435129754514691,0.439968376117761
Immune,Prot,male,9.09090909090909,0.43808348880569,0.435546248742815,0.440620728868565
Immune,Prot,male,9.15151515151515,0.43863503007872,0.435967458204681,0.44130260195276
Immune,Prot,male,9.21212121212121,0.439202547949745,0.436392172723887,0.442012923175604
Immune,Prot,male,9.27272727272727,0.439784901233194,0.436819430635454,0.442750371830935
Immune,Prot,male,9.33333333333333,0.440380948743496,0.437248474889238,0.443513422597754
Immune,Prot,male,9.3939393939394,0.440989549295079,0.437678708526976,0.444300390063183
Immune,Prot,male,9.45454545454546,0.441609561702374,0.438109653594334,0.445109469810413
Immune,Prot,male,9.51515151515152,0.442239844779807,0.438540915798647,0.445938773760967
